param,philippines,vietnam,cambodia,nepal,bangladesh
pop,103663812,95073000,14540000,28094000,156257000
prev_all_nt,8.05,2.43,6.12,2.93,2.03
prev_all_nt_lb,7.06,1.96,5.21,2.21,1.73
prev_all_nt_ub,9.03,3.01,7.19,3.65,2.34
prev_15_nt,10.943,3.146,8.151,4.107,2.826
prev_15_nt_lb,9.593,2.540,6.935,3.099,2.403
prev_15_nt_ub,12.284,3.898,9.583,5.116,3.250
prop_15_smear_adj,0.37,,,,
prop_15_smear_adj_lb,0.32,,,,
prop_15_smear_adj_ub,0.42,,,,
prop_15_symptom_adj,0.29,,,,
prop_15_symptom_adj_lb,0.24,,,,
prop_15_symptom_adj_ub,0.34,,,,
prop_15_smear_symptom_adj,0.17,,,,
prop_15_smear_symptom_adj_lb,0.13,,,,
prop_15_smear_symptom_adj_ub,0.23,,,,
pnr_smear_15_adj,2.60,,,,
pnr_smear_15_adj_lb,2.10,,,,
pnr_smear_15_adj_ub,3.10,,,,
prop_notif_smear,0.612,,,,
prop_notif_smear_lb,0.229,,,,
prop_notif_smear_ub,0.849,,,,
treat_tb_cfr_est_lb,0.01,0.01,0.01,0.01,0.01
treat_tb_cfr_est_ub,0.07,0.07,0.07,0.07,0.07
treat_tb_cfr,0.0243,0.0244,0.0232,0.0292,0.0377
tb_inc_all,574000,176000,62000,69000,346000
tb_inc_all_lb,322000,112000,40000,41000,251000
tb_inc_all_ub,898000,254000,88000,103000,454000
deaths_all_count,29000,13500,4600,17000,66000
deaths_all_count_lb,25000,9150,2600,9300,42000
deaths_all_count_ub,33000,18000,5900,27000,94000
tx_count_all,332308,100876,37809,28967,206907
success_tx_count,300747,92532,35411,26411,192571
deaths_tx_count,8073,2459,877,847,7806
ltfu_tx_count,13105,2527,1439,788,2084
failure_tx_count,1480,598,82,222,1148
