"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_32",0.00016,0.04072,0.72668,0.02106,1,0.03378,0.76068,0.1909,0.00428,1,1,1
"1_290",2e-05,0.13642,0.77086,0.05786,1,0.11978,0.60474,0.26686,0.0034,1,1,1
"1_282",0.00232,0.12266,0.64096,0.07306,1,0.10904,0.65872,0.22852,0.00398,1,1,1
"1_401",3e-04,0.10214,0.60222,0.06438,1,0.0901,0.66312,0.23554,0.00296,1,1,1
"1_35",0.00012,0.03796,0.72694,0.01382,1,0.03226,0.69606,0.23362,0.00428,1,1,1
"1_131",4e-05,0.09782,0.52288,0.03006,1,0.08724,0.68706,0.21754,0.0036,1,1,1
"1_236",2e-05,0.08616,0.66966,0.03872,1,0.07556,0.69842,0.21666,0.00376,1,1,1
"1_198",0.00072,0.07238,0.74594,0.04288,1,0.06398,0.68968,0.23412,0.00372,1,1,1
"1_380",2e-05,0.1181,0.66476,0.04496,1,0.10248,0.64694,0.2476,0.00368,1,1,1
"1_14",1e-04,0.09086,0.71484,0.045,1,0.07518,0.71074,0.20004,0.00468,1,1,1
"1_254",2e-05,0.08552,0.7764,0.0354,1,0.07354,0.65168,0.25928,0.00374,1,1,1
"1_371",0.00028,0.08694,0.5898,0.0294,1,0.072,0.7269,0.19076,0.00362,1,1,1
"1_160",4e-05,0.1105,0.74974,0.046,1,0.09474,0.63696,0.256,0.00386,1,1,1
"1_70",2e-05,0.05718,0.74562,0.03372,1,0.04842,0.70444,0.22372,0.0036,1,1,1
"1_46",2e-05,0.01906,0.7443,0.0105,1,0.0165,0.77046,0.19188,0.00326,1,1,1
"1_143",2e-05,0.1152,0.68744,0.06694,1,0.10002,0.67136,0.22014,0.00408,1,1,1
"1_15",4e-05,0.06,0.71868,0.02666,1,0.05406,0.7544,0.17634,0.00394,1,1,1
"1_392",2e-05,0.15216,0.70078,0.08112,1,0.13174,0.61726,0.24094,0.00396,1,1,1
"1_109",2e-05,0.10394,0.57152,0.04694,1,0.08924,0.6521,0.25004,0.0036,1,1,1
"1_216",2e-05,0.0855,0.68988,0.02612,1,0.07418,0.69602,0.22032,0.00376,1,1,1
"1_209",2e-05,0.10566,0.69414,0.02756,1,0.09274,0.66874,0.21912,0.00368,1,1,1
"1_220",2e-05,0.10936,0.69874,0.04592,1,0.09652,0.60322,0.2816,0.00354,1,1,1
"1_113",0.00018,0.0658,0.72618,0.02908,1,0.05488,0.7077,0.21994,0.0035,1,1,1
"1_195",4e-05,0.13,0.64304,0.07072,1,0.11568,0.63516,0.23764,0.00346,1,1,1
