"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_468",0.00028,1,0.12936,0.27188,0.13862,0.858,0.10706,0.03162,0.00472,0.14192,1,0.34492
"1_460",0.001,1,0.1019,0.24148,0.11924,0.8757,0.09504,0.02686,0.0044,0.1216,1,0.30288
"1_168",4e-05,1,0.08868,0.26412,0.1066,0.88694,0.0833,0.02828,0.00468,0.10946,1,0.30738
"1_349",1e-04,1,0.14386,0.26598,0.1612,0.83042,0.12574,0.0377,0.00492,0.16378,1,0.34262
"1_457",6e-05,1,0.13362,0.26198,0.144,0.85362,0.11296,0.03126,0.0045,0.14766,1,0.33978
"1_190",2e-05,1,0.1326,0.33254,0.14938,0.841,0.12602,0.02974,0.00438,0.15018,1,0.39422
"1_203",6e-05,1,0.09398,0.22918,0.1069,0.88324,0.08316,0.02776,0.00434,0.1076,1,0.27972
"1_83",2e-05,1,0.11184,0.3292,0.13032,0.86414,0.10412,0.02946,0.0043,0.13172,1,0.37968
"1_38",2e-05,1,0.08668,0.2535,0.10112,0.89204,0.081,0.02472,0.00482,0.10386,1,0.29452
"1_311",0.00016,1,0.08702,0.17746,0.09964,0.89336,0.0845,0.02032,0.00482,0.10126,1,0.23336
"1_88",4e-05,1,0.10026,0.2912,0.11776,0.87852,0.08952,0.02984,0.00414,0.11894,1,0.33698
"1_397",0.00058,1,0.12606,0.26884,0.13602,0.85558,0.09938,0.03854,0.00468,0.13792,1,0.34042
"1_42",0.00012,1,0.10598,0.3196,0.1172,0.8769,0.09236,0.02666,0.00416,0.11754,1,0.36592
"1_109",2e-05,1,0.10666,0.26858,0.12534,0.86592,0.09732,0.0323,0.0041,0.1276,1,0.32164
"1_132",1e-04,1,0.0901,0.2746,0.10062,0.89888,0.07164,0.02724,0.00494,0.1037,1,0.31662
"1_479",0.00018,1,0.10224,0.25946,0.1129,0.88492,0.08078,0.03082,0.00488,0.11534,1,0.31252
"1_187",4e-05,1,0.09458,0.27982,0.11064,0.88094,0.09608,0.02102,0.00506,0.11148,1,0.32882
"1_143",6e-05,1,0.08826,0.18922,0.09734,0.89798,0.07532,0.02374,0.00428,0.09904,1,0.24038
"1_425",2e-05,1,0.1049,0.24342,0.1147,0.8741,0.0943,0.02716,0.00402,0.11506,1,0.30454
"1_487",2e-05,1,0.0997,0.21646,0.1086,0.88412,0.0919,0.0222,0.00438,0.11036,1,0.27856
"1_314",2e-05,1,0.11036,0.25354,0.1199,0.86878,0.0896,0.0361,0.00424,0.12214,1,0.3155
"1_310",2e-05,1,0.11494,0.24814,0.13078,0.86322,0.10096,0.03286,0.00406,0.13768,1,0.31032
"1_1",4e-05,1,0.1041,0.33204,0.11884,0.87268,0.09684,0.02372,0.00448,0.11912,1,0.37204
"1_223",2e-05,1,0.1103,0.30618,0.12576,0.8622,0.10438,0.0307,0.00436,0.12782,1,0.36232
"1_260",2e-05,1,0.15504,0.40536,0.16608,0.81688,0.13824,0.04076,0.0047,0.16866,1,0.47664
"1_188",2e-05,1,0.11666,0.28424,0.13174,0.87038,0.09194,0.03462,0.00428,0.1335,1,0.33376
"1_29",2e-04,1,0.09468,0.3182,0.11142,0.87632,0.09778,0.0225,0.00436,0.11228,1,0.36184
"1_473",2e-05,1,0.12234,0.28916,0.1308,0.8626,0.0984,0.03658,0.00432,0.1332,1,0.35792
"1_150",2e-05,1,0.1361,0.3544,0.14924,0.83882,0.11744,0.03962,0.00402,0.15046,1,0.41984
"1_79",2e-05,1,0.0865,0.22558,0.0976,0.893,0.07866,0.02508,0.00436,0.09864,1,0.27238
"1_474",2e-05,1,0.11334,0.26524,0.12348,0.87238,0.08952,0.03578,0.00448,0.12694,1,0.32642
"1_16",6e-05,1,0.09862,0.28026,0.11036,0.8808,0.08956,0.02648,0.00424,0.11094,1,0.32586
"1_9",2e-05,1,0.0991,0.30656,0.11908,0.8718,0.09348,0.03116,0.00496,0.1209,1,0.34556
"1_488",2e-05,1,0.10516,0.22916,0.11588,0.882,0.0855,0.03088,0.00414,0.11932,1,0.29006
"1_51",4e-05,1,0.11132,0.3124,0.13038,0.8607,0.11196,0.02534,0.00498,0.13096,1,0.35982
"1_198",2e-05,1,0.08936,0.22476,0.0974,0.9001,0.07648,0.0215,0.0041,0.09808,1,0.27268
"4_4",4e-05,1,0.09072,0.31276,0.11094,0.88514,0.08496,0.02622,0.0047,0.11378,1,0.3528
"4_67",2e-05,1,0.08838,0.25742,0.10098,0.89058,0.08206,0.02236,0.00462,0.10308,1,0.3078
"4_56",2e-05,1,0.09828,0.27874,0.11658,0.87396,0.08968,0.03092,0.0045,0.11816,1,0.32772
"4_12",8e-05,1,0.08148,0.25292,0.10792,0.88186,0.09342,0.02232,0.00434,0.11064,1,0.2935
"4_238",2e-05,1,0.1104,0.26302,0.12876,0.86572,0.10792,0.02516,0.00422,0.13112,1,0.32028
"4_297",2e-05,1,0.12426,0.28834,0.14164,0.85276,0.11426,0.0301,0.0043,0.14294,1,0.35438
"4_41",2e-05,1,0.11066,0.31938,0.12272,0.87274,0.09524,0.02806,0.00466,0.12368,1,0.3731
"4_341",2e-05,1,0.1141,0.25314,0.12908,0.86044,0.1138,0.02442,0.00476,0.13066,1,0.31598
"4_113",1e-04,1,0.15524,0.38908,0.16782,0.83662,0.11194,0.04584,0.00354,0.16926,1,0.44468
"4_360",2e-05,1,0.1121,0.2627,0.12846,0.86754,0.09764,0.03188,0.00458,0.13228,1,0.32516
"4_80",2e-05,1,0.10008,0.28562,0.11654,0.8767,0.09422,0.02646,0.00434,0.11892,1,0.3297
"4_179",2e-05,1,0.09258,0.22716,0.10642,0.8841,0.08608,0.0262,0.00424,0.10786,1,0.2787
"4_203",2e-05,1,0.0996,0.22184,0.1149,0.88356,0.08858,0.02552,0.00448,0.11768,1,0.28052
"4_364",2e-05,1,0.1099,0.24688,0.1244,0.8742,0.0907,0.0323,0.00412,0.12792,1,0.30732
"4_184",6e-05,1,0.10656,0.271,0.1236,0.8669,0.10276,0.02664,0.0041,0.12548,1,0.32718
"4_79",2e-05,1,0.12158,0.33064,0.14076,0.84826,0.11984,0.02702,0.00448,0.14192,1,0.39088
"4_376",2e-05,1,0.095,0.16386,0.10504,0.89658,0.0736,0.02796,0.00418,0.10764,1,0.22172
"4_141",2e-05,1,0.08566,0.24486,0.0984,0.88988,0.08334,0.0247,0.00478,0.09942,1,0.29104
"4_359",2e-05,1,0.10972,0.2831,0.12972,0.86292,0.10736,0.02758,0.00512,0.13126,1,0.34166
"4_304",6e-05,1,0.1452,0.3606,0.16406,0.82306,0.1401,0.03434,0.0045,0.16526,1,0.43158
"4_62",2e-05,1,0.10058,0.24082,0.11374,0.87066,0.10016,0.02552,0.00458,0.1141,1,0.29782
"4_344",2e-05,1,0.10402,0.23994,0.11814,0.8797,0.09536,0.02422,0.00428,0.12166,1,0.2975
"4_52",2e-05,1,0.09148,0.26192,0.10772,0.8852,0.0882,0.02404,0.00472,0.1088,1,0.3048
"4_351",4e-05,1,0.12932,0.32504,0.14062,0.85022,0.1152,0.03204,0.00418,0.1423,1,0.38964
"4_110",2e-05,1,0.1223,0.2881,0.13832,0.85434,0.11232,0.02794,0.00438,0.13946,1,0.35328
"4_149",2e-05,1,0.09206,0.22824,0.1102,0.8867,0.08588,0.0253,0.00452,0.11198,1,0.27692
"4_124",4e-05,1,0.0978,0.28224,0.11274,0.88348,0.08298,0.03108,0.00476,0.11558,1,0.3265
"4_337",2e-05,1,0.1241,0.29546,0.15256,0.84502,0.11528,0.03592,0.00398,0.15654,1,0.36154
