"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_537",2e-05,0.33366,1,0.25118,0.92284,0.29172,0.47094,0.23562,0.0039,1,1,0.942
"1_484",2e-05,0.23448,1,0.11408,0.94042,0.20594,0.5487,0.23998,0.00374,1,1,0.95504
"1_644",6e-05,0.31538,1,0.15624,0.89738,0.26116,0.52818,0.20694,0.00422,1,1,0.9212
"1_192",0.00106,0.0539,1,0.03608,0.9888,0.04414,0.74692,0.1883,0.00338,1,1,0.99214
"1_216",2e-05,0.36206,1,0.1852,0.86796,0.31202,0.48586,0.20008,0.00368,1,1,0.90492
"1_381",4e-05,0.26194,1,0.16124,0.92734,0.221,0.5527,0.20582,0.00392,1,1,0.94902
"1_500",2e-05,0.07626,1,0.0428,0.98978,0.06464,0.73144,0.18504,0.00408,1,1,0.99254
"1_455",2e-05,0.11128,1,0.06876,0.97886,0.0972,0.67406,0.21622,0.00356,1,1,0.98344
"1_103",2e-05,0.07054,1,0.03668,0.98478,0.06224,0.68012,0.23462,0.00362,1,1,0.98894
"1_208",0.00018,0.1463,1,0.07894,0.97112,0.11562,0.65992,0.20052,0.0035,1,1,0.98202
"1_270",4e-05,0.1776,1,0.10064,0.96574,0.1567,0.61332,0.22332,0.00388,1,1,0.97416
"1_34",4e-05,0.0412,1,0.01506,0.9843,0.03572,0.73894,0.19552,0.0033,1,1,0.98838
"1_553",8e-05,0.3938,1,0.13866,0.80934,0.3454,0.45534,0.19396,0.00398,1,1,0.86224
"1_82",1e-04,0.06034,1,0.04356,0.99278,0.04958,0.6727,0.24486,0.0039,1,1,0.99512
"1_420",2e-05,0.26704,1,0.09842,0.9293,0.23602,0.5594,0.1991,0.00408,1,1,0.94476
"1_313",2e-05,0.16628,1,0.0823,0.96634,0.14152,0.58012,0.26024,0.00392,1,1,0.97494
"1_562",1e-04,0.28698,1,0.19896,0.92362,0.25012,0.49552,0.2521,0.0031,1,1,0.94156
"1_281",2e-05,0.21044,1,0.10898,0.94358,0.18764,0.60216,0.20558,0.00338,1,1,0.95578
"1_123",2e-05,0.11196,1,0.0479,0.97128,0.09682,0.70882,0.1834,0.00408,1,1,0.97886
"1_461",2e-05,0.19418,1,0.11716,0.94964,0.16874,0.56696,0.25712,0.0031,1,1,0.96092
"1_134",2e-05,0.23342,1,0.13484,0.93352,0.19638,0.5991,0.19392,0.00436,1,1,0.95316
"1_116",2e-05,0.09686,1,0.03032,0.96378,0.08666,0.68958,0.20096,0.00362,1,1,0.9722
"1_214",2e-05,0.06124,1,0.02502,0.98932,0.05394,0.64194,0.27474,0.00334,1,1,0.9914
"1_111",2e-05,0.22872,1,0.07284,0.91262,0.19812,0.57044,0.2059,0.00374,1,1,0.9376
"1_474",4e-05,0.21086,1,0.0862,0.95148,0.18556,0.54398,0.26044,0.00364,1,1,0.96122
"1_97",2e-05,0.1937,1,0.10906,0.93522,0.1639,0.65072,0.18016,0.00384,1,1,0.95672
"1_238",2e-05,0.15508,1,0.04896,0.9524,0.13742,0.59638,0.25178,0.00362,1,1,0.96382
"1_558",2e-05,0.36236,1,0.13062,0.82392,0.31976,0.47894,0.19848,0.0029,1,1,0.8575
"1_616",2e-05,0.27638,1,0.09816,0.92068,0.24076,0.5036,0.25362,0.00372,1,1,0.93608
"1_480",2e-05,0.17856,1,0.11426,0.97146,0.15784,0.6183,0.21668,0.00374,1,1,0.97858
"1_220",2e-05,0.10882,1,0.06546,0.9789,0.09308,0.68836,0.20674,0.00386,1,1,0.9845
"1_297",2e-05,0.20824,1,0.09444,0.95802,0.18718,0.50956,0.28784,0.00358,1,1,0.96718
"1_152",2e-05,0.1353,1,0.07816,0.97408,0.1214,0.63526,0.2342,0.00362,1,1,0.98
"1_137",6e-05,0.0777,1,0.02558,0.98102,0.06474,0.70374,0.2126,0.00388,1,1,0.98668
"1_429",2e-05,0.15448,1,0.09418,0.97828,0.13438,0.61828,0.22828,0.00354,1,1,0.98324
"1_366",2e-05,0.32778,1,0.12432,0.88946,0.2817,0.48768,0.22366,0.0036,1,1,0.92092
"1_115",2e-05,0.06162,1,0.03364,0.99066,0.05436,0.69134,0.2289,0.0039,1,1,0.99306
"1_296",4e-05,0.10132,1,0.03238,0.97476,0.08656,0.7059,0.19178,0.00372,1,1,0.98138
"1_218",2e-05,0.0997,1,0.0725,0.98794,0.0719,0.6792,0.22326,0.00336,1,1,0.99362
"1_658",2e-05,0.3622,1,0.1892,0.89414,0.31066,0.41258,0.27548,0.00394,1,1,0.91968
"1_529",4e-05,0.13356,1,0.0822,0.97316,0.1154,0.69856,0.18034,0.00362,1,1,0.97914
"1_468",2e-05,0.21916,1,0.07156,0.93388,0.19056,0.55918,0.24346,0.00382,1,1,0.94948
"1_99",4e-05,0.17464,1,0.07446,0.91588,0.1559,0.61706,0.21586,0.00392,1,1,0.9344
"1_571",2e-05,0.34152,1,0.17396,0.86922,0.30368,0.43364,0.2583,0.00352,1,1,0.89622
"4_8",2e-05,0.02758,1,0.01036,0.99038,0.0236,0.73478,0.19726,0.0034,1,1,0.99284
"4_650",2e-05,0.40454,1,0.2099,0.84912,0.32236,0.43582,0.23552,0.00348,1,1,0.89432
"4_425",2e-05,0.3008,1,0.1228,0.88494,0.26366,0.4898,0.23888,0.00342,1,1,0.9122
"4_64",2e-05,0.15368,1,0.1112,0.97728,0.13032,0.64234,0.2132,0.0041,1,1,0.98334
"4_68",2e-05,0.03332,1,0.01216,0.99144,0.0287,0.70452,0.2183,0.0038,1,1,0.9932
"4_683",0.00018,0.4871,1,0.26102,0.76142,0.42194,0.36774,0.20812,0.00382,1,1,0.81434
"4_441",2e-05,0.33684,1,0.1195,0.867,0.29578,0.45894,0.23902,0.00352,1,1,0.8976
