"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_420",2e-05,1,0.10558,0.27078,0.11678,0.87984,0.08582,0.031,0.0044,0.11922,1,0.32432
"1_74",8e-05,1,0.091,0.25362,0.10362,0.88838,0.08388,0.02614,0.00458,0.10466,1,0.30348
"1_60",2e-05,1,0.14168,0.36604,0.15726,0.84108,0.12618,0.02944,0.00466,0.15944,1,0.42654
"1_476",0.00052,1,0.09256,0.22882,0.10538,0.90036,0.06956,0.02952,0.00438,0.11494,1,0.27678
"1_607",2e-05,1,0.12492,0.27576,0.1411,0.86016,0.10178,0.03496,0.00466,0.15342,1,0.33998
"1_573",2e-05,1,0.1201,0.25732,0.13758,0.85554,0.1107,0.03196,0.0046,0.1443,1,0.32772
"1_33",4e-05,1,0.10618,0.2741,0.1202,0.8717,0.09642,0.02828,0.00454,0.12142,1,0.32438
"1_182",2e-05,1,0.09672,0.2374,0.11412,0.87398,0.10038,0.02406,0.00446,0.1159,1,0.29482
"1_163",2e-05,1,0.09354,0.2571,0.1112,0.88222,0.09404,0.0216,0.00448,0.11222,1,0.30602
"1_82",2e-05,1,0.08814,0.24106,0.1022,0.89608,0.07384,0.02866,0.00416,0.10408,1,0.28394
"1_79",4e-05,1,0.09794,0.28856,0.10906,0.88762,0.08002,0.02922,0.00458,0.10998,1,0.33686
"1_738",0.00012,1,0.11278,0.26148,0.13012,0.87622,0.09038,0.03208,0.00406,0.14024,1,0.32192
"1_700",2e-05,1,0.10884,0.2477,0.11854,0.88122,0.08316,0.03428,0.00434,0.12958,1,0.30796
"1_335",8e-05,1,0.09784,0.28934,0.11198,0.87868,0.09032,0.0279,0.00482,0.11382,1,0.33976
"1_35",6e-05,1,0.0871,0.27,0.10144,0.89468,0.07834,0.02548,0.0038,0.1029,1,0.31046
"1_743",2e-05,1,0.11582,0.24534,0.12566,0.875,0.0893,0.03448,0.00452,0.13336,1,0.30766
"1_676",6e-05,1,0.11814,0.29774,0.13384,0.8639,0.09646,0.03808,0.00428,0.14256,1,0.35834
"1_378",2e-05,1,0.09512,0.2343,0.10524,0.89704,0.07362,0.02754,0.004,0.1129,1,0.28774
"1_123",0.00014,1,0.11298,0.30436,0.12596,0.8704,0.09238,0.0335,0.00452,0.12728,1,0.35016
"1_255",2e-05,1,0.09984,0.25668,0.11154,0.88854,0.08514,0.025,0.00396,0.11328,1,0.30518
"1_263",4e-05,1,0.08894,0.2629,0.10064,0.8945,0.07818,0.02452,0.00458,0.10224,1,0.31106
"1_183",4e-05,1,0.1266,0.3143,0.14522,0.84964,0.11008,0.03714,0.00428,0.1491,1,0.3792
"1_421",1e-04,1,0.18918,0.41702,0.21448,0.79014,0.16446,0.04228,0.00408,0.21918,1,0.49706
"1_671",2e-05,1,0.11908,0.21526,0.13754,0.86458,0.10188,0.03178,0.00414,0.14154,1,0.286
"1_103",2e-05,1,0.09812,0.29896,0.10948,0.87534,0.0879,0.03216,0.00398,0.11072,1,0.34818
"1_309",4e-05,1,0.10718,0.31556,0.1231,0.86958,0.1026,0.02534,0.00424,0.12464,1,0.37424
"1_635",2e-05,1,0.10166,0.25238,0.11546,0.8855,0.081,0.03126,0.0045,0.12182,1,0.30544
"1_100",2e-05,1,0.10784,0.29826,0.1235,0.8714,0.0934,0.03138,0.00434,0.12456,1,0.34814
"1_348",2e-05,1,0.10068,0.24476,0.11382,0.87838,0.0918,0.02634,0.0046,0.11718,1,0.30178
"1_713",2e-05,1,0.14512,0.33486,0.15916,0.8362,0.12298,0.0378,0.00436,0.16542,1,0.40986
"1_251",2e-05,1,0.11544,0.295,0.12834,0.87782,0.07846,0.04092,0.0042,0.13184,1,0.34824
"1_445",2e-05,1,0.1197,0.33144,0.13728,0.85034,0.11974,0.02714,0.00446,0.14164,1,0.39684
"1_101",4e-05,1,0.13332,0.30442,0.15684,0.84096,0.11634,0.0374,0.0048,0.15992,1,0.36772
"1_656",2e-05,1,0.11526,0.26982,0.12528,0.87332,0.09134,0.03284,0.00388,0.1302,1,0.3351
"1_76",2e-05,1,0.09802,0.3029,0.11072,0.88142,0.08854,0.02776,0.00418,0.11204,1,0.3489
"1_764",2e-05,1,0.12228,0.2307,0.12388,0.8826,0.07548,0.04086,0.00468,0.1416,1,0.29572
"1_119",6e-05,1,0.09024,0.21964,0.10748,0.87758,0.0914,0.02734,0.00412,0.11354,1,0.27792
"1_661",4e-05,1,0.13534,0.27368,0.15484,0.84984,0.11382,0.03456,0.00448,0.16284,1,0.34822
"1_31",2e-05,1,0.1057,0.29616,0.11978,0.87202,0.09726,0.02716,0.00446,0.12088,1,0.34408
"1_581",2e-05,1,0.10968,0.24274,0.1233,0.87574,0.0897,0.03236,0.00424,0.12614,1,0.30238
"1_285",4e-05,1,0.11042,0.27802,0.124,0.86694,0.09878,0.0296,0.00412,0.12516,1,0.33146
"1_49",2e-05,1,0.09592,0.27452,0.1124,0.8874,0.0868,0.024,0.00472,0.1144,1,0.32056
"1_192",2e-05,1,0.0842,0.1922,0.09906,0.89664,0.07598,0.0245,0.0044,0.10198,1,0.2405
"1_175",2e-05,1,0.11124,0.29148,0.12564,0.86742,0.09766,0.03056,0.0038,0.12644,1,0.34198
"1_539",2e-05,1,0.11178,0.28404,0.13234,0.86436,0.1072,0.02652,0.00428,0.13438,1,0.34022
"1_668",2e-05,1,0.11368,0.25534,0.12792,0.86632,0.10222,0.02682,0.00504,0.12922,1,0.31724
"1_247",2e-05,1,0.11,0.2769,0.12736,0.86922,0.09696,0.03212,0.00466,0.13154,1,0.33318
"1_441",2e-05,1,0.10386,0.23298,0.11922,0.881,0.08524,0.029,0.00446,0.12356,1,0.2908
"1_133",2e-05,1,0.0818,0.21538,0.0959,0.89672,0.08232,0.01862,0.00432,0.097,1,0.26466
"1_237",2e-05,1,0.10374,0.22582,0.11498,0.88146,0.08494,0.0278,0.00398,0.11632,1,0.2818
"1_626",2e-05,1,0.10634,0.2781,0.11802,0.873,0.09108,0.03244,0.00426,0.12126,1,0.33844
"1_436",2e-05,1,0.1248,0.24556,0.1391,0.86078,0.10004,0.0354,0.00404,0.14542,1,0.3186
