"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_249",0.00018,0.12946,1,0.07058,0.96558,0.11258,0.68024,0.2013,0.00404,1,1,0.97426
"1_163",0.00012,0.24906,1,0.0764,0.91494,0.22356,0.5386,0.22886,0.00396,1,1,0.93354
"1_394",6e-05,0.2433,1,0.1417,0.9492,0.2076,0.51558,0.27104,0.00394,1,1,0.96136
"1_148",0.00156,0.16902,1,0.09194,0.97086,0.14852,0.57616,0.2533,0.00376,1,1,0.97692
"1_312",1e-04,0.08102,1,0.04874,0.9861,0.0679,0.70282,0.21714,0.00352,1,1,0.98992
"1_265",6e-05,0.21318,1,0.06842,0.94134,0.1894,0.52412,0.27348,0.00348,1,1,0.95456
"1_324",0.00018,0.0818,1,0.05002,0.98842,0.0708,0.67194,0.23832,0.00358,1,1,0.9913
"1_33",0.00034,0.09846,1,0.0507,0.98102,0.08834,0.67198,0.22302,0.00328,1,1,0.9849
"1_11",0.00026,0.13348,1,0.0662,0.9703,0.11446,0.62924,0.23638,0.00398,1,1,0.97954
"1_188",0.00042,0.16068,1,0.09098,0.96976,0.13926,0.57196,0.2729,0.00332,1,1,0.9779
"1_110",2e-05,0.10708,1,0.04284,0.97064,0.0933,0.68622,0.19792,0.00374,1,1,0.97768
"1_59",0.00012,0.1022,1,0.06712,0.98628,0.0901,0.66042,0.2234,0.00396,1,1,0.98944
"1_381",0.00058,0.19724,1,0.13492,0.96966,0.1668,0.5788,0.25068,0.00352,1,1,0.97756
"1_145",0.00186,0.07454,1,0.04422,0.98666,0.06592,0.73078,0.18656,0.00342,1,1,0.99008
"1_275",3e-04,0.09806,1,0.05036,0.97864,0.08672,0.71236,0.19384,0.00376,1,1,0.98232
"1_379",0.00046,0.17702,1,0.10622,0.96832,0.1501,0.59984,0.24358,0.0039,1,1,0.97628
"1_264",8e-05,0.13822,1,0.08676,0.97912,0.11968,0.57646,0.28548,0.00356,1,1,0.98518
"1_311",2e-05,0.0901,1,0.04586,0.9824,0.07708,0.73888,0.17584,0.00406,1,1,0.98644
"1_301",0.00068,0.12562,1,0.07262,0.97556,0.11086,0.66952,0.21162,0.00368,1,1,0.98102
"1_367",2e-05,0.17736,1,0.0943,0.96282,0.15024,0.57794,0.26192,0.00344,1,1,0.97278
"1_66",2e-05,0.05284,1,0.02942,0.98962,0.04614,0.7563,0.18322,0.00374,1,1,0.99224
"1_29",2e-05,0.10298,1,0.057,0.97822,0.09018,0.6789,0.21218,0.004,1,1,0.98434
"1_182",6e-05,0.1046,1,0.05564,0.98106,0.0911,0.67976,0.21162,0.0038,1,1,0.98588
"1_303",2e-05,0.18434,1,0.10566,0.9679,0.15882,0.57678,0.24888,0.00384,1,1,0.9759
"1_204",2e-05,0.16572,1,0.08142,0.96676,0.14706,0.58786,0.25718,0.0037,1,1,0.97426
"1_118",6e-05,0.12158,1,0.04438,0.97082,0.10836,0.65094,0.22062,0.00396,1,1,0.97654
"1_219",4e-05,0.10732,1,0.06556,0.98222,0.0923,0.67992,0.21188,0.0039,1,1,0.98698
"1_191",2e-05,0.09776,1,0.04458,0.9796,0.0865,0.66772,0.2239,0.00412,1,1,0.98456
"1_111",2e-05,0.19658,1,0.10928,0.96298,0.16928,0.57652,0.23534,0.00412,1,1,0.97228
"1_57",2e-05,0.1485,1,0.07526,0.96136,0.12954,0.63652,0.2161,0.00396,1,1,0.97134
"1_251",2e-05,0.19388,1,0.1056,0.95996,0.16972,0.56944,0.25456,0.00362,1,1,0.9699
"1_334",4e-05,0.19276,1,0.079,0.95128,0.15994,0.60286,0.22726,0.00342,1,1,0.96416
"1_26",4e-05,0.05418,1,0.02406,0.98844,0.04778,0.72942,0.20388,0.00376,1,1,0.99134
"1_391",2e-05,0.26156,1,0.10314,0.895,0.22874,0.5024,0.26198,0.00348,1,1,0.91962
"1_52",6e-05,0.14178,1,0.08268,0.97478,0.12612,0.61392,0.23524,0.00384,1,1,0.9802
"1_277",2e-05,0.17834,1,0.09882,0.96386,0.15904,0.5513,0.28214,0.003,1,1,0.97112
"1_254",2e-05,0.14516,1,0.07662,0.97062,0.1278,0.57492,0.27866,0.00374,1,1,0.97744
"1_102",2e-05,0.09264,1,0.03762,0.98382,0.08236,0.669,0.2148,0.00376,1,1,0.9873
"6_113",2e-05,0.15222,1,0.07656,0.9629,0.13378,0.58446,0.26696,0.0029,1,1,0.97314
"6_167",2e-05,0.17816,1,0.0746,0.93828,0.14958,0.62882,0.20438,0.00382,1,1,0.9562
"6_63",2e-05,0.2271,1,0.08018,0.92062,0.20146,0.51992,0.27064,0.0036,1,1,0.93866
"6_92",2e-05,0.05032,1,0.03124,0.98758,0.04176,0.69186,0.22276,0.00396,1,1,0.99122
"6_168",2e-05,0.13524,1,0.07046,0.96306,0.11596,0.66502,0.20546,0.0039,1,1,0.97268
