"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_155",0.00016,0.8577,0.16066,1,0.23422,0.75874,0.15924,0.08072,0.00382,0.24234,1,1
"1_115",4e-05,0.86752,0.19318,1,0.25758,0.7445,0.15984,0.09344,0.00454,0.26274,1,1
"1_445",1e-04,0.85468,0.2,1,0.24592,0.7445,0.16404,0.0901,0.00356,0.25036,1,1
"1_507",2e-05,0.83256,0.16392,1,0.23846,0.73014,0.1819,0.0856,0.00436,0.24694,1,1
"1_526",2e-05,0.8429,0.171,1,0.22126,0.72686,0.1644,0.1072,0.00414,0.22776,1,1
"1_70",2e-04,0.85188,0.18666,1,0.22868,0.75484,0.15674,0.08698,0.00452,0.23154,1,1
"1_195",4e-05,0.86022,0.1667,1,0.2234,0.75472,0.15678,0.08768,0.00416,0.22804,1,1
"1_397",2e-05,0.83714,0.16186,1,0.23736,0.73548,0.1745,0.08834,0.00364,0.24202,1,1
"1_562",2e-05,0.8641,0.19166,1,0.24812,0.75356,0.1618,0.08318,0.004,0.2529,1,1
"1_137",2e-05,0.89196,0.1508,1,0.20886,0.77698,0.14732,0.07444,0.00452,0.2163,1,1
"1_294",3e-04,0.82358,0.17626,1,0.23368,0.71274,0.19302,0.09294,0.00402,0.23796,1,1
"1_98",4e-05,0.89022,0.15654,1,0.20568,0.79004,0.13278,0.07568,0.0045,0.21162,1,1
"1_249",2e-05,0.85224,0.20872,1,0.24744,0.74158,0.16924,0.08724,0.00414,0.252,1,1
"1_504",2e-05,0.8551,0.19484,1,0.255,0.74514,0.15694,0.09572,0.00426,0.26164,1,1
"1_360",2e-05,0.85026,0.17952,1,0.2442,0.74776,0.1739,0.07628,0.00406,0.24996,1,1
"1_250",2e-05,0.8724,0.15982,1,0.22306,0.76686,0.15824,0.07358,0.00426,0.22866,1,1
"1_528",0.00044,0.81722,0.08942,1,0.24164,0.72036,0.22102,0.05808,0.00436,0.2551,1,1
"1_260",0.00052,0.8608,0.18572,1,0.23852,0.7526,0.15572,0.08972,0.00392,0.24438,1,1
