"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_436",2e-05,0.81146,0.13208,1,0.15532,0.7193,0.20838,0.06596,0.00436,0.15744,1,1
"1_550",4e-05,0.77208,0.15296,1,0.18852,0.66564,0.24556,0.08318,0.0045,0.19142,1,1
"1_9",0.00108,0.77276,0.11264,1,0.14612,0.68004,0.23722,0.06822,0.00378,0.14648,1,1
"1_23",2e-05,0.7238,0.15062,1,0.20242,0.60232,0.28834,0.0972,0.00398,0.20446,1,1
"1_262",4e-05,0.77092,0.10492,1,0.1474,0.67392,0.2522,0.06648,0.00438,0.14908,1,1
"1_443",4e-05,0.79914,0.1715,1,0.20096,0.69108,0.22216,0.0814,0.00406,0.20368,1,1
"1_459",2e-05,0.79328,0.1816,1,0.22486,0.66878,0.2287,0.09838,0.00376,0.22958,1,1
"1_465",0.00064,0.77336,0.13808,1,0.1689,0.6546,0.2717,0.06602,0.00428,0.17066,1,1
"1_80",0.00016,0.75218,0.13214,1,0.20212,0.66854,0.24172,0.08822,0.00406,0.20484,1,1
"1_227",0.00018,0.78606,0.14406,1,0.16784,0.6831,0.24686,0.06298,0.00428,0.17,1,1
"1_290",2e-05,0.78776,0.10756,1,0.12906,0.69992,0.22284,0.07198,0.00428,0.13036,1,1
"1_569",2e-05,0.80294,0.15354,1,0.1794,0.6876,0.2338,0.07388,0.00366,0.18208,1,1
"1_562",2e-05,0.76954,0.17264,1,0.20716,0.64864,0.27166,0.07532,0.00436,0.21178,1,1
"1_583",2e-05,0.80016,0.1727,1,0.2099,0.69118,0.21944,0.0845,0.00428,0.21404,1,1
"1_16",2e-05,0.7648,0.11504,1,0.14264,0.66792,0.24248,0.0792,0.00408,0.14368,1,1
"1_208",4e-05,0.75128,0.13274,1,0.17252,0.65844,0.25446,0.0752,0.00434,0.1747,1,1
"1_4",2e-05,0.8061,0.14414,1,0.17618,0.71974,0.1937,0.07932,0.0043,0.17676,1,1
"1_32",0.00014,0.82476,0.14296,1,0.16942,0.71876,0.21582,0.05496,0.00478,0.16992,1,1
"1_247",2e-05,0.80048,0.1331,1,0.16876,0.67724,0.25328,0.05892,0.0043,0.17104,1,1
"1_359",4e-05,0.77896,0.15576,1,0.21886,0.62292,0.28658,0.0797,0.00398,0.22464,1,1
"1_67",2e-05,0.7441,0.14828,1,0.19432,0.65288,0.2601,0.07516,0.00402,0.19544,1,1
"1_317",2e-05,0.72896,0.13588,1,0.17742,0.6436,0.27512,0.07208,0.004,0.18014,1,1
"1_322",2e-05,0.78652,0.14496,1,0.17456,0.66002,0.23656,0.09464,0.00426,0.17776,1,1
"1_35",2e-05,0.78352,0.11146,1,0.15812,0.69068,0.23352,0.06682,0.00436,0.15916,1,1
"1_33",4e-05,0.75534,0.13204,1,0.16944,0.61912,0.29004,0.0807,0.00408,0.17064,1,1
"1_40",2e-04,0.767,0.1417,1,0.17764,0.66736,0.23664,0.09044,0.00438,0.1792,1,1
"1_353",2e-05,0.76116,0.15854,1,0.1903,0.65766,0.2503,0.08528,0.0042,0.19346,1,1
"1_242",2e-05,0.78582,0.12954,1,0.15894,0.67418,0.2511,0.06832,0.00432,0.16184,1,1
"1_456",2e-05,0.76308,0.12394,1,0.16712,0.67252,0.25604,0.06742,0.00426,0.1733,1,1
"1_152",2e-05,0.76864,0.13864,1,0.16978,0.6475,0.29078,0.04592,0.004,0.16988,1,1
"1_235",2e-05,0.74042,0.13942,1,0.18062,0.61244,0.27804,0.1007,0.00366,0.18614,1,1
"1_324",2e-05,0.79924,0.15234,1,0.18674,0.6903,0.22942,0.07498,0.00418,0.18838,1,1
"1_285",2e-05,0.76894,0.11692,1,0.14894,0.67068,0.25646,0.0644,0.00432,0.14972,1,1
"1_107",2e-05,0.7612,0.17152,1,0.23012,0.66532,0.24344,0.08384,0.00444,0.23194,1,1
"1_401",2e-05,0.79338,0.13512,1,0.1769,0.68182,0.24512,0.06638,0.00472,0.1801,1,1
"1_192",2e-05,0.7801,0.14478,1,0.19516,0.68236,0.23476,0.07358,0.00428,0.19812,1,1
"1_351",2e-05,0.81106,0.15456,1,0.18386,0.70464,0.2114,0.07988,0.00416,0.18626,1,1
"1_255",2e-05,0.76054,0.13352,1,0.17566,0.66744,0.25032,0.07124,0.0041,0.17762,1,1
"4_239",2e-05,0.75008,0.12642,1,0.17958,0.67814,0.22546,0.0891,0.00422,0.18134,1,1
"4_18",2e-05,0.7739,0.1709,1,0.2102,0.64242,0.26318,0.0704,0.00452,0.21044,1,1
"4_375",2e-05,0.73936,0.13522,1,0.19112,0.64416,0.26886,0.07806,0.00472,0.1928,1,1
"4_628",2e-05,0.8015,0.11622,1,0.14014,0.7163,0.20018,0.07994,0.00448,0.14312,1,1
"4_148",2e-05,0.78418,0.15516,1,0.19386,0.61912,0.28608,0.07644,0.00366,0.19572,1,1
"4_473",2e-05,0.75526,0.11484,1,0.15614,0.63992,0.28072,0.07444,0.0045,0.15954,1,1
"4_429",2e-05,0.7444,0.14178,1,0.17902,0.63104,0.27488,0.08368,0.00448,0.18064,1,1
"4_472",4e-05,0.81486,0.13118,1,0.14916,0.68976,0.22068,0.07352,0.00392,0.15032,1,1
"4_185",2e-05,0.74666,0.12052,1,0.15692,0.64788,0.26882,0.07372,0.00392,0.15834,1,1
"4_163",2e-05,0.778,0.16,1,0.20264,0.64006,0.2842,0.0631,0.00418,0.20394,1,1
"4_68",2e-05,0.72596,0.16564,1,0.21092,0.6148,0.2783,0.09552,0.00436,0.21244,1,1
"4_25",2e-05,0.76566,0.13076,1,0.1718,0.68556,0.24138,0.06448,0.00394,0.17242,1,1
"4_79",2e-05,0.72546,0.12662,1,0.17106,0.62752,0.27356,0.09018,0.0043,0.17244,1,1
"4_536",2e-05,0.80162,0.17256,1,0.21956,0.63844,0.26592,0.08576,0.00404,0.22638,1,1
"4_52",2e-05,0.79578,0.14802,1,0.1753,0.66704,0.24106,0.08022,0.00444,0.1757,1,1
"4_119",2e-05,0.79126,0.13172,1,0.1632,0.70888,0.22484,0.05736,0.00434,0.16388,1,1
"4_679",2e-05,0.79,0.14064,1,0.16254,0.68504,0.24708,0.06238,0.00452,0.16406,1,1
"4_65",2e-05,0.72988,0.14454,1,0.18502,0.62718,0.27884,0.0815,0.00422,0.18554,1,1
"4_385",2e-05,0.79214,0.15224,1,0.17858,0.62358,0.30694,0.05754,0.00438,0.18038,1,1
"4_461",2e-05,0.73522,0.11124,1,0.1505,0.63482,0.28408,0.07438,0.0047,0.15286,1,1
"4_389",2e-05,0.74618,0.1586,1,0.20266,0.60382,0.2926,0.09264,0.00392,0.20498,1,1
"4_449",2e-05,0.75842,0.14596,1,0.18038,0.65048,0.26144,0.0822,0.0047,0.18296,1,1
"4_31",2e-05,0.75604,0.14406,1,0.1878,0.65474,0.25338,0.07234,0.00422,0.18814,1,1
"4_432",6e-05,0.78002,0.1185,1,0.1456,0.67172,0.23828,0.07964,0.00426,0.14634,1,1
"4_603",2e-05,0.7716,0.13266,1,0.182,0.67058,0.2679,0.0549,0.00446,0.1834,1,1
"4_412",2e-05,0.78464,0.17352,1,0.203,0.6159,0.29952,0.06876,0.00446,0.20402,1,1
"4_582",2e-05,0.77612,0.12528,1,0.14996,0.67824,0.23778,0.07778,0.00426,0.15168,1,1
"4_529",2e-05,0.78366,0.13504,1,0.1614,0.64528,0.28744,0.06204,0.0042,0.16206,1,1
"4_438",2e-05,0.79634,0.11852,1,0.15394,0.70552,0.21462,0.07464,0.0042,0.15512,1,1
"4_321",2e-05,0.7388,0.1356,1,0.19906,0.64918,0.26832,0.07414,0.00384,0.20072,1,1
"4_587",4e-05,0.72288,0.12878,1,0.16742,0.6334,0.25776,0.1012,0.00378,0.16958,1,1
"4_593",2e-05,0.7752,0.1612,1,0.19322,0.66022,0.24156,0.08598,0.00384,0.1947,1,1
"4_540",2e-05,0.75428,0.12626,1,0.157,0.6334,0.28616,0.0754,0.00446,0.15988,1,1
"4_625",2e-05,0.70264,0.13682,1,0.22054,0.59234,0.3433,0.05854,0.00476,0.2235,1,1
"4_616",2e-05,0.79026,0.12568,1,0.1614,0.68916,0.23692,0.0682,0.00386,0.1632,1,1
