"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_174",0.00012,0.18118,1,0.11922,0.96958,0.1618,0.57822,0.24994,0.00352,1,1,0.9805
"1_194",2e-05,0.09258,1,0.05624,0.986,0.08128,0.6697,0.22824,0.00392,1,1,0.99112
"1_82",0.00012,0.06582,1,0.04174,0.98798,0.05916,0.68986,0.22544,0.0036,1,1,0.99192
"1_207",4e-05,0.12736,1,0.0889,0.9815,0.11224,0.6453,0.22174,0.0034,1,1,0.9877
"1_308",2e-05,0.10308,1,0.058,0.98178,0.09308,0.68984,0.1971,0.0041,1,1,0.98758
"1_324",0.00016,0.19598,1,0.08814,0.95306,0.17588,0.5672,0.2564,0.00338,1,1,0.96814
"1_224",2e-05,0.117,1,0.0677,0.97694,0.10274,0.67662,0.2065,0.0039,1,1,0.98598
"1_58",6e-05,0.0563,1,0.0359,0.99214,0.04928,0.7018,0.2226,0.00386,1,1,0.99494
"1_54",0.00196,0.18078,1,0.09656,0.95096,0.15968,0.61992,0.21548,0.00398,1,1,0.96722
"1_489",0.00068,0.2351,1,0.16014,0.95244,0.2,0.55404,0.24336,0.00392,1,1,0.9704
"1_172",2e-05,0.01884,1,0.01092,0.9957,0.01714,0.77662,0.18688,0.00382,1,1,0.99664
"1_218",0.00014,0.14336,1,0.07214,0.96024,0.12786,0.65702,0.20764,0.00408,1,1,0.97408
"1_179",4e-05,0.1083,1,0.06508,0.98316,0.09712,0.65926,0.23104,0.00384,1,1,0.9883
"1_170",6e-05,0.085,1,0.05408,0.98796,0.07362,0.66462,0.243,0.00304,1,1,0.99248
"1_314",0.00022,0.04646,1,0.02982,0.99278,0.0416,0.76614,0.17706,0.00364,1,1,0.99514
"1_244",3e-04,0.18596,1,0.10394,0.958,0.1669,0.57752,0.24214,0.00332,1,1,0.97282
"1_480",4e-05,0.14044,1,0.0814,0.9733,0.1234,0.6578,0.20838,0.00364,1,1,0.98268
"1_294",6e-05,0.07748,1,0.04028,0.98566,0.06892,0.71482,0.19982,0.0037,1,1,0.9908
"1_149",0.00014,0.16324,1,0.09458,0.9727,0.14268,0.61278,0.22258,0.00346,1,1,0.98316
"1_400",2e-05,0.07718,1,0.04298,0.98752,0.06828,0.66968,0.22848,0.0039,1,1,0.9909
"1_168",2e-05,0.15146,1,0.10492,0.9815,0.13522,0.60782,0.24336,0.00392,1,1,0.98846
"1_373",6e-05,0.09624,1,0.05704,0.98176,0.0842,0.69182,0.20808,0.00418,1,1,0.98716
"1_85",2e-05,0.07142,1,0.04656,0.98742,0.063,0.7065,0.2126,0.00356,1,1,0.99102
"1_500",2e-05,0.12038,1,0.0805,0.98464,0.10368,0.61386,0.2673,0.00316,1,1,0.9899
"1_322",4e-05,0.11042,1,0.07848,0.98364,0.09684,0.68458,0.2135,0.00344,1,1,0.98886
"1_27",2e-05,0.08964,1,0.04592,0.98186,0.0819,0.65218,0.2438,0.0033,1,1,0.98754
"1_247",2e-05,0.0815,1,0.05334,0.98818,0.07154,0.64002,0.25738,0.0041,1,1,0.99272
"1_214",8e-05,0.0924,1,0.04522,0.98082,0.08264,0.6775,0.21764,0.00402,1,1,0.98642
"1_242",2e-05,0.14306,1,0.08772,0.97506,0.12924,0.63072,0.23412,0.00312,1,1,0.98204
"1_427",2e-05,0.08146,1,0.05222,0.9847,0.06858,0.71058,0.19836,0.00402,1,1,0.99054
"1_271",2e-05,0.12426,1,0.0774,0.9761,0.1085,0.66604,0.21476,0.00404,1,1,0.98482
"1_386",2e-05,0.08604,1,0.05488,0.98738,0.07526,0.67298,0.22674,0.00356,1,1,0.9908
"1_291",2e-05,0.10948,1,0.06408,0.9799,0.097,0.68226,0.20844,0.00412,1,1,0.98558
"1_264",2e-05,0.14846,1,0.08152,0.96794,0.13098,0.60292,0.24964,0.00364,1,1,0.97856
"1_342",2e-05,0.14782,1,0.07448,0.96738,0.13112,0.66224,0.20066,0.00372,1,1,0.97844
"1_330",2e-05,0.07164,1,0.04914,0.99168,0.06298,0.6875,0.22452,0.00362,1,1,0.99428
"1_57",6e-05,0.04244,1,0.0258,0.99126,0.03662,0.73152,0.2052,0.00392,1,1,0.99454
"1_26",2e-05,0.07344,1,0.05146,0.9917,0.06362,0.72056,0.19204,0.00376,1,1,0.99522
"4_196",2e-05,0.03362,1,0.0174,0.99246,0.02984,0.7253,0.21598,0.00356,1,1,0.9949
"4_436",2e-05,0.14648,1,0.05798,0.95544,0.12964,0.61682,0.24248,0.00366,1,1,0.9718
"4_429",2e-05,0.15278,1,0.0732,0.96736,0.13562,0.65382,0.20076,0.00432,1,1,0.97786
