"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_387",6e-05,1,0.11414,0.22362,0.12178,0.87344,0.11278,0.01316,0.00784,0.14556,1,0.29244
"1_311",0.00014,1,0.14156,0.27676,0.16702,0.82328,0.1526,0.0219,0.00716,0.17774,1,0.36668
"1_285",0.00024,1,0.08058,0.15038,0.07822,0.9157,0.0745,0.00942,0.00752,0.10294,1,0.19656
"1_36",2e-05,1,0.08128,0.15622,0.08768,0.90538,0.07846,0.01452,0.00782,0.0986,1,0.21156
"1_13",6e-05,1,0.06452,0.14438,0.07882,0.916,0.06904,0.01234,0.00812,0.08214,1,0.19456
"1_117",8e-05,1,0.09688,0.23298,0.117,0.87748,0.10498,0.01646,0.00734,0.12316,1,0.29544
"1_81",2e-05,1,0.06976,0.1312,0.06978,0.92584,0.0588,0.0136,0.00734,0.0893,1,0.17278
"1_150",4e-05,1,0.11112,0.23288,0.1285,0.8633,0.11448,0.0205,0.0073,0.13552,1,0.3045
"1_463",1e-04,1,0.1221,0.22552,0.12964,0.866,0.11584,0.0175,0.0073,0.15428,1,0.29888
"1_134",2e-05,1,0.07186,0.1333,0.08074,0.91744,0.06722,0.01484,0.00718,0.09536,1,0.1782
"1_365",4e-05,1,0.09176,0.13018,0.07742,0.9239,0.06404,0.01144,0.00792,0.1123,1,0.17582
"1_151",2e-05,1,0.09918,0.2267,0.11656,0.87558,0.11114,0.01264,0.00752,0.12482,1,0.29352
"1_60",7e-04,1,0.06742,0.10776,0.06534,0.9329,0.0571,0.00902,0.00792,0.08746,1,0.14586
"1_152",0.00144,1,0.12732,0.29088,0.14746,0.83932,0.1363,0.02286,0.00778,0.15918,1,0.36708
"1_102",4e-04,1,0.10898,0.21758,0.11574,0.8782,0.09758,0.02142,0.00668,0.12764,1,0.28716
"1_424",2e-05,1,0.11498,0.17444,0.1178,0.8788,0.10574,0.01432,0.00756,0.13708,1,0.25166
"1_228",1e-04,1,0.07692,0.14114,0.08148,0.911,0.07614,0.0122,0.0078,0.0957,1,0.19214
"1_114",4e-05,1,0.11208,0.22248,0.13072,0.86018,0.11992,0.01824,0.0073,0.14672,1,0.29492
"1_121",6e-05,1,0.12026,0.27452,0.1501,0.84372,0.13568,0.01898,0.00762,0.15576,1,0.35398
"1_288",2e-05,1,0.09652,0.17956,0.11002,0.88716,0.09444,0.01724,0.00738,0.12148,1,0.24554
"1_458",8e-05,1,0.1048,0.16428,0.09572,0.90034,0.08872,0.0105,0.00752,0.12966,1,0.2219
"1_470",2e-05,1,0.1142,0.18778,0.10922,0.88666,0.1001,0.01284,0.00708,0.14714,1,0.24796
"1_253",6e-05,1,0.0886,0.18538,0.09692,0.89414,0.0921,0.0132,0.0068,0.11324,1,0.2411
"1_67",2e-05,1,0.09692,0.16616,0.1012,0.88878,0.09628,0.01388,0.00778,0.12662,1,0.22462
"1_324",2e-05,1,0.1262,0.22718,0.1334,0.8601,0.12112,0.0177,0.00766,0.1627,1,0.30062
"1_129",2e-05,1,0.08704,0.17592,0.10368,0.88728,0.09878,0.01276,0.00678,0.10742,1,0.24142
"1_468",2e-05,1,0.1119,0.17576,0.12336,0.86708,0.1225,0.01,0.00746,0.14408,1,0.25104
"1_235",0.00012,1,0.09392,0.18976,0.11262,0.8808,0.10322,0.01468,0.00756,0.11758,1,0.258
"1_23",4e-05,1,0.07086,0.1431,0.08424,0.91018,0.07482,0.0129,0.00716,0.08992,1,0.1952
"1_162",2e-05,1,0.09402,0.18398,0.10226,0.88582,0.1006,0.0128,0.00754,0.12184,1,0.24378
"1_84",4e-05,1,0.117,0.23624,0.1352,0.85624,0.1248,0.01716,0.00752,0.14524,1,0.3123
"1_315",2e-05,1,0.08318,0.14856,0.09504,0.89766,0.09152,0.01008,0.00768,0.1074,1,0.20736
"1_325",2e-05,1,0.13696,0.27462,0.146,0.85506,0.11038,0.03248,0.00706,0.16744,1,0.34612
"1_443",6e-05,1,0.12228,0.24318,0.15062,0.83416,0.14826,0.0166,0.00762,0.1556,1,0.32902
"1_260",8e-05,1,0.07992,0.17088,0.09332,0.89564,0.09292,0.01076,0.00752,0.1026,1,0.22698
"1_421",2e-05,1,0.12986,0.22714,0.15726,0.83288,0.1526,0.01368,0.00736,0.16954,1,0.32052
"1_417",2e-05,1,0.11722,0.22,0.12908,0.85894,0.12562,0.01454,0.00804,0.14634,1,0.29686
"1_40",2e-05,1,0.0814,0.16402,0.09322,0.9021,0.08002,0.0161,0.00728,0.0999,1,0.22166
"1_2",4e-05,1,0.05644,0.13546,0.06872,0.9239,0.06398,0.0103,0.00742,0.07368,1,0.1774
"1_143",2e-05,1,0.08152,0.15382,0.08636,0.9067,0.08076,0.01166,0.0072,0.10232,1,0.20756
"1_406",2e-05,1,0.11664,0.21472,0.14494,0.84858,0.13362,0.01656,0.00764,0.15084,1,0.298
"1_90",2e-05,1,0.13608,0.26144,0.15012,0.83704,0.1382,0.02126,0.00754,0.1712,1,0.34508
"1_302",2e-05,1,0.0915,0.16206,0.08892,0.90648,0.0805,0.01206,0.00812,0.11184,1,0.21694
"1_412",2e-05,1,0.09308,0.1591,0.09824,0.89834,0.08916,0.01206,0.0071,0.11552,1,0.22056
"1_474",6e-05,1,0.117,0.17598,0.11672,0.87642,0.11116,0.01204,0.00704,0.14442,1,0.2475
"1_374",4e-05,1,0.08708,0.1359,0.08504,0.90972,0.07894,0.01088,0.00722,0.11204,1,0.18626
"5_55",2e-05,1,0.14434,0.32606,0.17272,0.79348,0.1861,0.01816,0.00726,0.17434,1,0.42004
"5_100",2e-05,1,0.12228,0.24904,0.14468,0.83704,0.1404,0.02006,0.00772,0.14986,1,0.3325
"5_190",2e-05,1,0.13044,0.25474,0.14836,0.83744,0.14488,0.01648,0.00754,0.1545,1,0.34394
"5_126",2e-05,1,0.08624,0.17868,0.08744,0.89018,0.09256,0.01662,0.00736,0.10522,1,0.2324
"5_71",2e-05,1,0.0942,0.22796,0.11346,0.87326,0.11086,0.01404,0.00696,0.11512,1,0.29366
"5_103",2e-05,1,0.07392,0.17948,0.07846,0.9091,0.07946,0.01086,0.00746,0.09076,1,0.22764
"5_324",2e-05,1,0.09892,0.17696,0.10828,0.87848,0.1099,0.01104,0.0075,0.12532,1,0.24486
"5_85",2e-05,1,0.08024,0.18508,0.08376,0.90772,0.07674,0.01476,0.00734,0.09726,1,0.23562
"5_377",2e-05,1,0.1165,0.21758,0.1233,0.86726,0.1182,0.0139,0.0068,0.14068,1,0.2909
"5_64",0.00012,1,0.1397,0.33752,0.15634,0.8308,0.13504,0.03088,0.00698,0.16628,1,0.4162
"5_230",4e-05,1,0.08442,0.20908,0.10164,0.88766,0.09824,0.0133,0.00756,0.10718,1,0.26826
