"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_612",2e-05,0.852,0.13112,1,0.17036,0.762,0.18426,0.05234,0.00726,0.17242,1,1
"1_113",2e-05,0.76926,0.14188,1,0.25382,0.6718,0.27858,0.04692,0.00742,0.25504,1,1
"1_501",2e-05,0.7755,0.18828,1,0.25778,0.66098,0.27798,0.0592,0.0071,0.26124,1,1
"1_324",2e-05,0.81168,0.1348,1,0.20866,0.73158,0.18698,0.07848,0.00694,0.21352,1,1
"1_610",2e-05,0.84054,0.14688,1,0.18692,0.74852,0.18946,0.0602,0.00744,0.19108,1,1
"1_109",0.00018,0.84882,0.11632,1,0.17736,0.75356,0.17368,0.06852,0.00712,0.17934,1,1
"1_722",2e-05,0.82912,0.17318,1,0.21664,0.69166,0.24496,0.05996,0.00708,0.21916,1,1
"1_240",2e-05,0.81524,0.16794,1,0.2211,0.71942,0.21208,0.0643,0.0072,0.22228,1,1
"1_732",8e-05,0.8363,0.1785,1,0.2172,0.7065,0.24668,0.04544,0.00716,0.21934,1,1
"1_648",8e-05,0.77226,0.18584,1,0.25006,0.67212,0.25576,0.07096,0.0063,0.25448,1,1
"1_301",2e-05,0.8414,0.15394,1,0.2176,0.72716,0.19812,0.0686,0.00828,0.22172,1,1
"1_613",2e-05,0.83834,0.15932,1,0.2343,0.7337,0.20678,0.05722,0.00704,0.23876,1,1
"1_708",4e-05,0.84542,0.1376,1,0.19424,0.7487,0.2077,0.0417,0.00724,0.19692,1,1
"1_280",0.00028,0.8762,0.17046,1,0.20456,0.71436,0.22508,0.05676,0.00728,0.20682,1,1
"1_63",4e-05,0.77478,0.18796,1,0.27948,0.70192,0.21292,0.07714,0.0071,0.282,1,1
"1_319",2e-05,0.84892,0.14688,1,0.19088,0.75704,0.1935,0.0478,0.00784,0.1942,1,1
"1_428",2e-05,0.8265,0.2017,1,0.2313,0.67756,0.24798,0.06796,0.0068,0.23244,1,1
"1_652",2e-05,0.83046,0.1512,1,0.19596,0.72558,0.22154,0.05114,0.00694,0.19922,1,1
"1_241",2e-04,0.81022,0.14572,1,0.19446,0.73964,0.21302,0.04512,0.00748,0.19562,1,1
"1_311",2e-05,0.8689,0.1377,1,0.1799,0.76904,0.17024,0.05766,0.00716,0.1812,1,1
"1_531",4e-05,0.83548,0.16316,1,0.2152,0.72336,0.21768,0.05688,0.00676,0.22408,1,1
"1_293",2e-05,0.83994,0.12316,1,0.16834,0.75474,0.16522,0.07836,0.00722,0.17078,1,1
"1_378",2e-05,0.83044,0.09818,1,0.1837,0.7318,0.20712,0.05964,0.00628,0.18934,1,1
"1_615",2e-05,0.74062,0.17462,1,0.25004,0.63546,0.3054,0.05658,0.0078,0.251,1,1
"1_704",2e-05,0.84592,0.17682,1,0.22144,0.71898,0.21058,0.06796,0.007,0.22422,1,1
"1_520",2e-05,0.81476,0.16982,1,0.21562,0.69226,0.23702,0.06832,0.0067,0.21852,1,1
"1_132",2e-05,0.83358,0.18432,1,0.2323,0.6971,0.23754,0.05918,0.00686,0.23424,1,1
"1_475",2e-05,0.8127,0.17406,1,0.2169,0.6548,0.27814,0.06236,0.00736,0.2178,1,1
"1_653",2e-05,0.81092,0.13776,1,0.1712,0.71922,0.2215,0.05798,0.00748,0.17232,1,1
"1_328",2e-05,0.79536,0.1361,1,0.22294,0.70588,0.24014,0.0514,0.008,0.2263,1,1
"1_228",2e-05,0.871,0.1605,1,0.1849,0.7377,0.2094,0.05058,0.00736,0.18756,1,1
"1_126",2e-05,0.79258,0.15726,1,0.23278,0.6839,0.25358,0.05884,0.0075,0.23448,1,1
"1_211",6e-05,0.88136,0.149,1,0.18112,0.797,0.14314,0.05624,0.00712,0.18304,1,1
"1_559",2e-05,0.81106,0.19938,1,0.23992,0.68896,0.23608,0.07102,0.00718,0.2408,1,1
"1_416",2e-05,0.81126,0.16012,1,0.23158,0.71696,0.21558,0.06546,0.00702,0.23452,1,1
"1_626",2e-05,0.82946,0.16332,1,0.23072,0.68586,0.26564,0.045,0.00762,0.23406,1,1
