"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_315",2e-05,0.0304,1,0.0162,0.99456,0.02604,0.77982,0.17944,0.00646,1,1,0.99572
"1_290",2e-05,0.00432,1,0.00124,0.99846,0.00376,0.76976,0.207,0.0063,1,1,0.9988
"1_375",0.00026,0.10924,1,0.04052,0.94726,0.09874,0.75866,0.13536,0.00736,1,1,0.95334
"1_49",0.00022,0.06872,1,0.02072,0.97852,0.06106,0.7537,0.17798,0.00628,1,1,0.9836
"1_192",2e-05,0.0129,1,0.0061,0.99574,0.01098,0.80218,0.16566,0.00648,1,1,0.9967
"1_473",0.00012,0.0656,1,0.0212,0.9763,0.0581,0.78312,0.14716,0.00678,1,1,0.98224
"1_215",4e-05,0.16094,1,0.05576,0.926,0.1446,0.69922,0.14772,0.00698,1,1,0.93556
"1_221",0.00024,0.02762,1,0.01294,0.98974,0.02326,0.83298,0.13456,0.0068,1,1,0.99302
"1_562",4e-05,0.0836,1,0.0275,0.94138,0.07378,0.83258,0.08606,0.00732,1,1,0.94858
"1_93",2e-05,0.14532,1,0.051,0.93746,0.13052,0.7329,0.12176,0.00752,1,1,0.94524
"1_417",2e-05,0.13712,1,0.04896,0.94848,0.11238,0.71846,0.1589,0.00724,1,1,0.95788
"1_126",0.00024,0.0355,1,0.01506,0.9915,0.02964,0.71664,0.21802,0.00662,1,1,0.99448
"1_384",0.00064,0.05248,1,0.02354,0.97872,0.04228,0.79914,0.1442,0.00626,1,1,0.98538
"1_496",2e-05,0.00618,1,0.00252,0.99522,0.00556,0.89814,0.09078,0.00614,1,1,0.99612
"1_592",6e-05,0.08864,1,0.03388,0.9401,0.06872,0.86478,0.0644,0.00706,1,1,0.95654
"1_154",2e-05,0.05166,1,0.0207,0.97946,0.04642,0.78554,0.15596,0.0062,1,1,0.9816
"1_21",1e-04,0.05686,1,0.0192,0.97814,0.05038,0.74686,0.17738,0.00648,1,1,0.98322
"1_118",2e-05,0.04024,1,0.01542,0.98106,0.03334,0.799,0.1478,0.0066,1,1,0.98622
"1_558",2e-05,0.12556,1,0.02802,0.94916,0.11014,0.72896,0.15382,0.007,1,1,0.95798
"1_425",2e-05,0.1089,1,0.0274,0.95832,0.0907,0.77614,0.12336,0.00708,1,1,0.96704
"1_370",2e-05,0.14176,1,0.03802,0.94858,0.12796,0.68924,0.17398,0.0062,1,1,0.95852
"1_20",2e-05,0.01448,1,0.00416,0.99394,0.01318,0.78488,0.18248,0.00604,1,1,0.9947
"1_320",4e-05,0.02546,1,0.0073,0.98946,0.02264,0.79858,0.1618,0.0067,1,1,0.9916
"1_454",2e-05,0.03254,1,0.00708,0.98124,0.02904,0.85074,0.11226,0.00668,1,1,0.9833
"1_462",2e-05,0.14498,1,0.06418,0.93086,0.12666,0.74606,0.12238,0.00688,1,1,0.94568
"1_217",2e-05,0.01884,1,0.00808,0.99318,0.01646,0.79658,0.17656,0.0064,1,1,0.99396
"1_479",4e-05,0.25106,1,0.07904,0.87106,0.2234,0.60082,0.16106,0.00704,1,1,0.893
"1_161",2e-05,0.17878,1,0.06426,0.86922,0.16526,0.70472,0.1197,0.00728,1,1,0.87894
"1_230",0.00012,0.00096,1,3e-04,0.99864,0.00086,0.81644,0.15832,0.00664,1,1,0.99868
"1_309",2e-05,0.10072,1,0.023,0.96574,0.08988,0.7345,0.16718,0.00636,1,1,0.9719
"1_453",2e-05,0.06606,1,0.02546,0.96794,0.05934,0.8032,0.12782,0.00646,1,1,0.9719
"1_421",2e-05,0.0939,1,0.03828,0.96208,0.0833,0.78356,0.129,0.00666,1,1,0.96862
"1_47",2e-05,0.08052,1,0.02916,0.97,0.07354,0.71264,0.19318,0.00666,1,1,0.97514
"1_324",2e-05,0.04686,1,0.0154,0.96992,0.0412,0.8509,0.10516,0.0067,1,1,0.9751
"1_167",2e-05,0.03422,1,0.01588,0.99064,0.03016,0.80198,0.15686,0.00726,1,1,0.99334
"1_251",4e-05,0.10974,1,0.02716,0.9553,0.09486,0.73614,0.15808,0.0061,1,1,0.96392
"1_311",8e-05,0.01794,1,0.00666,0.9936,0.01556,0.80092,0.16236,0.00642,1,1,0.99482
"1_588",2e-05,0.15646,1,0.06742,0.90812,0.13762,0.76252,0.09828,0.00704,1,1,0.9207
"1_312",2e-05,0.14382,1,0.05082,0.93698,0.12556,0.69868,0.16058,0.00712,1,1,0.94998
"1_307",2e-05,0.14062,1,0.0515,0.96094,0.12266,0.68174,0.18276,0.00622,1,1,0.97038
"4_151",2e-05,0.08346,1,0.02476,0.97364,0.07574,0.72304,0.19156,0.00606,1,1,0.97846
"4_388",2e-05,0.06664,1,0.0195,0.9559,0.05826,0.817,0.11642,0.00662,1,1,0.96236
"4_101",2e-05,0.07472,1,0.02492,0.97664,0.0677,0.75898,0.16092,0.00624,1,1,0.9805
"4_464",2e-05,0.18232,1,0.07764,0.9113,0.16302,0.69658,0.13316,0.0066,1,1,0.92826
"4_211",2e-05,0.1519,1,0.0503,0.91648,0.1313,0.73054,0.13208,0.00676,1,1,0.93502
"4_313",2e-05,0.06366,1,0.02038,0.9722,0.05576,0.78168,0.14974,0.00642,1,1,0.97826
"4_239",2e-05,0.06828,1,0.02292,0.96654,0.06096,0.80308,0.12914,0.00658,1,1,0.97378
"4_129",2e-05,0.02538,1,0.01108,0.9911,0.02204,0.84102,0.12718,0.00632,1,1,0.993
"4_186",2e-05,0.15206,1,0.06078,0.92142,0.13054,0.74648,0.11648,0.00788,1,1,0.93864
"4_508",2e-05,0.1137,1,0.04434,0.92946,0.09912,0.80074,0.09754,0.00706,1,1,0.94266
"4_114",2e-05,0.0752,1,0.02902,0.95618,0.06792,0.78672,0.13556,0.00704,1,1,0.96322
