"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_8",2e-05,1,0.08154,0.22674,0.10178,0.8749,0.10644,0.01516,0.00784,0.10514,1,0.28438
"1_194",0.00018,1,0.11852,0.31338,0.13682,0.8429,0.12732,0.0268,0.00738,0.14326,1,0.3811
"1_369",2e-05,1,0.0994,0.18974,0.11296,0.85896,0.12608,0.01408,0.00744,0.12522,1,0.25986
"1_501",2e-05,1,0.1414,0.29292,0.16906,0.79202,0.18278,0.0224,0.0082,0.17026,1,0.38266
"1_13",0.00076,1,0.07266,0.19416,0.08184,0.90516,0.07206,0.01978,0.00752,0.08456,1,0.24054
"1_511",6e-05,1,0.10856,0.22332,0.12712,0.84788,0.1377,0.01354,0.0067,0.13456,1,0.30326
"1_669",2e-05,1,0.13728,0.2355,0.12946,0.84802,0.13136,0.02,0.00678,0.16094,1,0.3125
"1_435",1e-04,1,0.09852,0.22352,0.10966,0.8763,0.1036,0.01872,0.00726,0.11586,1,0.28784
"1_65",2e-05,1,0.0832,0.23942,0.11062,0.87536,0.11004,0.0137,0.0071,0.11592,1,0.2926
"1_319",2e-05,1,0.08864,0.17456,0.09572,0.88866,0.09402,0.01636,0.00784,0.10126,1,0.23902
"1_260",2e-05,1,0.0816,0.20506,0.09252,0.90006,0.08438,0.01454,0.00728,0.10244,1,0.25752
"1_190",4e-05,1,0.15532,0.27384,0.18916,0.78128,0.19536,0.0194,0.00714,0.198,1,0.38456
"1_598",2e-05,1,0.11976,0.20782,0.12718,0.84482,0.13594,0.01826,0.00714,0.14244,1,0.29112
"1_217",0.00038,1,0.1756,0.34706,0.1687,0.80938,0.1561,0.0298,0.0068,0.20686,1,0.43358
"1_591",1e-04,1,0.08594,0.1316,0.08356,0.90482,0.08038,0.01418,0.00736,0.10316,1,0.18658
"1_580",2e-05,1,0.0891,0.16802,0.09788,0.89248,0.0962,0.01082,0.00752,0.11578,1,0.22544
"1_639",0.00026,1,0.10052,0.22226,0.10744,0.88162,0.10152,0.0162,0.0079,0.12454,1,0.28344
"1_209",6e-05,1,0.10034,0.20824,0.11118,0.86448,0.11814,0.01516,0.00786,0.1282,1,0.27138
"1_150",0.00012,1,0.13908,0.38038,0.16796,0.76926,0.20268,0.02462,0.00732,0.17208,1,0.4597
"1_401",8e-05,1,0.09404,0.23962,0.10094,0.89,0.0933,0.01596,0.0076,0.11532,1,0.2959
"1_301",2e-05,1,0.08892,0.16812,0.0974,0.89006,0.0935,0.01468,0.0081,0.12028,1,0.2192
"1_49",2e-05,1,0.06024,0.1336,0.07446,0.90702,0.0817,0.00982,0.0075,0.07618,1,0.18452
"1_353",2e-05,1,0.07574,0.18062,0.08686,0.90156,0.08442,0.01316,0.00712,0.09504,1,0.23236
"1_439",2e-05,1,0.07426,0.13088,0.0832,0.90148,0.08802,0.00966,0.0071,0.09388,1,0.18484
"1_175",2e-05,1,0.1024,0.25924,0.12318,0.85246,0.12082,0.02346,0.00692,0.13258,1,0.32388
"1_530",2e-05,1,0.0828,0.15272,0.0901,0.89396,0.09486,0.01042,0.00754,0.10886,1,0.20622
"1_506",2e-05,1,0.09306,0.17788,0.10928,0.87934,0.10738,0.01236,0.00734,0.12138,1,0.24214
"1_181",2e-05,1,0.0776,0.1762,0.09174,0.89884,0.08356,0.01556,0.0073,0.09588,1,0.23544
"1_285",2e-05,1,0.10744,0.20874,0.11768,0.85502,0.12426,0.01918,0.00736,0.13048,1,0.27886
"1_357",4e-05,1,0.08932,0.19388,0.09326,0.9021,0.08204,0.0151,0.00824,0.11408,1,0.24508
"1_650",2e-05,1,0.14922,0.20938,0.13706,0.8513,0.13086,0.01712,0.00772,0.17582,1,0.29386
"1_453",4e-05,1,0.07674,0.11662,0.09038,0.89606,0.09516,0.0082,0.00772,0.09848,1,0.17718
"1_109",1e-04,1,0.06974,0.17588,0.10014,0.88144,0.10912,0.00876,0.00804,0.10358,1,0.231
"1_493",2e-05,1,0.11746,0.28296,0.12958,0.8377,0.13944,0.02192,0.00702,0.13656,1,0.35824
"1_219",2e-05,1,0.07028,0.1196,0.07368,0.91552,0.07278,0.01076,0.0075,0.08486,1,0.17042
"1_84",2e-05,1,0.14288,0.30834,0.17204,0.80752,0.16356,0.02436,0.0076,0.17504,1,0.39794
"4_17",4e-05,1,0.0666,0.17286,0.08288,0.90756,0.08182,0.00954,0.0079,0.09212,1,0.21944
"4_267",0.00096,1,0.09002,0.1453,0.0977,0.8908,0.09564,0.01274,0.00754,0.10628,1,0.2116
"4_423",2e-05,1,0.11,0.19718,0.1127,0.87146,0.1144,0.01344,0.00804,0.13724,1,0.26314
"4_86",6e-05,1,0.08452,0.1288,0.08886,0.90098,0.08584,0.01238,0.0069,0.10484,1,0.18728
"4_137",0.00026,1,0.07238,0.12574,0.07028,0.92612,0.06302,0.01,0.00768,0.09412,1,0.16454
"4_48",1e-04,1,0.08922,0.2213,0.09604,0.89364,0.08714,0.01824,0.00724,0.11336,1,0.27554
"4_336",0.00038,1,0.10872,0.21106,0.1138,0.86738,0.11658,0.01524,0.0074,0.13474,1,0.27926
"4_1",2e-05,1,0.05824,0.1317,0.06772,0.91984,0.0632,0.01398,0.00714,0.07932,1,0.17054
"4_47",0.00022,1,0.06874,0.16162,0.08276,0.90344,0.08664,0.00914,0.00662,0.09012,1,0.21276
"4_384",2e-05,1,0.0934,0.19412,0.08938,0.8905,0.09378,0.01532,0.00792,0.11568,1,0.24656
"4_180",2e-05,1,0.07958,0.1385,0.07458,0.91138,0.07606,0.01144,0.00766,0.0956,1,0.18734
"4_58",3e-04,1,0.06336,0.12672,0.08638,0.89952,0.09042,0.00902,0.008,0.09148,1,0.17772
"4_67",2e-05,1,0.0767,0.149,0.08306,0.90096,0.0853,0.0126,0.0079,0.09488,1,0.20254
"4_226",2e-05,1,0.08566,0.16106,0.09026,0.90104,0.08418,0.01398,0.00786,0.11284,1,0.21114
"4_29",4e-05,1,0.08456,0.153,0.09064,0.89682,0.091,0.0109,0.00778,0.11334,1,0.20388
"4_127",2e-05,1,0.08444,0.15166,0.08284,0.90682,0.0769,0.01542,0.00702,0.10332,1,0.20296
"4_187",2e-05,1,0.07702,0.13552,0.0758,0.90926,0.0775,0.01208,0.00796,0.09372,1,0.18434
"4_281",2e-05,1,0.1064,0.19022,0.10266,0.87916,0.10766,0.01254,0.00746,0.12998,1,0.25352
