"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_41",1e-04,0.1031,1,0.05248,0.96682,0.0828,0.72978,0.16236,0.00632,1,1,0.9777
"1_195",0.00054,0.05348,1,0.02378,0.97842,0.04536,0.82228,0.12048,0.00726,1,1,0.98424
"1_308",0.00012,0.02572,1,0.00942,0.98704,0.0221,0.85066,0.11242,0.00722,1,1,0.9895
"1_521",4e-05,0.31276,1,0.10944,0.77864,0.25458,0.6339,0.10694,0.00736,1,1,0.84102
"1_391",2e-05,0.06792,1,0.02526,0.96874,0.06002,0.79912,0.13056,0.00678,1,1,0.97486
"1_381",1e-04,0.1433,1,0.04216,0.9175,0.12642,0.7305,0.13818,0.00614,1,1,0.93224
"1_399",0.00012,0.11378,1,0.03446,0.93332,0.10162,0.78324,0.11244,0.00788,1,1,0.94418
"1_461",4e-05,0.1603,1,0.04114,0.89126,0.14326,0.73266,0.1172,0.00718,1,1,0.90668
"1_26",6e-05,0.12946,1,0.0288,0.90906,0.11674,0.74084,0.13032,0.00698,1,1,0.91894
"1_76",2e-04,0.1263,1,0.05218,0.95378,0.11032,0.71512,0.16268,0.00666,1,1,0.96364
"1_218",2e-05,0.14488,1,0.03696,0.8963,0.12978,0.7469,0.1162,0.0067,1,1,0.91482
"1_130",4e-05,0.10254,1,0.03936,0.94272,0.08542,0.78084,0.12658,0.0063,1,1,0.95646
"1_148",2e-05,0.00692,1,0.00222,0.99516,0.00592,0.88366,0.09948,0.00726,1,1,0.99584
"1_128",2e-05,0.17564,1,0.05426,0.88496,0.14964,0.73434,0.11004,0.0076,1,1,0.90964
"1_630",6e-05,0.42468,1,0.08922,0.66008,0.38188,0.50436,0.11186,0.00706,1,1,0.71118
"1_578",0.00014,0.23712,1,0.0522,0.80262,0.20564,0.73222,0.05992,0.007,1,1,0.83728
"1_242",2e-05,0.09206,1,0.0376,0.95792,0.07674,0.76358,0.15052,0.00762,1,1,0.9686
"1_43",2e-05,0.10566,1,0.04846,0.97052,0.09544,0.70314,0.18486,0.00728,1,1,0.9762
"1_343",2e-05,0.0423,1,0.01708,0.98486,0.03648,0.82576,0.132,0.0069,1,1,0.9884
"1_228",2e-05,0.01982,1,0.0043,0.98416,0.01754,0.88724,0.08878,0.0075,1,1,0.98638
"1_454",6e-05,0.20784,1,0.0547,0.85886,0.18502,0.68484,0.12382,0.00716,1,1,0.87958
"1_261",2e-05,0.12882,1,0.0502,0.94472,0.1129,0.70862,0.1723,0.0068,1,1,0.95438
"1_570",2e-05,0.16232,1,0.05592,0.90894,0.139,0.71628,0.1355,0.00698,1,1,0.92916
"1_677",4e-05,0.21372,1,0.04898,0.83076,0.18738,0.73188,0.07928,0.0072,1,1,0.8616
"1_350",2e-05,0.09046,1,0.03754,0.95682,0.07566,0.79438,0.12572,0.0065,1,1,0.9679
"1_587",2e-05,0.43448,1,0.11286,0.63028,0.3724,0.56246,0.06324,0.00742,1,1,0.71504
"1_408",2e-05,0.31826,1,0.08558,0.74324,0.26634,0.67214,0.05936,0.00668,1,1,0.8018
"1_361",2e-05,0.0883,1,0.03376,0.95388,0.07318,0.82392,0.09776,0.00712,1,1,0.96382
"1_258",2e-05,0.11822,1,0.05336,0.9563,0.10282,0.71414,0.1706,0.00638,1,1,0.96516
"1_151",2e-05,0.14276,1,0.05976,0.93012,0.12188,0.7187,0.15256,0.00704,1,1,0.9491
"1_389",2e-05,0.17394,1,0.08164,0.91604,0.14094,0.69868,0.15694,0.00622,1,1,0.94456
"1_591",2e-05,0.12588,1,0.05692,0.92536,0.0933,0.82806,0.07668,0.00762,1,1,0.95268
"1_323",2e-05,0.19992,1,0.06732,0.86384,0.16712,0.7247,0.1035,0.00674,1,1,0.89922
"1_288",0.00012,0.1132,1,0.03092,0.92574,0.10092,0.784,0.11022,0.00642,1,1,0.93748
"1_555",2e-05,0.2354,1,0.06946,0.82992,0.20114,0.68594,0.11086,0.00704,1,1,0.86712
"1_134",2e-05,0.06128,1,0.02486,0.97108,0.05186,0.82154,0.11824,0.00602,1,1,0.9777
"1_558",4e-05,0.0559,1,0.02258,0.97314,0.04592,0.8537,0.09608,0.00678,1,1,0.97924
"1_193",4e-05,0.09282,1,0.02984,0.95066,0.08212,0.78646,0.12272,0.00744,1,1,0.9577
"1_297",2e-05,0.27502,1,0.07378,0.80788,0.24216,0.61812,0.13418,0.0071,1,1,0.839
"1_493",2e-05,0.08818,1,0.04154,0.97098,0.07526,0.8014,0.11862,0.0071,1,1,0.97724
"1_160",4e-05,0.07748,1,0.02634,0.95688,0.06704,0.7983,0.12744,0.00686,1,1,0.96582
"1_14",2e-05,0.15182,1,0.07416,0.93922,0.12748,0.69552,0.16082,0.00682,1,1,0.9565
"1_52",2e-05,0.08826,1,0.04776,0.97628,0.07372,0.69774,0.2089,0.00586,1,1,0.98306
"1_502",2e-05,0.12244,1,0.0425,0.93482,0.1041,0.76558,0.11948,0.00696,1,1,0.9497
"1_321",2e-05,0.3157,1,0.09842,0.77458,0.26322,0.5995,0.12932,0.00676,1,1,0.83286
"1_507",2e-05,0.10096,1,0.03898,0.9434,0.08412,0.78994,0.12072,0.00676,1,1,0.9581
"1_23",2e-05,0.06444,1,0.03434,0.98364,0.0563,0.76126,0.173,0.00642,1,1,0.98744
"1_637",2e-05,0.1564,1,0.04328,0.88628,0.13062,0.78524,0.08192,0.00784,1,1,0.90824
"5_510",2e-05,0.17344,1,0.04706,0.8785,0.15534,0.72696,0.11368,0.00696,1,1,0.90126
"5_141",2e-05,0.2444,1,0.06358,0.81852,0.22036,0.65744,0.11732,0.00692,1,1,0.85488
"5_602",4e-05,0.0574,1,0.01574,0.96144,0.0479,0.88366,0.06528,0.00666,1,1,0.96716
"5_451",2e-05,0.14086,1,0.03626,0.89758,0.12456,0.77002,0.09972,0.007,1,1,0.91622
"5_215",2e-05,0.11918,1,0.0324,0.92704,0.10744,0.76448,0.12038,0.00656,1,1,0.93892
"5_114",0.00034,0.1116,1,0.03864,0.93724,0.09862,0.73464,0.15202,0.0072,1,1,0.95192
"5_387",2e-05,0.16412,1,0.06564,0.9237,0.14238,0.69474,0.15628,0.00724,1,1,0.94028
"5_15",0.00022,0.14268,1,0.04544,0.91554,0.12208,0.71566,0.13856,0.00586,1,1,0.9286
"5_580",2e-05,0.0858,1,0.03122,0.95418,0.07372,0.82078,0.1031,0.00686,1,1,0.96486
"5_502",2e-05,0.1963,1,0.04684,0.8506,0.17266,0.75548,0.06906,0.00716,1,1,0.87578
"5_274",4e-05,0.0291,1,0.00614,0.97564,0.0254,0.90882,0.06204,0.0073,1,1,0.97942
"5_233",2e-05,0.15706,1,0.0318,0.87428,0.14096,0.76974,0.0826,0.00716,1,1,0.891
"5_358",2e-05,0.08928,1,0.02318,0.94254,0.07994,0.81292,0.10224,0.00648,1,1,0.9513
"5_177",2e-05,0.10042,1,0.02684,0.93648,0.09118,0.78362,0.11886,0.00624,1,1,0.94598
"5_544",2e-05,0.14822,1,0.0354,0.88544,0.12966,0.7946,0.07304,0.0075,1,1,0.90554
"5_365",2e-05,0.1689,1,0.0343,0.86166,0.15212,0.75118,0.09042,0.00678,1,1,0.88232
"5_470",2e-05,0.11374,1,0.04676,0.9361,0.09084,0.79384,0.11032,0.00672,1,1,0.95594
"5_397",2e-05,0.0688,1,0.03134,0.96702,0.05742,0.8119,0.12594,0.00698,1,1,0.97768
"5_227",8e-05,0.07534,1,0.0218,0.95924,0.06776,0.79594,0.12456,0.00642,1,1,0.96498
"5_426",0.00032,0.10322,1,0.0314,0.93634,0.0916,0.79844,0.10566,0.00682,1,1,0.94664
"5_175",0.00022,0.04882,1,0.02804,0.98584,0.03884,0.81636,0.13914,0.00698,1,1,0.99014
"5_622",2e-05,0.19466,1,0.0598,0.87408,0.16422,0.73726,0.09434,0.00702,1,1,0.90048
"5_340",2e-05,0.13554,1,0.04996,0.92188,0.11588,0.74906,0.12796,0.00646,1,1,0.94262
"5_154",1e-04,0.07448,1,0.04036,0.97774,0.06148,0.78246,0.14952,0.00642,1,1,0.98536
