"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_230",0.00024,1,0.09214,0.13788,0.09302,0.90452,0.07856,0.0164,0.00738,0.11108,1,0.19462
"1_96",0.00066,1,0.0763,0.18156,0.08564,0.91366,0.07026,0.0154,0.00702,0.09682,1,0.2291
"1_428",2e-05,1,0.09018,0.16242,0.08642,0.9124,0.0717,0.01544,0.00758,0.1102,1,0.21276
"1_160",2e-05,1,0.07892,0.15068,0.08364,0.91162,0.076,0.01196,0.00756,0.10088,1,0.19992
"1_242",2e-05,1,0.08422,0.15592,0.08072,0.91844,0.06782,0.0131,0.00718,0.11076,1,0.19782
"1_257",0.00018,1,0.09968,0.18118,0.09868,0.90312,0.07444,0.02192,0.0071,0.11812,1,0.23798
"1_144",0.00012,1,0.07694,0.153,0.0802,0.9183,0.066,0.0151,0.00718,0.0998,1,0.19434
"1_330",2e-05,1,0.09074,0.18852,0.10568,0.8972,0.07948,0.0223,0.00708,0.11924,1,0.24288
"1_65",2e-05,1,0.10522,0.19418,0.11856,0.87642,0.10052,0.02204,0.00764,0.13592,1,0.25866
"1_537",0.00142,1,0.1101,0.20954,0.11994,0.87976,0.1014,0.01832,0.00752,0.13582,1,0.27698
"1_2",2e-05,1,0.0642,0.1509,0.07376,0.91818,0.06858,0.01226,0.00762,0.0871,1,0.19046
"1_501",2e-05,1,0.10204,0.16202,0.1052,0.89154,0.08922,0.01856,0.00696,0.12514,1,0.22444
"1_337",0.00022,1,0.1113,0.15294,0.10716,0.89096,0.08628,0.02138,0.0074,0.13138,1,0.2195
"1_488",6e-05,1,0.1089,0.18748,0.12252,0.8698,0.11004,0.0192,0.00768,0.14516,1,0.2517
"1_183",0.00034,1,0.09138,0.23894,0.11,0.89016,0.08896,0.02028,0.0073,0.12408,1,0.29024
"1_432",2e-05,1,0.09036,0.15302,0.10012,0.89844,0.0852,0.01584,0.00718,0.11572,1,0.21214
"1_252",2e-05,1,0.076,0.13384,0.07736,0.92358,0.06418,0.01188,0.00694,0.09954,1,0.17616
"1_77",0.00018,1,0.07434,0.1631,0.0831,0.92034,0.0615,0.01732,0.0072,0.09648,1,0.20694
