"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_600",4e-05,0.05136,0.40436,0.02708,1,0.0422,0.82436,0.13072,0.0067,1,1,1
"1_493",2e-05,0.04792,0.59366,0.0134,1,0.03942,0.80166,0.15092,0.00668,1,1,1
"1_479",4e-05,0.0509,0.55752,0.01316,1,0.04294,0.8058,0.14702,0.0067,1,1,1
"1_20",2e-05,0.07564,0.57814,0.04096,1,0.06502,0.76746,0.15676,0.00726,1,1,1
"1_8",0.00012,0.04442,0.52498,0.00924,1,0.03926,0.76334,0.17762,0.0069,1,1,1
"1_554",4e-05,0.03786,0.5384,0.01234,1,0.03092,0.83328,0.13136,0.00624,1,1,1
"1_176",2e-05,0.04984,0.57884,0.01704,1,0.04166,0.79118,0.16208,0.00658,1,1,1
"1_604",6e-05,0.0539,0.44718,0.03512,1,0.04312,0.8288,0.12662,0.00666,1,1,1
"1_505",0.00014,0.05272,0.45618,0.0143,1,0.04588,0.7849,0.1621,0.00704,1,1,1
"1_298",2e-05,0.05264,0.54348,0.02312,1,0.04468,0.77782,0.16858,0.00644,1,1,1
"1_368",2e-05,0.02764,0.47504,0.01338,1,0.02268,0.80278,0.1682,0.00662,1,1,1
"1_582",2e-05,0.02632,0.33796,0.0082,1,0.02048,0.8609,0.11222,0.00614,1,1,1
"1_216",0.00036,0.0702,0.52318,0.0337,1,0.06064,0.75594,0.17476,0.00646,1,1,1
"1_555",0.00012,0.05024,0.397,0.0204,1,0.04046,0.82432,0.13072,0.00702,1,1,1
"1_453",8e-05,0.04006,0.4579,0.01076,1,0.03348,0.81604,0.14452,0.00658,1,1,1
"1_287",8e-05,0.04258,0.37392,0.02046,1,0.03718,0.81136,0.14442,0.00626,1,1,1
"1_541",2e-05,0.06164,0.3991,0.03128,1,0.05398,0.77712,0.1633,0.00676,1,1,1
"1_107",2e-05,0.06942,0.54474,0.04526,1,0.05358,0.75354,0.18228,0.00654,1,1,1
"1_445",2e-05,0.02104,0.69066,0.00888,1,0.0173,0.82894,0.14184,0.00672,1,1,1
"1_122",2e-05,0.05372,0.54984,0.01964,1,0.04614,0.76484,0.17248,0.00672,1,1,1
