"id","weight","X1","X2","X3","X4","X5","X6","X7","X8","smear","tb_any","symptom"
"1_229",2e-05,0.10774,1,0.05656,0.97398,0.0966,0.71068,0.18796,0.00628,1,1,0.9812
"1_550",2e-05,0.14564,1,0.07474,0.94828,0.128,0.73804,0.13704,0.00698,1,1,0.96456
"1_377",0.00012,0.07988,1,0.04354,0.97534,0.07078,0.75226,0.16714,0.00644,1,1,0.98232
"1_469",1e-04,0.12582,1,0.06888,0.95686,0.11,0.70926,0.17418,0.00698,1,1,0.9741
"1_460",2e-05,0.08376,1,0.04514,0.97302,0.07342,0.77462,0.1484,0.0065,1,1,0.98128
"1_57",6e-05,0.06642,1,0.02576,0.9801,0.06,0.7683,0.16242,0.00618,1,1,0.9845
"1_394",0.00034,0.0501,1,0.01838,0.98038,0.04288,0.8296,0.11932,0.00666,1,1,0.98718
"1_413",2e-05,0.07908,1,0.0444,0.9722,0.0689,0.76676,0.15802,0.0071,1,1,0.98132
"1_451",2e-05,0.03084,1,0.01582,0.98834,0.02666,0.83352,0.13308,0.00684,1,1,0.99162
"1_160",2e-05,0.17678,1,0.0545,0.92264,0.1618,0.64488,0.1879,0.00642,1,1,0.94018
"1_294",2e-05,0.06096,1,0.02988,0.98546,0.0542,0.79018,0.14882,0.00676,1,1,0.9898
"1_398",2e-05,0.08768,1,0.03856,0.97734,0.07648,0.76442,0.15144,0.00646,1,1,0.98464
"1_174",2e-05,0.08802,1,0.03492,0.97152,0.0804,0.7638,0.14842,0.0067,1,1,0.97924
"1_441",6e-05,0.13678,1,0.05264,0.949,0.123,0.68904,0.18606,0.00652,1,1,0.96432
"1_223",0.00018,0.13596,1,0.05042,0.92362,0.1192,0.71784,0.14526,0.0075,1,1,0.94368
"1_494",4e-05,0.05472,1,0.0184,0.98242,0.04856,0.80166,0.14002,0.0071,1,1,0.98632
"1_218",0.00018,0.09712,1,0.03912,0.96456,0.08664,0.75626,0.1518,0.00658,1,1,0.97508
"1_420",2e-05,0.14494,1,0.06494,0.93572,0.12958,0.72064,0.15032,0.00666,1,1,0.9504
"1_259",2e-05,0.12708,1,0.07536,0.9603,0.10922,0.69636,0.18422,0.00686,1,1,0.97844
"1_509",2e-05,0.13316,1,0.04876,0.96482,0.1182,0.69242,0.18824,0.00644,1,1,0.97346
"1_92",2e-05,0.06342,1,0.02984,0.97794,0.0575,0.7383,0.17814,0.00664,1,1,0.98376
"1_21",2e-05,0.05636,1,0.02754,0.97986,0.05066,0.79484,0.14624,0.00648,1,1,0.9856
"1_532",2e-05,0.14992,1,0.06496,0.94826,0.1362,0.68508,0.17618,0.00656,1,1,0.96478
"1_373",2e-05,0.06958,1,0.03086,0.96876,0.0606,0.80222,0.13158,0.00672,1,1,0.9793
