"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.44601205009001,1.01449521131268,2.32330868553594,1.030584615002,1.0613179127219,2.01741581237376,2.27930202218362
"Cambodia","a_p_m",1.4452318476672,1.01313215234035,2.48735714456575,1.02769634586144,1.05239082726119,1.97617322713757,2.25242088380333
"Nepal","a_p_m",2.1426353730314,1.03048688815043,4.44995562601363,1.06697471513481,1.1543851374287,3.52285936040977,4.3163156195268
"Philippines","a_p_m",1.38830740967783,1.01741294131991,2.10373989406873,1.03525239598749,1.06831739134706,1.81784823569878,1.97611668082806
"Vietnam","a_p_m",1.68809541649899,1.02174076235733,3.36795232492843,1.03941183822973,1.07898964019,2.52567132199444,2.95175977121097
"Prior","a_p_m",4.55247726761234,1.14628217395171,9.57198097513935,1.29003389556748,1.57711819580581,8.37369422289828,9.15756711113385
"Bangladesh","a_p_s",1.46177430899648,1.00626342303089,2.37437188266856,1.02564016539041,1.05841570704284,1.99664895885411,2.17188813665262
"Cambodia","a_p_s",1.27994085909602,1.0120716287822,1.86681679423745,1.02433088707433,1.04718775502717,1.59461667920727,1.73576397180462
"Nepal","a_p_s",1.56172479337888,1.02192096607089,2.67827896411272,1.04993352333559,1.09354038044588,2.13913738637642,2.40850444409133
"Philippines","a_p_s",1.26132827953334,1.00786086552591,1.77416721370018,1.01823551748328,1.03576062787445,1.55067021423612,1.64817669694753
"Vietnam","a_p_s",1.38638043175886,1.01359188882424,2.22702874478535,1.02885137542116,1.05554257441185,1.84121332622076,2.05096692965775
"Prior","a_p_s",4.83411335517747,1.17822367400774,9.5984171792073,1.35789573524255,1.70818601488087,8.51453432872126,9.23135813749978
"Bangladesh","a_r_m",0.137117909104638,0.0511059194360208,0.478202284223498,0.051960320702677,0.0567004379115268,0.25750773161378,0.360729547754042
"Cambodia","a_r_m",0.1232742994041,0.0521143466015729,0.423017744650269,0.0535610681702004,0.0567847000468659,0.215855297887112,0.303173828033589
"Nepal","a_r_m",0.129481912052362,0.0517119649483385,0.4500089347523,0.0536239288712961,0.057216711782118,0.236739035149844,0.342648561425059
"Philippines","a_r_m",0.103355234288328,0.0520401997192317,0.263602427218765,0.0534812286627613,0.0551830857396074,0.172672842174127,0.226825707815124
"Vietnam","a_r_m",0.117994144148428,0.0512440935065121,0.428141639579696,0.0528720611240229,0.0557473928513359,0.213345020488486,0.296179963417635
"Prior","a_r_m",0.155275887502778,0.0511567745859981,0.667802189096526,0.0524006370070211,0.0550348918981645,0.334868422121457,0.501192110562184
"Bangladesh","a_r_s",0.461511468852742,0.16650186924314,0.90828525830382,0.195079244581941,0.236170794436818,0.763531931614465,0.841628028567964
"Cambodia","a_r_s",0.145339668784406,0.0523299979040766,0.438589586848726,0.054784124620241,0.0590360008307118,0.273994199184743,0.352645213283378
"Nepal","a_r_s",0.52594614547803,0.1645563886147,0.951450703922314,0.206537517761092,0.252023596599273,0.844909184161973,0.922819666747581
"Philippines","a_r_s",0.0771860286730399,0.051137995154486,0.153270995470481,0.0516342968846772,0.0532946503153443,0.111078270022081,0.139413053121873
