"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.29628136659997,1.00663176846099,2.02103945394742,1.01637207354736,1.03203765054571,1.65128594715184,1.84133938022421
"Cambodia","a_p_m",1.30861403314364,1.00757365753508,2.1047034661436,1.01762838107945,1.03975897847912,1.68179998134962,1.86904922752259
"Nepal","a_p_m",1.86567436112193,1.02698222438039,3.6699167071217,1.06060177336608,1.12493270710085,2.84372416352854,3.31638929428591
"Philippines","a_p_m",1.5795881112126,1.02139777706623,2.83586184208255,1.04085162716911,1.08584350639796,2.24390458538287,2.53789621271042
"Vietnam","a_p_m",1.73496080573134,1.02550249739902,3.42163589036629,1.05079996349154,1.08914793458828,2.61736410367885,3.06688256722193
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",2.06926213625349,1.12127903889395,3.34911696652631,1.17588623570299,1.33249983753704,2.89173811208334,3.2015941710599
"Cambodia","a_p_s",1.30558136075981,1.01044741895007,2.00345758010564,1.02042064417027,1.04343684339833,1.64711006476871,1.82960764319405
"Nepal","a_p_s",1.88972336234034,1.06268756817694,3.20802468772945,1.12788897629955,1.21837348797691,2.65995141731564,2.92430617535761
"Philippines","a_p_s",2.33023350722776,1.11771167452452,4.09595009870396,1.20608289506388,1.37726842442978,3.41014247166801,3.90070572702243
"Vietnam","a_p_s",1.68516222007325,1.03095691354883,3.1748680047199,1.06277517839469,1.12125748129169,2.44835230624998,2.77138545988615
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.435519450323379,0.0197117581218538,0.940470082050781,0.050443650137664,0.103203929037103,0.792547429172462,0.879807527124242
"Cambodia","a_r_m",0.555421823217269,0.106454479335069,0.967658674165571,0.163476401589526,0.239184777832141,0.883357225454301,0.930263807729341
"Nepal","a_r_m",0.483325737769769,0.0343194303440019,0.96659366123948,0.064968077402318,0.118375992894966,0.877629589544862,0.930060415824899
"Philippines","a_r_m",0.444129083357538,0.0361793005476551,0.941507630583369,0.064364970074876,0.109469680561158,0.822474224825487,0.884444385503814
"Vietnam","a_r_m",0.419454741104485,0.0132576508935747,0.915953591157126,0.0477743919385906,0.103577898813767,0.771624400417754,0.858695136613261
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","a_r_s",0.696709565487993,0.291577475818132,0.982817303803491,0.320991167109557,0.412329360640005,0.942119296522178,0.977007845625055
"Cambodia","a_r_s",0.122906797915334,0.00581819239122166,0.380174625851412,0.0109619122098786,0.0181400442297992,0.25405952643076,0.317967461714348
"Nepal","a_r_s",0.733886939987061,0.341096414542549,0.986122868752087,0.404621956478793,0.474670931258688,0.949963232563036,0.975055873312237
"Philippines","a_r_s",0.61361876379659,0.193707371287063,0.975138925923686,0.244432375699637,0.289915401189368,0.920980280872912,0.949132265963579
"Vietnam","a_r_s",0.468145659804042,0.0597914688641293,0.925770832539177,0.108690123912744,0.174782288446157,0.785345525422443,0.876571232122426
"Prior","a_r_s",0.468365130591539,0.0212774910259897,0.969031920707552,0.0428100029671051,0.0853077929387691,0.879909726960472,0.938894545627294
"Bangladesh","c_sp",0.439520637946038,0.337590428654224,0.497114330063345,0.354987997432564,0.371432195080158,0.489809999284503,0.494642131230831
"Cambodia","c_sp",0.398722354176043,0.247081315120232,0.494423797995149,0.268263392106516,0.295564752578714,0.483397916356686,0.489721636270766
"Nepal","c_sp",0.394750703799629,0.237387945785485,0.496400562263835,0.260952431029695,0.290948036826478,0.485940053395521,0.492139770223671
"Philippines","c_sp",0.404406292595244,0.261481726777913,0.495878316947156,0.283730335131793,0.315363485461788,0.484287914253969,0.490495485160664
"Vietnam","c_sp",0.357894486819327,0.187661552393578,0.491193219053879,0.208507478354174,0.238225444225312,0.467946678718405,0.483382299017533
"Prior","c_sp",0.250130689086184,0.0123414778411134,0.487560580343809,0.0250523886239981,0.0499108499097012,0.450284851427763,0.474941444171903
"Bangladesh","c_tx",0.014516731099074,0.00804654389045841,0.0224983209818258,0.00887111918616149,0.00970023494900968,0.0198284210064521,0.0210575823112878
"Cambodia","c_tx",0.0277026901623623,0.011390944759449,0.0537115976970614,0.0130992717051555,0.0153690093905046,0.0422527703114175,0.0477678443826594
"Nepal","c_tx",0.0262308910184013,0.0122324966319446,0.0466045892646968,0.0138159871227448,0.0159423523802525,0.0378792326967253,0.0426403978451005
"Philippines","c_tx",0.0661585190057769,0.0326647496197791,0.106886291523958,0.0376677620032495,0.0430211889257695,0.0922568671852607,0.0981763083709758
"Vietnam","c_tx",0.0231906855510899,0.0125410547023884,0.0383104308322046,0.014018381479446,0.0153317200783069,0.0317779187927414,0.0349942186003128
"Prior","c_tx",0.0624130757440615,0.00171878960548762,0.217380779677758,0.003446568108988,0.00693653730137122,0.153205672242656,0.191273271151048
"Bangladesh","c_tx_m",0.0980241418191795,0.0734746109527367,0.128407996326351,0.0769187185629702,0.0808886342950547,0.115191589729314,0.122569317645694
"Cambodia","c_tx_m",0.160440074605945,0.110614164978034,0.227795821887861,0.117585234310405,0.124551604239738,0.19980422022526,0.21377661326046
"Nepal","c_tx_m",0.116214478195576,0.0729867307165924,0.175297451268618,0.078393587114605,0.0848289304596627,0.150401325304421,0.163130561303705
"Philippines","c_tx_m",0.0876178245498865,0.052400552726638,0.134560121445229,0.056653422034687,0.0619724422516791,0.11562238493228,0.126479219618437
"Vietnam","c_tx_m",0.158141158178138,0.100926378409651,0.239157295614034,0.107545241598039,0.117997106373562,0.204433595338823,0.220765906774088
"Prior","c_tx_m",0.282711547954645,0.0107060908075514,0.741667737862419,0.0219862410924261,0.0441387791215393,0.584032789253537,0.675426565370842
"Bangladesh","m_tb",0.0058844082594889,0.00273492844963764,0.01208909106325,0.00295574085252772,0.00324033594307967,0.00926155201633116,0.0106177035075464
"Cambodia","m_tb",0.00353027438126876,0.00177659114674076,0.00745310564700448,0.00190155255774024,0.00206712720797859,0.00550752646690719,0.00664555698966778
"Nepal","m_tb",0.00982762718655971,0.00367144637414127,0.0202593396983606,0.00414133321115418,0.00497053044654716,0.0160090462523892,0.0183297045320857
"Philippines","m_tb",0.00647082956494793,0.00293996410187972,0.0140618188091484,0.00321968145440198,0.00343845775282838,0.0108716409135786,0.0121461002222745
"Vietnam","m_tb",0.00373322232177244,0.00203678891447039,0.00723961969296033,0.00219459463436584,0.00233002790467654,0.00556004829615228,0.00653422962591914
"Prior","m_tb",0.0352433212365415,0.00125034847507951,0.0931885210227949,0.00255238601665357,0.00513775553417139,0.0761213552789808,0.0869823447496063
"Bangladesh","m_tb_m",0.0504668479620208,0.0401191405154622,0.0632712232515085,0.0411138772012129,0.0431494671455166,0.0582507507044641,0.0613694374900302
"Cambodia","m_tb_m",0.0353477933946495,0.0276815700169678,0.0478768085467267,0.028508150229169,0.0294285063624532,0.0424857323693582,0.0451032955842213
"Nepal","m_tb_m",0.0639807458896725,0.0472536711014114,0.0842149944906339,0.050087815411491,0.0527555801496102,0.0762038411465642,0.0804595627816012
"Philippines","m_tb_m",0.0529613172092294,0.040522339571409,0.0663654874652871,0.0425705326930154,0.0447116067144208,0.0617990910711714,0.0646602459743859
"Vietnam","m_tb_m",0.0431313961913696,0.0308489019676678,0.0574370144122286,0.0326512521672773,0.0346497024715164,0.0517507425736778,0.0546799267773466
"Prior","m_tb_m",0.234515878658634,0.0078224169274537,0.687719972378901,0.0159914001550052,0.032285232419648,0.51550414078409,0.610656609825106
"Bangladesh","p_m",0.0508228757655823,0.0381242008195058,0.0621860905215801,0.0411207858063568,0.0436707563052782,0.0582271904365894,0.0603741979295896
"Cambodia","p_m",0.0433785807953843,0.0310869871199766,0.0571566178266038,0.0328032525236916,0.0348779332335637,0.0525483656288627,0.0546080810560836
"Nepal","p_m",0.0323088706256382,0.0212648235230305,0.0441781117711541,0.0229260943032316,0.0247939718314014,0.0398776529828906,0.0421535536201174
"Philippines","p_m",0.0407188039260242,0.0281592163670148,0.0542623262155507,0.0299707103533996,0.0321165842552145,0.0490625087778365,0.0517995422710522
"Vietnam","p_m",0.0254725796119901,0.0159640054192192,0.0348653886793213,0.0174963605949471,0.0190432949957906,0.0319707923527559,0.0333957026088222
"Prior","p_m",0.0761068406982564,0.00320928249245493,0.188030935033198,0.00649355962379659,0.0130566694190783,0.157485617179137,0.17711801567398
"Bangladesh","p_s",0.175887687162619,0.137839966483385,0.1987555876843,0.142906519747508,0.151238478550849,0.195197910082541,0.197579203640028
"Cambodia","p_s",0.0989282405878143,0.0634929126955607,0.136279520989215,0.0688581005908328,0.0755068887713403,0.123820419189631,0.130467492874693
"Nepal","p_s",0.131051890772212,0.0831892826553854,0.181891849919767,0.0893328270013873,0.0966157280484018,0.164683517388839,0.174430556118699
"Philippines","p_s",0.124454362431061,0.0823999111112599,0.170739029521003,0.0896889640917369,0.0945723846766709,0.153984729841496,0.162454982753862
"Vietnam","p_s",0.137909602488131,0.0829350164091982,0.19457415970164,0.08870416285724,0.0981958784675623,0.181536178707767,0.191911416316151
"Prior","p_s",0.0843918700494965,0.00413364354991241,0.190119675478171,0.00807669582230451,0.0158352208381594,0.163933704260265,0.181005293480968
"Bangladesh","r_m",0.0313005376914089,0.0214699140951606,0.0464921008471063,0.0223034910666491,0.0234858305483881,0.0407088537484369,0.0436880640672983
"Cambodia","r_m",0.0358622020118154,0.0217179704774264,0.0654737555783668,0.0225713879573972,0.0236129527671257,0.0514096253883361,0.0584617847152267
"Nepal","r_m",0.0265092053764786,0.0195497269174065,0.0367848226499215,0.0202237932919357,0.0209668791999428,0.0331811199340699,0.0351067391416202
"Philippines","r_m",0.0296557335555188,0.0201272834591196,0.0428640729781461,0.0213246938815844,0.0223522046880246,0.0379801654015521,0.0404995989237777
"Vietnam","r_m",0.0353996495331517,0.021163555732753,0.0644463696198639,0.0223959637533534,0.0239310438719215,0.0479382322595939,0.0547353146450316
