"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.83528722476386,1.03329699377128,3.80693585221311,1.06091140603371,1.11730561561738,2.84560743138468,3.33833903829138
"Cambodia","a_p_m",1.83166666816922,1.01920595717478,3.56818910773398,1.04262977084351,1.09770342064134,2.79773897858484,3.21359255036949
"Nepal","a_p_m",2.86024233164416,1.06932464805429,6.57541634980774,1.13864380096548,1.28232781664885,4.96374440079001,5.86480591841725
"Philippines","a_p_m",1.55582438659023,1.02061750619174,3.00889980233198,1.04026984808519,1.07850748895737,2.1402497280946,2.61887678734747
"Vietnam","a_p_m",2.94286923197645,1.07972315927961,8.04377308327216,1.16791511175981,1.31174516764037,5.29321490441651,6.34099722342249
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",1.63828172625547,1.04330690574683,2.67426541664152,1.09006432472068,1.16720281713903,2.17512170577053,2.40461741114844
"Cambodia","a_p_s",1.62822786135213,1.03428614485497,2.60707586052387,1.06494508650719,1.12196132535004,2.18627767778189,2.4172254404215
"Nepal","a_p_s",1.6333447057321,1.03653636378765,2.62673211201085,1.07119111218975,1.14032967765476,2.2142953406908,2.45730812550981
"Philippines","a_p_s",1.38728767464315,1.01025740589801,2.7850152012811,1.0200705666788,1.03548966247783,2.02842495192394,2.34634786606707
"Vietnam","a_p_s",1.72604675811172,1.03757017047779,3.00419799701204,1.07862515034219,1.13366446069883,2.51147386534369,2.70928871961242
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.448333965524872,0.0336199481417166,0.947690497559798,0.0476060538682389,0.097120119247571,0.84216941094807,0.900924530916911
"Cambodia","a_r_m",0.428671633198667,0.0249551596506792,0.952125475587959,0.0530461400165111,0.0914126970012721,0.817597724092114,0.903201767973686
"Nepal","a_r_m",0.46532810361907,0.0254306042723369,0.95368992197701,0.0506157106709335,0.100444526843026,0.847343909426388,0.918224159850969
"Philippines","a_r_m",0.432201087788184,0.0377631329220079,0.943398040550197,0.0625988132288551,0.108081992356735,0.834036798138702,0.901412186892386
"Vietnam","a_r_m",0.39076492627244,0.0229079567689529,0.912051661724605,0.0435651518689821,0.0796367945198913,0.767040920810151,0.852540229630376
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","a_r_s",0.757857118866429,0.426455095613102,0.985995179949993,0.462852278144552,0.539820123030601,0.945130760390509,0.970040197423428
"Cambodia","a_r_s",0.574920640108694,0.171409981440452,0.965399827530397,0.221730877619882,0.292840294942812,0.889015264450465,0.95883655860332
"Nepal","a_r_s",0.77082294786038,0.421527791967828,0.99027757646575,0.477317627004722,0.543272137724019,0.961475914483098,0.979524493683979
"Philippines","a_r_s",0.205446375888802,0.00716127106239599,0.875348922270546,0.0133794296786692,0.0215358551837168,0.66359513158671,0.806405675596403
"Vietnam","a_r_s",0.686219853186391,0.270315432194719,0.982825140219888,0.335551266777371,0.391424569431358,0.926868877684924,0.965828749198143
"Prior","a_r_s",0.468365130591539,0.0212774910259897,0.969031920707552,0.0428100029671051,0.0853077929387691,0.879909726960472,0.938894545627294
"Bangladesh","c_sp",0.383877231650054,0.229686613994049,0.493658975518732,0.254138803731219,0.279641343722792,0.475045879772495,0.487154219791376
"Cambodia","c_sp",0.362115552719068,0.198637809461,0.490779148814205,0.21685690306115,0.246254606329857,0.470845366378136,0.482591047467379
"Nepal","c_sp",0.339555612049184,0.145625177407333,0.489922629590558,0.168879983719287,0.204481328517331,0.463322688780237,0.480577441775505
"Philippines","c_sp",0.352780016244987,0.172796235888257,0.491059873972222,0.207086918014075,0.23745831537393,0.464912984082621,0.480300874063488
"Vietnam","c_sp",0.269901085805114,0.0989197807091973,0.486180558227175,0.104920598696981,0.133469336780041,0.428010618822073,0.462244663184757
"Prior","c_sp",0.250130689086184,0.0123414778411134,0.487560580343809,0.0250523886239981,0.0499108499097012,0.450284851427763,0.474941444171903
