"country","param","mean","lb","ub","q5","q10","q90","q95"
"Bangladesh","a_p_m",1.38996445178498,1.01255767347517,2.21814408789865,1.02138882569721,1.04804112732873,1.8772751203477,2.02113772557485
"Cambodia","a_p_m",1.66525367219658,1.02538432019348,3.17502800049646,1.04733084713215,1.08659757335432,2.48727967388135,2.80711677368736
"Nepal","a_p_m",1.88326279665291,1.0298319438325,3.94455546986747,1.0419503114353,1.10093197202342,2.98286878145738,3.44513930865474
"Philippines","a_p_m",1.4858479570511,1.02157633577992,2.88499644549757,1.03708169635483,1.05843760870957,1.98323272702814,2.32933329884216
"Vietnam","a_p_m",2.14065922250917,1.04111827721817,4.69215861017789,1.07879327179708,1.15583192355657,3.48023428764315,4.07566019307247
"Prior","a_p_m",4.57331809267249,1.14364152759527,9.56650652445443,1.28940308385276,1.58584691136491,8.3804910195456,9.14613786176395
"Bangladesh","a_p_s",1.99970781388,1.09539252592096,3.23631113281191,1.12119896635227,1.26707759499554,2.76081690921583,3.00714469309656
"Cambodia","a_p_s",1.75705549071374,1.03223381109544,3.16751021550251,1.06765051339143,1.13906552461974,2.49302307960441,2.83935601640091
"Nepal","a_p_s",1.87684409343806,1.06312941168553,3.21434237198076,1.12147826374241,1.20301868012291,2.63901962410997,2.92503761054042
"Philippines","a_p_s",1.34878591029927,1.00992272691009,2.461231186561,1.02434337272932,1.05035292305694,1.72572981459998,2.00442720507115
"Vietnam","a_p_s",1.88460478537184,1.05611494378791,3.30800926813918,1.10219171334358,1.19418633811762,2.70900748771205,3.02676620444621
"Prior","a_p_s",4.850941756907,1.17768157297101,9.61825327097696,1.35600294357993,1.71257646694166,8.55807248425285,9.24485953772034
"Bangladesh","a_r_m",0.45667247717495,0.0251990871474002,0.956020680417865,0.0541349559688794,0.0970396525823551,0.849831263297833,0.92238990187288
"Cambodia","a_r_m",0.401601919413533,0.0248625884846289,0.930853276210592,0.0483453646820143,0.0822679609115808,0.785024158945158,0.879678855743743
"Nepal","a_r_m",0.455576549417177,0.0250848835808336,0.948598661948129,0.0494741720401269,0.0907692925218755,0.833435394059587,0.908880428775729
"Philippines","a_r_m",0.36888839250119,0.0177658629658311,0.927202823595361,0.038608223547045,0.0674278380130068,0.755455899631004,0.856846285939454
"Vietnam","a_r_m",0.410195763541807,0.0235349204589336,0.926640866835385,0.0447447086943663,0.0843287776285919,0.796836442003679,0.862785105963995
"Prior","a_r_m",0.486596456895249,0.0222995563128266,0.972475909323615,0.0456623944538521,0.0927743919311068,0.892372719364653,0.945575996077012
"Bangladesh","a_r_s",0.692168720382261,0.236248536376041,0.985120580500226,0.322704701023714,0.405894240471225,0.934629154803293,0.967140041286573
"Cambodia","a_r_s",0.485302918656562,0.108518487535137,0.938666306769802,0.143233869565058,0.202063321841089,0.815406577248686,0.898596096734541
"Nepal","a_r_s",0.719390809420385,0.316786150282644,0.984077728353877,0.374256643512698,0.443027855382559,0.942860321527895,0.970109366028229
"Philippines","a_r_s",0.128821212395991,0.00644016150942732,0.746554338718831,0.0124912343703651,0.0217346315328762,0.241051134698495,0.559728239085471
"Vietnam","a_r_s",0.65874375189705,0.23121202014912,0.976773004941389,0.289859673768664,0.372540476140915,0.919045365484651,0.956791849943381
"Prior","a_r_s",0.468365130591539,0.0212774910259897,0.969031920707552,0.0428100029671051,0.0853077929387691,0.879909726960472,0.938894545627294
"Bangladesh","c_sp",0.445493563838212,0.349600736488292,0.497835623878571,0.370068361678246,0.386971507630317,0.491581386774323,0.495620457399494
