"...1","...2","...3","...4"
"2.1 [1.8-2.9]","0.3 [0.1-0.5]","1.8 [1.5-2.5]","0.2 [0.1-0.4]"
"0.9 [0.7-1.4]","8.6 [6.1-11.3]","1.5 [1.0-2.0]","5.7 [3.6-7.8]"
"0.8 [0.6-1.1]","0.2 [0.0-0.3]","2.8 [2.3-3.7]","0.1 [0.0-0.3]"
"0.9 [0.6-1.3]","6.9 [5.1-8.9]","1.6 [1.1-2.2]","7.1 [5.4-9.2]"
"1.8 [1.4-2.6]","15.4 [12.3-18.9]","3.1 [2.3-4.0]","12.8 [9.9-15.9]"
"1.7 [1.3-2.3]","7.0 [5.3-9.1]","4.5 [3.6-5.7]","7.3 [5.6-9.4]"
"4.7 [3.9-6.5]","15.9 [12.9-19.2]","7.7 [6.5-9.4]","13.1 [10.3-16.1]"
"100% [100-100%]","13% [4-23%]","84% [79-88%]","9% [3-17%]"
"11% [8-15%]","100% [100-100%]","18% [14-22%]","66% [46-78%]"
"28% [21-36%]","6% [2-11%]","100% [100-100%]","5% [1-10%]"
"12% [10-17%]","97% [91-99%]","23% [19-28%]","100% [100-100%]"
"13% [10-17%]","100% [100-100%]","23% [19-28%]","100% [100-100%]"
"34% [27-43%]","97% [93-99%]","100% [100-100%]","100% [100-100%]"
"87% [83-90%]","11% [3-20%]","74% [68-78%]","8% [2-14%]"
"9% [7-13%]","65% [53-76%]","19% [15-24%]","67% [57-77%]"
"3% [2-5%]","22% [17-28%]","7% [5-9%]","23% [17-29%]"
