"...1","...2","...3","...4"
"2.1 [1.8-2.8]","0.4 [0.0-0.8]","1.8 [1.5-2.5]","0.3 [0.0-0.6]"
"0.9 [0.6-1.3]","7.7 [5.1-11.1]","1.4 [0.9-2.0]","5.0 [2.7-7.5]"
"0.8 [0.6-1.1]","0.3 [0.0-0.5]","2.8 [2.3-3.7]","0.2 [0.0-0.5]"
"0.8 [0.6-1.2]","6.1 [3.7-8.8]","1.5 [1.0-2.1]","6.5 [4.2-8.9]"
"1.7 [1.3-2.5]","13.8 [9.3-18.8]","2.9 [2.1-4.0]","11.5 [7.6-15.7]"
"1.6 [1.2-2.3]","6.4 [4.2-8.9]","4.3 [3.4-5.5]","6.7 [4.6-9.1]"
"4.6 [3.7-6.3]","14.4 [10.5-19.0]","7.4 [6.1-9.4]","12.0 [8.5-15.9]"
"100% [100-100%]","20% [2-41%]","85% [80-89%]","15% [1-29%]"
"12% [8-17%]","100% [100-100%]","18% [14-23%]","65% [44-77%]"
"28% [21-36%]","9% [1-21%]","100% [100-100%]","8% [1-20%]"
"13% [10-17%]","94% [84-100%]","24% [18-30%]","100% [100-100%]"
"13% [10-19%]","100% [100-100%]","24% [18-31%]","100% [100-100%]"
"34% [27-42%]","96% [88-100%]","100% [100-100%]","100% [100-100%]"
"87% [83-90%]","17% [2-36%]","74% [69-79%]","13% [1-25%]"
"9% [7-13%]","59% [40-76%]","18% [14-24%]","62% [45-77%]"
"3% [2-5%]","23% [17-28%]","7% [5-10%]","24% [18-30%]"
