"...1","...2","...3","...4"
"2.2 [1.8-3.1]","0.3 [0.1-0.6]","1.8 [1.5-2.7]","0.2 [0.1-0.4]"
"1.0 [0.7-1.5]","9.0 [6.8-11.5]","1.5 [1.0-2.0]","5.2 [2.7-7.6]"
"0.8 [0.6-1.2]","0.2 [0.1-0.4]","2.9 [2.3-3.9]","0.2 [0.0-0.3]"
"0.9 [0.6-1.3]","6.7 [4.9-8.9]","1.6 [1.1-2.2]","7.1 [5.2-9.1]"
"1.9 [1.4-2.7]","15.7 [12.6-19.1]","3.1 [2.3-4.0]","12.3 [9.3-15.8]"
"1.7 [1.3-2.5]","6.9 [5.1-9.0]","4.5 [3.6-5.9]","7.2 [5.4-9.3]"
"4.9 [3.9-6.8]","16.2 [13.3-19.4]","7.9 [6.5-9.8]","12.7 [9.7-16.0]"
"100% [100-100%]","14% [4-25%]","84% [79-88%]","9% [3-16%]"
"11% [8-15%]","100% [100-100%]","17% [12-21%]","58% [36-75%]"
"28% [21-38%]","7% [2-12%]","100% [100-100%]","6% [2-10%]"
"13% [10-17%]","96% [88-99%]","23% [19-28%]","100% [100-100%]"
"13% [10-18%]","100% [100-100%]","23% [19-28%]","100% [100-100%]"
"34% [27-45%]","97% [91-99%]","100% [100-100%]","100% [100-100%]"
"87% [82-90%]","12% [3-22%]","73% [68-78%]","8% [2-14%]"
"10% [7-14%]","65% [53-77%]","20% [16-25%]","69% [57-79%]"
"3% [2-5%]","21% [16-27%]","7% [5-9%]","22% [16-28%]"
