"...1","...2","...3","...4"
"2.0 [1.8-2.5]","0.5 [0.4-0.7]","1.7 [1.5-2.2]","0.4 [0.3-0.5]"
"0.8 [0.6-1.1]","6.7 [5.3-8.4]","1.2 [0.9-1.6]","4.3 [2.9-5.5]"
"0.7 [0.5-0.9]","0.3 [0.2-0.4]","2.6 [2.2-3.2]","0.3 [0.1-0.4]"
"0.8 [0.6-1.0]","5.2 [4.2-6.4]","1.4 [1.0-1.8]","5.7 [4.6-6.9]"
"1.6 [1.3-2.0]","11.9 [10.5-13.3]","2.6 [2.1-3.2]","9.9 [8.4-11.4]"
"1.5 [1.2-1.9]","5.5 [4.4-6.8]","4.0 [3.4-4.8]","5.9 [4.8-7.2]"
"4.3 [3.7-5.3]","12.7 [11.2-14.2]","6.9 [6.1-8.0]","10.6 [9.0-12.1]"
"100% [100-100%]","25% [21-31%]","85% [82-88%]","18% [15-22%]"
"13% [10-16%]","100% [100-100%]","19% [15-22%]","64% [45-75%]"
"27% [22-33%]","11% [7-16%]","100% [100-100%]","10% [5-15%]"
"13% [11-17%]","93% [86-96%]","24% [20-28%]","100% [100-100%]"
"14% [12-18%]","100% [100-100%]","25% [21-29%]","100% [100-100%]"
"34% [28-40%]","94% [89-97%]","100% [100-100%]","100% [100-100%]"
"87% [84-89%]","22% [18-27%]","75% [71-78%]","16% [13-19%]"
"8% [7-10%]","51% [45-57%]","17% [14-20%]","55% [49-62%]"
"4% [3-5%]","26% [21-31%]","8% [7-10%]","28% [24-33%]"
