"...1","...2","...3","...4"
"2.3 [1.8-3.5]","0.4 [0.1-0.7]","1.8 [1.3-2.8]","0.3 [0.1-0.5]"
"1.0 [0.7-1.5]","10.8 [7.4-14.3]","1.6 [1.0-2.1]","7.6 [5.2-10.4]"
"0.9 [0.6-1.5]","0.2 [0.1-0.4]","3.0 [2.2-3.9]","0.2 [0.1-0.4]"
"0.9 [0.6-1.4]","8.2 [6.0-10.7]","1.6 [1.1-2.2]","8.6 [6.4-11.1]"
"1.8 [1.3-2.9]","19.0 [14.8-23.6]","3.1 [2.3-4.1]","16.2 [12.5-20.2]"
"1.8 [1.2-2.7]","8.4 [6.3-10.9]","4.5 [3.6-5.8]","8.8 [6.7-11.3]"
"5.0 [3.9-7.7]","19.6 [15.6-23.9]","7.9 [6.4-10.0]","16.7 [13.2-20.4]"
"100% [100-100%]","17% [6-28%]","78% [71-83%]","13% [5-21%]"
"9% [6-14%]","100% [100-100%]","15% [11-19%]","71% [57-79%]"
"30% [22-42%]","8% [3-15%]","100% [100-100%]","7% [2-14%]"
"10% [7-15%]","96% [91-99%]","19% [15-23%]","100% [100-100%]"
"11% [7-16%]","100% [100-100%]","19% [15-23%]","100% [100-100%]"
"35% [27-48%]","97% [93-99%]","100% [100-100%]","100% [100-100%]"
"86% [79-89%]","14% [5-24%]","66% [60-72%]","11% [4-18%]"
"10% [7-15%]","53% [41-64%]","25% [20-32%]","55% [44-66%]"
"4% [2-5%]","29% [23-35%]","7% [5-10%]","31% [24-37%]"
