"...1","...2","...3","...4"
"3.2 [2.9-3.9]","0.4 [0.1-0.7]","2.7 [2.4-3.4]","0.3 [0.1-0.5]"
"1.2 [0.9-1.6]","8.7 [6.4-11.3]","1.7 [1.2-2.2]","5.8 [3.7-7.9]"
"1.2 [0.9-1.6]","0.2 [0.0-0.4]","3.1 [2.6-4.0]","0.2 [0.0-0.3]"
"1.1 [0.8-1.5]","7.0 [5.2-9.1]","1.7 [1.3-2.3]","7.3 [5.5-9.3]"
"2.4 [1.9-3.0]","15.7 [12.6-19.2]","3.4 [2.7-4.2]","13.1 [10.2-16.2]"
"2.3 [1.8-2.9]","7.2 [5.4-9.3]","4.8 [4.0-6.0]","7.4 [5.7-9.5]"
"6.8 [5.9-8.2]","16.2 [13.4-19.5]","9.2 [8.1-10.7]","13.5 [10.7-16.5]"
"100% [100-100%]","12% [3-22%]","86% [82-90%]","9% [2-16%]"
"16% [13-19%]","100% [100-100%]","20% [17-24%]","68% [47-78%]"
"39% [31-45%]","7% [2-13%]","100% [100-100%]","5% [1-11%]"
"17% [14-21%]","97% [93-99%]","25% [21-30%]","100% [100-100%]"
"18% [15-21%]","100% [100-100%]","26% [22-30%]","100% [100-100%]"
"46% [39-53%]","98% [95-100%]","100% [100-100%]","100% [100-100%]"
"89% [86-91%]","11% [3-20%]","77% [72-80%]","8% [2-15%]"
"12% [10-15%]","66% [55-77%]","21% [17-25%]","68% [58-78%]"
"4% [3-5%]","21% [16-27%]","7% [5-9%]","22% [17-28%]"
