"...1","...2","...3","...4"
"2.5 [1.8-4.1]","0.2 [0.0-0.5]","2.0 [1.4-3.4]","0.1 [0.0-0.3]"
"0.9 [0.6-1.5]","9.1 [6.6-12.1]","1.2 [0.7-1.9]","4.1 [1.2-6.8]"
"0.7 [0.4-1.1]","0.1 [0.0-0.2]","2.8 [2.1-4.1]","0.1 [0.0-0.2]"
"0.6 [0.4-1.0]","5.2 [3.7-7.0]","1.2 [0.8-1.7]","5.4 [3.9-7.3]"
"1.5 [1.0-2.4]","14.3 [11.0-17.8]","2.4 [1.7-3.4]","9.5 [6.2-13.0]"
"1.3 [0.8-2.1]","5.3 [3.8-7.1]","4.0 [3.0-5.5]","5.5 [3.9-7.3]"
"4.7 [3.4-7.6]","14.6 [11.3-18.1]","7.3 [5.6-9.9]","9.7 [6.4-13.2]"
"100% [100-100%]","9% [1-18%]","80% [73-87%]","4% [1-9%]"
"10% [6-16%]","100% [100-100%]","14% [8-19%]","45% [15-68%]"
"24% [13-37%]","3% [1-7%]","100% [100-100%]","2% [0-5%]"
"11% [8-18%]","96% [88-99%]","22% [17-27%]","100% [100-100%]"
"12% [8-18%]","100% [100-100%]","22% [18-27%]","100% [100-100%]"
"30% [20-44%]","97% [90-100%]","100% [100-100%]","100% [100-100%]"
"87% [80-91%]","8% [1-16%]","70% [62-76%]","4% [1-8%]"
"11% [7-17%]","78% [67-86%]","26% [20-33%]","81% [72-88%]"
"2% [1-3%]","14% [9-19%]","4% [3-6%]","14% [10-20%]"
