"...1","...2","...3","...4"
"2.2 [1.8-3.5]","0.3 [0.1-0.6]","1.9 [1.4-2.9]","0.2 [0.1-0.4]"
"0.8 [0.6-1.3]","8.4 [6.2-11.2]","1.3 [0.9-1.8]","5.2 [3.1-7.3]"
"0.6 [0.4-1.0]","0.1 [0.0-0.2]","2.5 [2.0-3.2]","0.1 [0.0-0.2]"
"0.6 [0.4-0.9]","5.0 [3.6-6.7]","1.1 [0.8-1.6]","5.2 [3.8-6.9]"
"1.4 [1.0-2.2]","13.4 [10.6-16.8]","2.4 [1.8-3.2]","10.4 [7.7-13.4]"
"1.2 [0.9-1.9]","5.1 [3.7-6.8]","3.6 [3.0-4.5]","5.3 [3.9-7.0]"
"4.3 [3.4-6.5]","13.9 [11.0-17.2]","6.7 [5.6-8.5]","10.7 [7.9-13.6]"
"100% [100-100%]","12% [4-23%]","83% [76-88%]","8% [3-15%]"
"10% [7-15%]","100% [100-100%]","15% [11-20%]","61% [40-74%]"
"25% [18-36%]","5% [2-10%]","100% [100-100%]","4% [1-8%]"
"11% [8-16%]","96% [90-99%]","21% [16-27%]","100% [100-100%]"
"12% [8-17%]","100% [100-100%]","21% [16-27%]","100% [100-100%]"
"31% [23-43%]","97% [92-99%]","100% [100-100%]","100% [100-100%]"
"88% [82-91%]","11% [4-20%]","72% [66-78%]","7% [3-13%]"
"10% [7-15%]","70% [57-81%]","22% [16-29%]","73% [61-83%]"
"3% [2-4%]","19% [13-25%]","6% [4-8%]","19% [14-26%]"
