"...1","...2","...3","...4"
"2.4 [1.8-3.9]","0.2 [0.0-0.7]","2.0 [1.4-3.3]","0.1 [0.0-0.3]"
"0.9 [0.6-1.4]","9.1 [6.6-12.3]","1.2 [0.7-1.8]","4.1 [0.9-7.0]"
"0.6 [0.4-1.1]","0.1 [0.0-0.3]","2.8 [2.1-4.2]","0.1 [0.0-0.2]"
"0.6 [0.4-1.0]","5.2 [3.6-7.2]","1.1 [0.8-1.7]","5.5 [3.9-7.5]"
"1.4 [1.0-2.3]","14.3 [10.8-18.3]","2.3 [1.6-3.3]","9.5 [5.9-13.5]"
"1.2 [0.8-2.1]","5.3 [3.7-7.2]","4.0 [3.0-5.7]","5.5 [4.0-7.5]"
"4.5 [3.3-7.3]","14.6 [11.3-18.5]","7.1 [5.6-9.7]","9.7 [6.2-13.6]"
"100% [100-100%]","9% [0-27%]","81% [72-88%]","5% [0-12%]"
"9% [6-15%]","100% [100-100%]","13% [8-19%]","45% [11-69%]"
"23% [14-37%]","3% [0-10%]","100% [100-100%]","2% [0-8%]"
"11% [7-17%]","95% [82-100%]","21% [16-28%]","100% [100-100%]"
"11% [7-18%]","100% [100-100%]","21% [16-28%]","100% [100-100%]"
"29% [19-44%]","96% [85-100%]","100% [100-100%]","100% [100-100%]"
"88% [80-92%]","8% [0-24%]","71% [62-78%]","4% [0-11%]"
"11% [7-17%]","77% [62-87%]","25% [17-33%]","80% [70-89%]"
"2% [1-3%]","14% [9-20%]","4% [3-6%]","15% [10-21%]"
