"...1","...2","...3","...4"
"2.5 [1.8-4.2]","0.5 [0.1-1.0]","1.9 [1.4-3.5]","0.1 [0.0-0.3]"
"0.8 [0.5-1.3]","8.3 [6.0-11.3]","0.9 [0.5-1.4]","1.7 [0.5-4.5]"
"0.6 [0.4-1.0]","0.1 [0.0-0.3]","2.9 [2.1-4.3]","0.1 [0.0-0.2]"
"0.6 [0.4-1.1]","4.9 [3.3-6.8]","1.2 [0.9-1.8]","5.7 [4.1-7.8]"
"1.4 [1.0-2.4]","13.2 [9.9-17.4]","2.1 [1.5-3.0]","7.5 [5.1-10.7]"
"1.2 [0.8-2.1]","5.1 [3.5-7.0]","4.2 [3.1-5.8]","5.8 [4.1-7.9]"
"4.5 [3.3-7.5]","13.8 [10.6-17.9]","7.0 [5.4-9.5]","7.6 [5.2-11.0]"
"100% [100-100%]","18% [4-39%]","79% [71-86%]","4% [1-8%]"
"10% [6-16%]","100% [100-100%]","10% [7-16%]","20% [7-47%]"
"21% [13-35%]","5% [1-10%]","100% [100-100%]","2% [0-5%]"
"11% [7-18%]","87% [67-98%]","22% [17-27%]","100% [100-100%]"
"12% [8-19%]","100% [100-100%]","23% [18-29%]","100% [100-100%]"
"27% [18-43%]","89% [71-98%]","100% [100-100%]","100% [100-100%]"
"87% [80-92%]","16% [3-35%]","69% [61-76%]","4% [1-7%]"
"11% [7-17%]","73% [56-86%]","27% [20-35%]","84% [75-91%]"
"2% [1-3%]","10% [7-16%]","4% [2-5%]","12% [8-17%]"
