"...1","...2","...3","...4"
"2.6 [1.8-4.6]","0.3 [0.0-0.9]","2.1 [1.4-3.9]","0.1 [0.0-0.3]"
"0.9 [0.6-1.6]","8.8 [6.3-11.6]","1.1 [0.6-1.9]","2.9 [0.6-6.1]"
"0.7 [0.4-1.3]","0.1 [0.0-0.3]","3.0 [2.2-4.3]","0.1 [0.0-0.2]"
"0.7 [0.4-1.2]","5.0 [3.4-6.9]","1.2 [0.8-1.7]","5.4 [3.8-7.4]"
"1.6 [1.0-2.7]","13.8 [10.4-17.5]","2.3 [1.6-3.3]","8.3 [5.4-12.2]"
"1.4 [0.9-2.4]","5.1 [3.5-7.0]","4.2 [3.1-5.8]","5.5 [3.9-7.5]"
"5.0 [3.4-8.6]","14.3 [11.0-17.9]","7.4 [5.6-10.6]","8.5 [5.5-12.4]"
"100% [100-100%]","13% [2-33%]","81% [72-88%]","4% [1-9%]"
"11% [7-17%]","100% [100-100%]","13% [8-19%]","32% [8-63%]"
"24% [14-40%]","4% [1-9%]","100% [100-100%]","2% [0-5%]"
"12% [8-19%]","92% [73-99%]","22% [17-27%]","100% [100-100%]"
"13% [8-21%]","100% [100-100%]","23% [18-28%]","100% [100-100%]"
"31% [19-48%]","93% [77-99%]","100% [100-100%]","100% [100-100%]"
"86% [78-91%]","11% [2-29%]","70% [62-76%]","4% [1-8%]"
"12% [7-19%]","76% [60-87%]","26% [19-34%]","83% [73-90%]"
"2% [1-3%]","12% [7-18%]","4% [2-6%]","13% [8-19%]"
