"...1","...2","...3","...4"
"2.3 [1.8-3.4]","0.7 [0.4-1.1]","1.8 [1.4-2.8]","0.2 [0.1-0.4]"
"0.7 [0.5-1.1]","7.4 [5.8-9.4]","0.7 [0.5-1.1]","1.1 [0.1-2.8]"
"0.6 [0.4-0.9]","0.3 [0.2-0.5]","3.0 [2.2-4.2]","0.3 [0.1-0.5]"
"0.5 [0.3-0.8]","3.8 [2.7-4.9]","1.0 [0.7-1.4]","4.7 [3.5-6.1]"
"1.2 [0.9-1.8]","11.2 [9.1-13.5]","1.8 [1.3-2.3]","5.8 [4.2-7.8]"
"1.1 [0.8-1.6]","4.1 [3.0-5.4]","4.0 [3.1-5.4]","5.0 [3.6-6.5]"
"4.1 [3.2-6.0]","12.3 [9.9-14.7]","6.6 [5.3-8.5]","6.3 [4.6-8.4]"
"100% [100-100%]","30% [21-42%]","80% [73-87%]","10% [7-14%]"
"10% [7-14%]","100% [100-100%]","10% [6-15%]","15% [1-37%]"
"19% [12-29%]","11% [8-15%]","100% [100-100%]","9% [5-13%]"
"10% [7-15%]","81% [67-89%]","22% [18-27%]","100% [100-100%]"
"12% [9-18%]","100% [100-100%]","23% [19-28%]","100% [100-100%]"
"25% [17-36%]","84% [72-91%]","100% [100-100%]","100% [100-100%]"
"89% [84-92%]","26% [19-38%]","71% [64-78%]","9% [6-12%]"
"9% [6-14%]","60% [49-69%]","24% [17-31%]","74% [66-82%]"
"2% [1-3%]","13% [9-18%]","5% [3-6%]","17% [12-22%]"
