"...1","...2","...3","...4"
"3.6 [3.0-5.1]","0.3 [0.1-0.7]","3.0 [2.3-4.3]","0.2 [0.0-0.4]"
"1.1 [0.8-1.6]","9.3 [6.8-12.2]","1.4 [0.9-2.0]","4.5 [1.5-7.2]"
"1.0 [0.7-1.4]","0.1 [0.0-0.3]","3.0 [2.4-4.3]","0.1 [0.0-0.2]"
"0.8 [0.5-1.1]","5.3 [3.8-7.3]","1.2 [0.9-1.7]","5.6 [4.1-7.6]"
"1.9 [1.4-2.7]","14.6 [11.6-18.3]","2.6 [2.0-3.5]","10.0 [6.7-13.6]"
"1.7 [1.3-2.5]","5.4 [4.0-7.4]","4.2 [3.4-5.8]","5.7 [4.1-7.7]"
"6.5 [5.3-9.0]","15.0 [12.0-18.7]","8.6 [7.2-11.1]","10.3 [7.0-13.9]"
"100% [100-100%]","9% [2-20%]","83% [75-89%]","5% [1-10%]"
"13% [9-19%]","100% [100-100%]","16% [11-21%]","48% [18-70%]"
"33% [21-46%]","4% [1-9%]","100% [100-100%]","3% [0-6%]"
"15% [11-20%]","96% [89-99%]","23% [19-28%]","100% [100-100%]"
"16% [12-21%]","100% [100-100%]","24% [19-29%]","100% [100-100%]"
"41% [29-54%]","97% [91-100%]","100% [100-100%]","100% [100-100%]"
"89% [84-92%]","8% [1-18%]","74% [67-80%]","5% [1-9%]"
"14% [9-20%]","76% [66-86%]","25% [19-34%]","80% [71-88%]"
"2% [2-3%]","15% [10-20%]","4% [3-6%]","15% [10-21%]"
