"...1","...2","...3","...4"
"2.6 [1.9-4.6]","0.4 [0.1-0.9]","2.1 [1.5-3.9]","0.3 [0.1-0.6]"
"0.9 [0.5-1.6]","10.7 [7.0-15.5]","1.5 [0.9-2.3]","6.8 [3.8-10.2]"
"0.7 [0.4-1.2]","0.2 [0.0-0.4]","2.6 [2.1-3.7]","0.1 [0.0-0.3]"
"0.5 [0.3-1.0]","5.2 [3.3-7.8]","1.0 [0.6-1.6]","5.5 [3.6-8.1]"
"1.4 [0.9-2.5]","16.0 [11.3-21.6]","2.5 [1.7-3.8]","12.3 [8.2-17.4]"
"1.2 [0.7-2.2]","5.4 [3.5-7.9]","3.6 [2.9-5.0]","5.7 [3.8-8.2]"
"4.7 [3.3-8.3]","16.6 [12.1-22.0]","7.3 [5.7-10.6]","12.8 [8.7-17.7]"
"100% [100-100%]","17% [5-32%]","83% [75-88%]","12% [3-21%]"
"9% [5-14%]","100% [100-100%]","14% [10-19%]","63% [42-76%]"
"26% [15-40%]","7% [2-13%]","100% [100-100%]","6% [1-12%]"
"10% [6-16%]","94% [87-99%]","19% [14-25%]","100% [100-100%]"
"10% [6-16%]","100% [100-100%]","19% [14-25%]","100% [100-100%]"
"30% [19-46%]","96% [89-99%]","100% [100-100%]","100% [100-100%]"
"89% [82-93%]","15% [4-28%]","74% [64-79%]","10% [3-19%]"
"8% [5-13%]","59% [42-75%]","18% [13-28%]","63% [47-78%]"
"3% [2-5%]","24% [16-32%]","7% [5-10%]","25% [17-34%]"
