"...1","...2","...3","...4"
"2.7 [1.9-4.6]","0.4 [0.1-0.9]","2.3 [1.5-4.0]","0.3 [0.1-0.6]"
"1.0 [0.5-1.7]","11.0 [7.7-15.2]","1.6 [0.9-2.4]","6.9 [3.9-10.2]"
"0.7 [0.4-1.3]","0.2 [0.0-0.3]","2.7 [2.1-3.8]","0.1 [0.0-0.3]"
"0.5 [0.3-1.0]","5.3 [3.5-7.8]","1.1 [0.7-1.7]","5.6 [3.8-8.1]"
"1.5 [0.9-2.6]","16.4 [12.4-21.0]","2.6 [1.8-3.7]","12.6 [8.8-17.0]"
"1.3 [0.8-2.2]","5.5 [3.7-7.9]","3.8 [2.9-5.2]","5.8 [3.9-8.2]"
"4.9 [3.3-8.4]","16.9 [13.1-21.5]","7.6 [5.9-10.5]","13.0 [9.2-17.3]"
"100% [100-100%]","15% [5-27%]","83% [76-88%]","10% [4-18%]"
"9% [5-15%]","100% [100-100%]","14% [10-19%]","63% [41-76%]"
"26% [16-41%]","6% [2-12%]","100% [100-100%]","5% [1-10%]"
"10% [6-16%]","95% [88-99%]","19% [14-25%]","100% [100-100%]"
"10% [6-17%]","100% [100-100%]","20% [14-25%]","100% [100-100%]"
"31% [19-48%]","96% [90-99%]","100% [100-100%]","100% [100-100%]"
"89% [81-93%]","14% [5-24%]","73% [67-79%]","9% [3-16%]"
"8% [5-14%]","61% [48-75%]","19% [14-26%]","65% [52-78%]"
"3% [2-5%]","23% [16-30%]","7% [5-9%]","24% [17-32%]"
