"...1","...2","...3","...4"
"2.3 [1.8-3.4]","0.8 [0.2-1.5]","1.9 [1.5-3.0]","0.6 [0.2-0.9]"
"0.8 [0.5-1.2]","7.4 [4.2-12.5]","1.1 [0.6-1.8]","4.3 [1.7-8.1]"
"0.6 [0.4-0.9]","0.3 [0.1-0.6]","2.4 [2.0-3.2]","0.3 [0.1-0.6]"
"0.4 [0.2-0.7]","3.5 [1.7-6.2]","0.8 [0.5-1.3]","4.1 [2.4-6.7]"
"1.2 [0.8-1.9]","10.8 [6.2-17.9]","1.9 [1.2-2.9]","8.4 [4.6-14.1]"
"1.0 [0.7-1.6]","3.8 [2.1-6.5]","3.2 [2.6-4.3]","4.4 [2.7-6.8]"
"4.0 [3.1-6.1]","12.0 [7.8-18.4]","6.3 [5.1-8.3]","9.2 [5.6-14.5]"
"100% [100-100%]","38% [10-60%]","85% [79-89%]","25% [7-37%]"
"11% [6-16%]","100% [100-100%]","15% [10-21%]","57% [32-73%]"
"24% [16-34%]","14% [4-24%]","100% [100-100%]","13% [3-24%]"
"10% [7-15%]","84% [64-97%]","20% [14-27%]","100% [100-100%]"
"12% [7-18%]","100% [100-100%]","22% [15-30%]","100% [100-100%]"
"29% [20-40%]","87% [71-98%]","100% [100-100%]","100% [100-100%]"
"90% [85-93%]","34% [9-54%]","76% [70-81%]","22% [6-33%]"
"6% [4-10%]","41% [23-67%]","16% [11-22%]","48% [32-71%]"
"4% [2-5%]","24% [17-32%]","8% [5-11%]","29% [20-38%]"
