"...1","...2","...3","...4"
"2.7 [1.9-4.9]","0.5 [0.1-1.1]","2.3 [1.5-4.2]","0.3 [0.1-0.7]"
"1.0 [0.6-1.8]","10.5 [6.9-14.4]","1.4 [0.8-2.2]","6.1 [2.6-9.4]"
"0.7 [0.4-1.4]","0.2 [0.1-0.4]","2.7 [2.1-4.0]","0.2 [0.1-0.4]"
"0.5 [0.3-1.0]","5.0 [2.8-7.5]","1.0 [0.5-1.6]","5.4 [3.3-7.9]"
"1.5 [0.9-2.7]","15.5 [10.3-20.4]","2.4 [1.5-3.5]","11.5 [6.9-16.1]"
"1.3 [0.8-2.3]","5.2 [3.1-7.7]","3.7 [2.8-5.2]","5.5 [3.5-8.1]"
"5.0 [3.3-8.9]","16.2 [11.3-20.9]","7.4 [5.5-10.8]","12.0 [7.5-16.5]"
"100% [100-100%]","18% [5-39%]","84% [76-89%]","12% [4-23%]"
"10% [6-16%]","100% [100-100%]","14% [9-19%]","58% [31-74%]"
"26% [15-43%]","8% [2-16%]","100% [100-100%]","7% [2-14%]"
"10% [6-17%]","93% [79-99%]","18% [13-24%]","100% [100-100%]"
"11% [7-18%]","100% [100-100%]","19% [13-25%]","100% [100-100%]"
"31% [19-49%]","95% [83-99%]","100% [100-100%]","100% [100-100%]"
"88% [81-92%]","16% [5-35%]","74% [67-79%]","11% [3-21%]"
"8% [5-14%]","59% [37-76%]","18% [12-26%]","63% [44-79%]"
"3% [2-5%]","23% [14-32%]","7% [4-11%]","25% [16-35%]"
