"...1","...2","...3","...4"
"2.4 [1.8-3.6]","0.6 [0.4-1.0]","2.0 [1.5-3.1]","0.4 [0.3-0.7]"
"0.8 [0.5-1.3]","8.9 [6.7-11.3]","1.3 [0.9-1.8]","5.4 [3.4-7.2]"
"0.6 [0.4-1.0]","0.3 [0.1-0.4]","2.5 [2.1-3.3]","0.2 [0.1-0.4]"
"0.5 [0.3-0.8]","4.2 [3.0-5.7]","0.9 [0.6-1.3]","4.7 [3.4-6.3]"
"1.3 [0.9-1.9]","13.1 [10.9-15.3]","2.2 [1.6-2.9]","10.1 [7.9-12.2]"
"1.1 [0.7-1.7]","4.5 [3.2-6.0]","3.4 [2.8-4.4]","4.9 [3.6-6.5]"
"4.3 [3.2-6.4]","14.0 [11.7-16.3]","6.7 [5.5-8.5]","10.7 [8.4-13.0]"
"100% [100-100%]","27% [21-33%]","84% [78-88%]","18% [14-23%]"
"9% [6-14%]","100% [100-100%]","15% [11-19%]","61% [42-73%]"
"24% [15-35%]","10% [6-15%]","100% [100-100%]","9% [4-13%]"
"10% [7-15%]","91% [84-95%]","19% [15-24%]","100% [100-100%]"
"11% [7-16%]","100% [100-100%]","20% [15-25%]","100% [100-100%]"
"29% [19-41%]","93% [86-96%]","100% [100-100%]","100% [100-100%]"
"89% [85-93%]","24% [19-30%]","75% [70-79%]","16% [12-20%]"
"7% [5-10%]","48% [39-58%]","17% [12-22%]","53% [43-64%]"
"4% [2-5%]","27% [20-34%]","8% [6-10%]","30% [23-37%]"
