"...1","...2","...3","...4"
"2.8 [1.9-5.3]","0.6 [0.2-1.2]","2.2 [1.4-4.3]","0.4 [0.1-0.8]"
"1.0 [0.6-1.9]","12.3 [7.7-17.6]","1.5 [0.9-2.4]","8.3 [4.5-12.7]"
"0.7 [0.4-1.4]","0.2 [0.1-0.5]","2.6 [2.0-3.6]","0.2 [0.1-0.4]"
"0.5 [0.3-1.0]","5.8 [3.5-8.5]","1.0 [0.6-1.6]","6.3 [4.0-8.9]"
"1.5 [0.9-2.9]","18.2 [11.9-24.6]","2.6 [1.6-3.9]","14.6 [9.1-20.3]"
"1.3 [0.7-2.4]","6.1 [3.7-8.7]","3.6 [2.7-4.9]","6.5 [4.3-9.1]"
"5.0 [3.3-9.5]","19.0 [13.0-25.2]","7.3 [5.5-11.1]","15.2 [9.9-20.7]"
"100% [100-100%]","21% [7-40%]","79% [70-85%]","15% [5-27%]"
"8% [4-14%]","100% [100-100%]","13% [9-18%]","68% [50-79%]"
"28% [17-46%]","9% [3-17%]","100% [100-100%]","8% [2-15%]"
"9% [5-14%]","93% [83-98%]","16% [11-22%]","100% [100-100%]"
"9% [5-15%]","100% [100-100%]","17% [12-22%]","100% [100-100%]"
"32% [20-51%]","95% [87-99%]","100% [100-100%]","100% [100-100%]"
"88% [79-92%]","19% [6-35%]","69% [61-75%]","14% [5-24%]"
"8% [5-15%]","48% [30-64%]","22% [16-31%]","51% [35-67%]"
"3% [2-6%]","30% [22-37%]","8% [5-11%]","32% [23-42%]"
