"...1","...2","...3","...4"
"3.8 [3.1-5.4]","0.6 [0.2-1.2]","3.2 [2.5-4.6]","0.4 [0.1-0.8]"
"1.2 [0.8-1.8]","10.6 [7.1-14.7]","1.6 [1.1-2.3]","6.7 [3.7-9.9]"
"1.0 [0.6-1.5]","0.2 [0.1-0.4]","2.9 [2.3-3.8]","0.2 [0.1-0.4]"
"0.7 [0.4-1.0]","5.2 [3.3-7.5]","1.1 [0.6-1.6]","5.5 [3.6-7.9]"
"1.8 [1.3-2.7]","15.7 [11.3-20.8]","2.7 [1.8-3.7]","12.2 [8.2-16.5]"
"1.6 [1.0-2.4]","5.4 [3.5-7.7]","3.9 [3.0-5.1]","5.7 [3.6-8.1]"
"6.6 [5.3-9.4]","16.6 [12.5-21.5]","8.7 [6.9-11.2]","12.8 [8.9-17.0]"
"100% [100-100%]","18% [7-36%]","85% [79-90%]","13% [4-27%]"
"12% [9-17%]","100% [100-100%]","16% [12-21%]","63% [42-76%]"
"35% [24-47%]","8% [3-15%]","100% [100-100%]","7% [2-14%]"
"13% [9-18%]","94% [86-98%]","20% [15-26%]","100% [100-100%]"
"14% [10-19%]","100% [100-100%]","21% [16-27%]","100% [100-100%]"
"41% [30-54%]","96% [90-99%]","100% [100-100%]","100% [100-100%]"
"91% [86-93%]","17% [6-33%]","77% [71-82%]","11% [4-24%]"
"10% [7-14%]","58% [36-73%]","19% [14-26%]","62% [40-77%]"
"4% [2-5%]","24% [16-32%]","7% [5-9%]","26% [17-36%]"
