"...1","...2","...3","...4"
"2.5 [1.8-4.6]","0.6 [0.1-1.4]","1.8 [1.1-3.5]","0.1 [0.0-0.2]"
"0.9 [0.6-1.7]","9.0 [5.4-13.9]","0.7 [0.4-1.4]","0.8 [0.1-2.5]"
"0.5 [0.3-1.0]","0.1 [0.0-0.3]","2.9 [1.9-4.9]","0.0 [0.0-0.1]"
"0.7 [0.4-1.3]","5.4 [3.1-8.3]","1.3 [0.8-2.3]","6.8 [4.2-10.9]"
"1.6 [1.1-2.9]","14.4 [8.7-21.9]","2.1 [1.3-3.3]","7.6 [4.7-12.4]"
"1.2 [0.8-2.1]","5.5 [3.3-8.4]","4.3 [2.8-7.0]","6.8 [4.2-11.0]"
"4.7 [3.3-8.2]","15.1 [9.7-22.4]","6.8 [4.6-10.4]","7.6 [4.7-12.6]"
"100% [100-100%]","22% [2-56%]","69% [54-83%]","2% [0-5%]"
"10% [6-17%]","100% [100-100%]","8% [5-14%]","8% [1-22%]"
"18% [10-32%]","4% [1-10%]","100% [100-100%]","1% [0-3%]"
"11% [6-18%]","81% [48-98%]","20% [15-26%]","100% [100-100%]"
"13% [7-20%]","100% [100-100%]","21% [16-28%]","100% [100-100%]"
"25% [14-43%]","84% [54-98%]","100% [100-100%]","100% [100-100%]"
"86% [76-92%]","19% [2-51%]","59% [46-71%]","2% [0-4%]"
"13% [7-22%]","72% [44-89%]","38% [26-51%]","88% [78-93%]"
"1% [1-2%]","8% [4-13%]","3% [1-4%]","10% [6-17%]"
