"...1","...2","...3","...4"
"2.5 [1.8-4.5]","0.3 [0.0-0.7]","1.6 [1.0-3.1]","0.1 [0.0-0.1]"
"0.9 [0.6-1.5]","11.5 [7.3-16.5]","0.7 [0.4-1.3]","1.3 [0.1-3.5]"
"0.5 [0.3-0.9]","0.1 [0.0-0.3]","3.3 [1.9-5.9]","0.1 [0.0-0.3]"
"0.7 [0.4-1.2]","6.7 [4.4-10.1]","1.4 [0.8-2.1]","7.4 [4.7-11.5]"
"1.5 [1.0-2.6]","18.2 [12.1-26.4]","2.1 [1.3-3.1]","8.7 [5.4-13.3]"
"1.2 [0.8-2.1]","6.8 [4.5-10.1]","4.7 [2.9-7.8]","7.5 [4.7-11.6]"
"4.6 [3.3-8.0]","18.5 [12.3-26.6]","7.0 [4.8-11.2]","8.8 [5.4-13.7]"
"100% [100-100%]","11% [1-27%]","62% [48-73%]","2% [0-5%]"
"8% [4-14%]","100% [100-100%]","6% [3-11%]","11% [1-29%]"
"16% [8-29%]","3% [0-7%]","100% [100-100%]","2% [0-6%]"
"9% [5-16%]","91% [77-99%]","18% [15-23%]","100% [100-100%]"
"10% [6-17%]","100% [100-100%]","19% [15-23%]","100% [100-100%]"
"22% [12-39%]","92% [79-99%]","100% [100-100%]","100% [100-100%]"
"86% [77-93%]","9% [0-24%]","53% [41-63%]","2% [0-4%]"
"12% [6-21%]","78% [61-90%]","44% [34-56%]","86% [76-92%]"
"1% [1-2%]","10% [7-16%]","3% [2-5%]","12% [7-18%]"
