"...1","...2","...3","...4"
"2.5 [1.8-4.3]","0.3 [0.1-0.6]","1.9 [1.3-3.5]","0.2 [0.0-0.4]"
"1.0 [0.6-1.6]","10.4 [7.3-14.2]","1.4 [0.9-2.1]","6.4 [3.1-9.8]"
"0.6 [0.4-1.0]","0.1 [0.0-0.2]","2.4 [1.8-3.5]","0.1 [0.0-0.2]"
"0.7 [0.5-1.3]","6.9 [4.8-9.4]","1.4 [0.9-2.0]","7.3 [5.0-10.0]"
"1.7 [1.1-2.8]","17.4 [12.7-22.5]","2.8 [1.8-4.0]","13.7 [9.2-18.6]"
"1.3 [0.9-2.3]","7.0 [4.9-9.5]","3.7 [2.9-5.3]","7.3 [5.0-10.1]"
"4.8 [3.4-8.0]","17.7 [13.1-22.8]","7.1 [5.3-10.1]","14.0 [9.4-18.9]"
"100% [100-100%]","11% [3-21%]","75% [65-83%]","8% [2-14%]"
"9% [6-15%]","100% [100-100%]","14% [9-19%]","62% [35-78%]"
"24% [14-38%]","5% [1-9%]","100% [100-100%]","4% [1-8%]"
"10% [7-16%]","96% [90-99%]","19% [14-24%]","100% [100-100%]"
"11% [7-17%]","100% [100-100%]","19% [14-25%]","100% [100-100%]"
"30% [19-45%]","97% [92-99%]","100% [100-100%]","100% [100-100%]"
"86% [78-91%]","10% [2-18%]","64% [55-72%]","6% [2-12%]"
"11% [6-18%]","66% [52-79%]","30% [21-40%]","69% [56-81%]"
"3% [2-4%]","21% [14-29%]","5% [4-8%]","22% [15-30%]"
