"...1","...2","...3","...4"
"2.6 [1.8-4.7]","0.2 [0.0-0.8]","1.7 [1.0-3.2]","0.1 [0.0-0.2]"
"0.9 [0.5-1.6]","11.2 [7.0-16.9]","0.7 [0.4-1.5]","1.4 [0.0-5.0]"
"0.5 [0.3-1.0]","0.1 [0.0-0.3]","3.1 [1.9-5.1]","0.1 [0.0-0.2]"
"0.7 [0.4-1.3]","6.6 [4.2-9.7]","1.3 [0.8-2.1]","7.3 [4.7-11.0]"
"1.6 [1.0-2.9]","17.8 [11.6-25.8]","2.0 [1.3-3.4]","8.6 [5.2-14.1]"
"1.2 [0.8-2.2]","6.7 [4.3-9.8]","4.4 [2.8-6.8]","7.3 [4.7-11.1]"
"4.7 [3.2-8.4]","18.1 [11.9-26.2]","6.8 [4.7-10.5]","8.7 [5.3-14.3]"
"100% [100-100%]","10% [0-29%]","64% [50-76%]","2% [0-7%]"
"8% [4-14%]","100% [100-100%]","7% [3-15%]","13% [0-56%]"
"18% [9-30%]","3% [0-8%]","100% [100-100%]","2% [0-6%]"
"10% [5-16%]","93% [76-99%]","18% [14-24%]","100% [100-100%]"
"10% [5-17%]","100% [100-100%]","18% [14-24%]","100% [100-100%]"
"24% [13-40%]","94% [79-100%]","100% [100-100%]","100% [100-100%]"
"86% [75-92%]","8% [0-25%]","54% [42-66%]","2% [0-6%]"
"13% [7-22%]","79% [60-91%]","43% [31-55%]","86% [74-92%]"
"1% [1-3%]","11% [6-18%]","3% [2-5%]","12% [7-20%]"
