"...1","...2","...3","...4"
"2.7 [1.8-4.9]","0.6 [0.0-1.5]","1.7 [1.0-3.4]","0.1 [0.0-0.2]"
"0.9 [0.6-1.7]","9.8 [6.0-14.9]","0.7 [0.4-1.3]","0.9 [0.1-2.4]"
"0.6 [0.3-1.0]","0.1 [0.0-0.3]","3.1 [1.9-4.9]","0.0 [0.0-0.1]"
"0.7 [0.4-1.3]","5.8 [3.5-8.7]","1.3 [0.8-2.1]","7.3 [4.5-10.9]"
"1.7 [1.1-3.0]","15.5 [9.9-23.0]","2.0 [1.3-3.2]","8.2 [5.1-12.2]"
"1.3 [0.8-2.3]","5.9 [3.6-8.9]","4.5 [2.7-6.9]","7.3 [4.5-10.9]"
"4.9 [3.3-8.7]","16.3 [10.7-23.6]","6.9 [4.5-10.4]","8.3 [5.1-12.4]"
"100% [100-100%]","23% [1-50%]","63% [51-75%]","2% [0-5%]"
"10% [6-17%]","100% [100-100%]","7% [4-12%]","9% [1-21%]"
"18% [10-31%]","4% [0-10%]","100% [100-100%]","1% [0-3%]"
"10% [6-17%]","80% [55-99%]","18% [15-23%]","100% [100-100%]"
"12% [7-20%]","100% [100-100%]","20% [15-26%]","100% [100-100%]"
"25% [14-41%]","83% [61-99%]","100% [100-100%]","100% [100-100%]"
"85% [74-92%]","20% [1-44%]","54% [43-64%]","2% [0-4%]"
"14% [7-24%]","71% [48-90%]","44% [33-54%]","87% [79-93%]"
"1% [1-2%]","9% [5-13%]","3% [1-4%]","11% [7-17%]"
