"...1","...2","...3","...4"
"2.2 [1.8-3.3]","0.6 [0.4-1.0]","1.7 [1.3-2.7]","0.4 [0.3-0.7]"
"0.8 [0.6-1.2]","7.9 [6.1-10.0]","1.2 [0.8-1.6]","4.8 [2.5-6.9]"
"0.5 [0.3-0.8]","0.2 [0.1-0.4]","2.2 [1.8-2.8]","0.2 [0.1-0.4]"
"0.6 [0.4-0.9]","5.3 [4.0-6.8]","1.1 [0.8-1.6]","5.9 [4.5-7.5]"
"1.5 [1.1-2.1]","13.2 [10.7-15.7]","2.3 [1.7-3.1]","10.7 [7.7-13.6]"
"1.1 [0.8-1.7]","5.6 [4.2-7.1]","3.4 [2.7-4.2]","6.1 [4.6-7.7]"
"4.2 [3.3-6.1]","14.1 [11.3-16.8]","6.3 [5.1-8.0]","11.4 [8.2-14.4]"
"100% [100-100%]","28% [21-35%]","78% [71-85%]","19% [13-25%]"
"11% [7-15%]","100% [100-100%]","15% [10-19%]","61% [35-77%]"
"23% [16-33%]","11% [6-16%]","100% [100-100%]","10% [5-15%]"
"11% [8-15%]","90% [82-95%]","19% [15-24%]","100% [100-100%]"
"12% [8-16%]","100% [100-100%]","20% [16-25%]","100% [100-100%]"
"29% [21-39%]","92% [85-96%]","100% [100-100%]","100% [100-100%]"
"87% [82-91%]","24% [18-31%]","68% [60-76%]","17% [11-22%]"
"9% [5-14%]","47% [34-59%]","24% [15-33%]","52% [38-65%]"
"4% [3-5%]","28% [20-36%]","7% [5-10%]","31% [23-40%]"
