"...1","...2","...3","...4"
"2.6 [1.8-4.7]","0.2 [0.0-0.6]","1.6 [1.0-3.1]","0.1 [0.0-0.3]"
"0.9 [0.6-1.6]","11.0 [7.4-16.2]","0.9 [0.4-1.7]","2.8 [0.1-8.3]"
"0.6 [0.3-1.0]","0.1 [0.0-0.2]","2.9 [1.9-4.8]","0.1 [0.0-0.2]"
"0.7 [0.4-1.2]","6.3 [4.3-9.0]","1.2 [0.7-1.9]","6.8 [4.5-10.2]"
"1.6 [1.0-2.7]","17.3 [11.9-24.8]","2.0 [1.2-3.2]","9.5 [5.4-16.1]"
"1.2 [0.8-2.2]","6.4 [4.3-9.1]","4.0 [2.7-6.5]","6.8 [4.5-10.3]"
"4.7 [3.3-8.3]","17.6 [12.2-25.2]","6.5 [4.5-9.9]","9.7 [5.4-16.4]"
"100% [100-100%]","8% [1-21%]","62% [48-77%]","3% [0-12%]"
"9% [5-14%]","100% [100-100%]","8% [4-15%]","26% [1-75%]"
"20% [11-35%]","3% [0-8%]","100% [100-100%]","2% [0-7%]"
"10% [6-15%]","95% [83-100%]","17% [14-22%]","100% [100-100%]"
"10% [6-16%]","100% [100-100%]","18% [14-22%]","100% [100-100%]"
"26% [16-44%]","95% [86-100%]","100% [100-100%]","100% [100-100%]"
"84% [75-90%]","7% [0-18%]","52% [40-67%]","2% [0-10%]"
"14% [8-23%]","78% [57-90%]","45% [26-57%]","83% [60-92%]"
"1% [1-3%]","12% [7-27%]","3% [2-7%]","13% [7-28%]"
