"...1","...2","...3","...4"
"3.9 [3.0-6.1]","0.4 [0.0-1.0]","2.5 [1.6-4.2]","0.1 [0.0-0.2]"
"1.2 [0.8-1.8]","12.1 [7.8-16.9]","1.0 [0.6-1.6]","1.8 [0.1-6.3]"
"0.8 [0.5-1.3]","0.1 [0.0-0.3]","3.5 [2.1-5.5]","0.1 [0.0-0.2]"
"0.9 [0.6-1.3]","7.1 [4.6-9.9]","1.5 [1.0-2.1]","7.9 [5.3-11.4]"
"2.1 [1.5-3.1]","19.1 [13.1-26.1]","2.4 [1.7-3.4]","9.7 [6.4-14.5]"
"1.6 [1.2-2.5]","7.2 [4.7-10.1]","4.9 [3.3-7.5]","7.9 [5.3-11.5]"
"6.8 [5.2-10.3]","19.7 [13.7-26.5]","8.5 [6.3-11.9]","9.8 [6.5-14.6]"
"100% [100-100%]","11% [1-27%]","66% [51-77%]","2% [0-5%]"
"11% [7-16%]","100% [100-100%]","9% [5-15%]","15% [1-53%]"
"24% [14-37%]","4% [0-8%]","100% [100-100%]","2% [0-6%]"
"12% [8-17%]","92% [77-99%]","19% [15-24%]","100% [100-100%]"
"14% [9-20%]","100% [100-100%]","20% [16-25%]","100% [100-100%]"
"31% [20-47%]","93% [81-100%]","100% [100-100%]","100% [100-100%]"
"88% [82-92%]","9% [1-24%]","58% [45-68%]","2% [0-5%]"
"15% [10-23%]","77% [60-89%]","42% [31-54%]","84% [75-91%]"
"2% [1-3%]","12% [8-17%]","3% [2-4%]","13% [8-19%]"
