"...1","...2","...3","...4","...5"
"2.5 [1.8-4.7]","0.3 [0.0-0.7]","2.0 [1.1-3.8]","0.2 [0.0-0.5]","1.7 [1.1-3.2]"
"0.9 [0.4-1.5]","9.6 [5.9-15.3]","1.2 [0.5-2.0]","4.4 [0.3-8.7]","3.0 [1.4-4.5]"
"0.8 [0.4-1.7]","0.1 [0.0-0.3]","3.1 [2.1-5.1]","0.1 [0.0-0.3]","1.0 [0.5-2.0]"
"0.7 [0.3-1.1]","5.9 [3.6-8.9]","1.3 [0.7-2.0]","6.3 [3.9-9.7]","2.5 [1.4-4.1]"
"1.5 [0.8-2.5]","15.5 [10.7-23.1]","2.5 [1.5-3.7]","10.7 [6.1-15.7]","5.5 [3.0-8.0]"
"1.4 [0.8-2.6]","6.1 [3.8-9.1]","4.4 [3.0-6.6]","6.4 [4.0-9.8]","3.5 [2.2-5.1]"
"4.8 [3.3-8.4]","15.9 [11.1-23.5]","7.6 [5.3-10.9]","11.0 [6.2-16.0]","8.2 [5.9-10.9]"
"100% [100-100%]","12% [2-26%]","78% [54-88%]","7% [1-17%]","68% [59-76%]"
"9% [5-15%]","100% [100-100%]","13% [4-20%]","48% [3-76%]","32% [22-43%]"
"25% [11-44%]","5% [1-11%]","100% [100-100%]","4% [0-10%]","32% [19-48%]"
"11% [6-17%]","95% [83-99%]","21% [15-27%]","100% [100-100%]","40% [31-49%]"
"11% [6-17%]","100% [100-100%]","21% [15-27%]","100% [100-100%]","41% [31-50%]"
"30% [15-49%]","96% [85-100%]","100% [100-100%]","100% [100-100%]","64% [54-74%]"
"87% [79-92%]","10% [1-23%]","68% [47-78%]","6% [0-15%]","59% [50-68%]"
"10% [6-18%]","71% [49-87%]","27% [15-50%]","75% [53-90%]","32% [21-45%]"
"2% [1-4%]","17% [8-28%]","5% [2-9%]","18% [9-30%]","8% [4-13%]"
