"...1","...2","...3","...4","...5"
"2.4 [1.8-4.1]","0.3 [0.1-0.7]","2.0 [1.4-3.4]","0.2 [0.1-0.5]","1.7 [1.1-2.8]"
"0.9 [0.4-1.5]","9.2 [5.3-13.8]","1.3 [0.6-2.1]","5.7 [2.7-9.3]","3.1 [1.3-4.8]"
"0.7 [0.4-1.3]","0.1 [0.0-0.4]","2.8 [2.0-4.1]","0.1 [0.0-0.3]","0.9 [0.5-1.6]"
"0.7 [0.3-1.2]","6.0 [3.7-8.8]","1.2 [0.7-2.1]","6.2 [3.9-9.2]","2.5 [1.3-4.1]"
"1.5 [0.8-2.6]","15.2 [10.1-20.9]","2.6 [1.4-3.9]","11.9 [7.6-17.0]","5.5 [2.8-8.3]"
"1.4 [0.8-2.3]","6.1 [3.8-9.0]","4.0 [3.0-5.7]","6.4 [4.1-9.3]","3.4 [2.2-5.1]"
"4.7 [3.4-7.5]","15.6 [10.7-21.3]","7.3 [5.6-9.9]","12.3 [7.9-17.3]","8.1 [5.6-11.2]"
"100% [100-100%]","13% [3-25%]","81% [69-88%]","9% [2-16%]","69% [60-77%]"
"9% [5-15%]","100% [100-100%]","15% [9-20%]","62% [39-76%]","33% [23-42%]"
"27% [16-40%]","5% [1-11%]","100% [100-100%]","4% [1-10%]","33% [23-46%]"
"11% [6-16%]","96% [89-99%]","20% [14-26%]","100% [100-100%]","40% [30-49%]"
"11% [7-17%]","100% [100-100%]","20% [14-27%]","100% [100-100%]","41% [30-50%]"
"32% [21-46%]","97% [92-99%]","100% [100-100%]","100% [100-100%]","65% [57-74%]"
"87% [81-92%]","11% [3-22%]","71% [59-78%]","7% [2-14%]","60% [51-69%]"
"10% [6-15%]","67% [51-80%]","22% [15-36%]","70% [55-81%]","30% [21-39%]"
"3% [2-4%]","20% [14-28%]","6% [4-9%]","21% [14-30%]","9% [6-13%]"
