"...1","...2","...3","...4","...5"
"2.4 [1.8-4.2]","0.4 [0.0-1.2]","1.9 [1.2-3.5]","0.2 [0.0-0.8]","1.7 [1.1-2.9]"
"0.8 [0.4-1.4]","8.6 [4.7-15.0]","1.0 [0.5-1.8]","3.7 [0.3-7.3]","2.6 [1.2-4.1]"
"0.7 [0.4-1.5]","0.2 [0.0-0.5]","3.0 [2.1-4.8]","0.2 [0.0-0.5]","1.0 [0.5-1.9]"
"0.6 [0.3-1.1]","5.3 [2.2-8.6]","1.2 [0.6-2.0]","5.8 [2.9-9.3]","2.2 [1.0-3.9]"
"1.4 [0.7-2.4]","14.0 [7.6-22.5]","2.2 [1.3-3.5]","9.5 [5.2-14.6]","4.8 [2.6-7.7]"
"1.3 [0.7-2.4]","5.5 [2.6-8.7]","4.2 [2.8-6.3]","6.0 [3.3-9.4]","3.2 [1.7-4.9]"
"4.6 [3.2-7.7]","14.6 [9.0-23.0]","7.1 [5.1-10.1]","9.9 [5.8-14.8]","7.4 [5.1-10.5]"
"100% [100-100%]","18% [1-52%]","79% [55-89%]","11% [0-33%]","70% [59-81%]"
"10% [5-16%]","100% [100-100%]","13% [4-21%]","46% [2-74%]","32% [21-43%]"
"25% [11-41%]","7% [0-21%]","100% [100-100%]","6% [0-20%]","32% [19-46%]"
"11% [6-17%]","92% [72-100%]","20% [14-28%]","100% [100-100%]","39% [30-49%]"
"11% [6-18%]","100% [100-100%]","21% [15-29%]","100% [100-100%]","41% [31-51%]"
"30% [16-46%]","94% [77-100%]","100% [100-100%]","100% [100-100%]","63% [54-73%]"
"88% [80-92%]","16% [1-47%]","70% [47-80%]","9% [0-29%]","62% [50-73%]"
"10% [5-18%]","65% [29-88%]","25% [13-50%]","70% [37-90%]","29% [14-45%]"
"2% [1-5%]","18% [8-29%]","5% [2-10%]","19% [9-34%]","8% [4-14%]"
