"...1","...2","...3","...4","...5"
"2.7 [1.8-5.0]","0.4 [0.1-1.1]","2.1 [1.1-4.2]","0.2 [0.0-0.5]","1.8 [1.1-3.6]"
"0.9 [0.4-1.6]","9.1 [5.8-13.5]","1.1 [0.4-2.0]","3.7 [0.3-8.1]","2.8 [1.3-4.4]"
"0.8 [0.4-1.9]","0.2 [0.0-0.4]","3.2 [2.1-5.2]","0.1 [0.0-0.3]","1.0 [0.5-2.2]"
"0.7 [0.3-1.2]","5.5 [3.3-8.3]","1.2 [0.7-2.0]","6.2 [3.7-9.4]","2.4 [1.3-4.0]"
"1.6 [0.8-2.7]","14.7 [10.0-20.3]","2.4 [1.4-3.7]","9.8 [5.5-15.0]","5.3 [2.9-7.8]"
"1.5 [0.8-2.8]","5.7 [3.5-8.5]","4.4 [3.0-6.7]","6.3 [3.9-9.4]","3.5 [2.2-5.1]"
"5.1 [3.4-9.0]","15.3 [10.7-20.8]","7.7 [5.3-11.2]","10.1 [5.6-15.4]","8.1 [5.7-11.2]"
"100% [100-100%]","16% [3-41%]","79% [56-88%]","7% [0-18%]","68% [60-77%]"
"10% [6-16%]","100% [100-100%]","12% [5-20%]","40% [3-72%]","31% [20-41%]"
"26% [12-46%]","6% [1-13%]","100% [100-100%]","4% [0-11%]","32% [20-49%]"
"11% [6-18%]","91% [65-99%]","20% [14-27%]","100% [100-100%]","40% [30-49%]"
"12% [7-19%]","100% [100-100%]","21% [15-27%]","100% [100-100%]","42% [31-50%]"
"32% [17-52%]","93% [70-99%]","100% [100-100%]","100% [100-100%]","64% [53-75%]"
"86% [77-92%]","14% [2-37%]","68% [47-78%]","6% [0-16%]","59% [50-68%]"
"11% [6-21%]","69% [46-86%]","27% [14-50%]","76% [52-91%]","33% [21-45%]"
"2% [1-5%]","16% [6-28%]","5% [2-9%]","17% [8-31%]","8% [3-13%]"
