"...1","...2","...3","...4","...5"
"2.4 [1.8-4.4]","0.3 [0.0-0.6]","1.8 [1.2-3.3]","0.1 [0.0-0.4]","1.5 [1.1-2.4]"
"0.9 [0.6-1.6]","9.6 [6.6-14.7]","1.3 [0.5-2.1]","4.4 [0.2-8.2]","3.4 [2.1-4.7]"
"0.7 [0.4-1.1]","0.1 [0.0-0.3]","2.9 [2.0-4.8]","0.1 [0.0-0.3]","0.8 [0.5-1.2]"
"0.8 [0.5-1.2]","6.7 [4.5-9.3]","1.5 [0.9-2.2]","7.1 [4.8-9.9]","3.2 [2.1-4.4]"
"1.7 [1.1-2.8]","16.4 [12.0-22.7]","2.8 [1.6-4.0]","11.5 [5.8-16.5]","6.6 [4.4-8.6]"
"1.4 [0.8-2.3]","6.9 [4.6-9.6]","4.4 [3.1-6.6]","7.2 [4.9-10.0]","4.0 [2.7-5.4]"
"4.7 [3.4-8.0]","16.8 [12.4-23.4]","7.5 [5.3-10.1]","11.8 [5.8-16.7]","8.9 [6.3-11.3]"
"100% [100-100%]","11% [1-25%]","78% [55-88%]","6% [0-16%]","63% [59-67%]"
"10% [5-15%]","100% [100-100%]","14% [5-21%]","47% [2-78%]","36% [24-44%]"
"23% [10-35%]","4% [0-10%]","100% [100-100%]","4% [0-9%]","29% [18-36%]"
"11% [6-17%]","95% [81-100%]","21% [16-27%]","100% [100-100%]","46% [39-50%]"
"12% [7-17%]","100% [100-100%]","21% [16-28%]","100% [100-100%]","47% [42-51%]"
"29% [15-43%]","96% [84-100%]","100% [100-100%]","100% [100-100%]","67% [54-74%]"
"87% [79-91%]","10% [1-21%]","67% [49-78%]","6% [0-14%]","55% [49-60%]"
"10% [7-19%]","71% [53-89%]","27% [15-48%]","75% [56-92%]","35% [26-46%]"
"2% [1-4%]","18% [7-28%]","5% [2-9%]","19% [7-30%]","9% [3-15%]"
