"...1","...2","...3","...4","...5"
"2.3 [1.8-3.7]","0.6 [0.4-1.1]","1.9 [1.4-3.1]","0.4 [0.2-0.6]","1.7 [1.2-2.8]"
"0.7 [0.3-1.2]","7.4 [4.7-10.3]","1.0 [0.4-1.6]","3.6 [0.3-6.6]","2.4 [1.1-3.6]"
"0.7 [0.4-1.4]","0.3 [0.2-0.6]","2.8 [1.9-4.8]","0.3 [0.1-0.5]","0.9 [0.5-1.9]"
"0.6 [0.3-0.9]","4.5 [2.9-6.3]","1.1 [0.6-1.6]","5.1 [3.5-7.0]","2.0 [1.1-3.1]"
"1.3 [0.7-2.0]","11.9 [8.6-15.1]","2.1 [1.3-3.0]","8.6 [4.7-12.4]","4.4 [2.4-6.1]"
"1.3 [0.8-2.0]","4.8 [3.2-6.6]","3.9 [2.9-5.8]","5.4 [3.6-7.3]","3.0 [2.1-4.0]"
"4.3 [3.3-6.5]","12.8 [9.5-16.1]","6.8 [5.4-9.0]","9.3 [5.1-13.2]","7.0 [5.3-8.8]"
"100% [100-100%]","27% [19-37%]","82% [73-88%]","16% [8-23%]","72% [66-78%]"
"10% [6-15%]","100% [100-100%]","14% [7-21%]","47% [4-74%]","32% [20-43%]"
"24% [14-38%]","11% [7-16%]","100% [100-100%]","9% [4-14%]","33% [25-46%]"
"11% [7-16%]","88% [73-95%]","21% [16-27%]","100% [100-100%]","39% [30-49%]"
"12% [8-17%]","100% [100-100%]","22% [16-28%]","100% [100-100%]","42% [32-51%]"
"30% [19-43%]","91% [77-97%]","100% [100-100%]","100% [100-100%]","63% [54-72%]"
"88% [83-92%]","24% [17-33%]","72% [63-79%]","14% [7-20%]","63% [57-70%]"
"8% [5-13%]","53% [39-68%]","21% [14-31%]","61% [43-79%]","26% [19-33%]"
"3% [1-5%]","22% [11-34%]","7% [4-10%]","25% [13-37%]","11% [5-16%]"
