"...1","...2","...3","...4","...5"
"2.8 [1.8-5.9]","0.4 [0.0-0.9]","2.0 [1.1-4.8]","0.2 [0.0-0.7]","1.8 [1.1-3.8]"
"0.9 [0.4-1.5]","10.6 [6.9-16.0]","1.2 [0.5-2.1]","5.7 [0.5-10.9]","3.4 [1.7-5.4]"
"0.9 [0.4-2.3]","0.2 [0.0-0.5]","3.0 [1.9-5.3]","0.1 [0.0-0.4]","1.0 [0.5-2.3]"
"0.7 [0.3-1.3]","6.6 [4.0-10.1]","1.2 [0.7-2.0]","7.0 [4.3-10.5]","2.7 [1.5-4.6]"
"1.6 [0.9-2.7]","17.2 [11.9-23.7]","2.4 [1.4-3.8]","12.7 [6.3-19.3]","6.1 [3.7-9.4]"
"1.5 [0.8-3.4]","6.7 [4.1-10.3]","4.2 [2.7-6.8]","7.1 [4.4-10.7]","3.7 [2.3-5.8]"
"5.2 [3.3-10.6]","17.7 [12.3-24.1]","7.5 [4.9-12.2]","13.0 [6.4-19.6]","9.0 [6.1-12.7]"
"100% [100-100%]","13% [1-31%]","72% [52-84%]","8% [1-22%]","67% [59-76%]"
"9% [4-14%]","100% [100-100%]","12% [5-18%]","54% [5-78%]","32% [22-42%]"
"28% [14-52%]","6% [1-14%]","100% [100-100%]","5% [0-13%]","33% [20-51%]"
"10% [6-16%]","95% [86-99%]","18% [13-22%]","100% [100-100%]","39% [29-47%]"
"10% [6-16%]","100% [100-100%]","18% [13-23%]","100% [100-100%]","40% [30-48%]"
"33% [18-57%]","96% [89-100%]","100% [100-100%]","100% [100-100%]","65% [56-76%]"
"85% [73-91%]","11% [1-27%]","61% [44-73%]","7% [0-20%]","57% [48-68%]"
"12% [6-22%]","65% [38-87%]","33% [18-53%]","68% [41-90%]","32% [18-47%]"
"3% [1-5%]","21% [8-35%]","5% [2-10%]","22% [8-38%]","10% [4-16%]"
