"...1","...2","...3","...4","...5"
"3.7 [3.0-5.6]","0.4 [0.1-1.0]","2.9 [1.9-4.6]","0.2 [0.0-0.6]","2.5 [1.8-3.9]"
"1.1 [0.6-1.7]","9.6 [5.8-14.7]","1.3 [0.7-2.1]","4.5 [0.4-8.4]","3.1 [1.5-4.7]"
"1.1 [0.6-2.0]","0.2 [0.0-0.4]","3.3 [2.3-5.1]","0.1 [0.0-0.3]","1.2 [0.7-2.2]"
"0.8 [0.4-1.4]","6.0 [3.6-8.9]","1.3 [0.7-2.1]","6.3 [3.9-9.7]","2.6 [1.4-4.3]"
"1.9 [1.1-2.9]","15.6 [10.7-22.8]","2.6 [1.7-3.9]","10.9 [6.7-15.6]","5.8 [3.2-8.4]"
"1.9 [1.2-3.0]","6.2 [3.8-9.1]","4.6 [3.3-6.6]","6.5 [4.1-9.8]","3.8 [2.5-5.5]"
"6.7 [5.3-9.6]","16.2 [11.4-23.3]","8.9 [6.9-11.6]","11.3 [6.9-16.0]","9.5 [7.3-12.1]"
"100% [100-100%]","12% [2-28%]","81% [58-89%]","7% [1-18%]","68% [60-77%]"
"13% [8-18%]","100% [100-100%]","15% [6-23%]","49% [4-76%]","34% [24-45%]"
"34% [18-51%]","6% [1-13%]","100% [100-100%]","4% [0-11%]","37% [23-52%]"
"14% [9-20%]","95% [85-99%]","22% [16-28%]","100% [100-100%]","42% [32-51%]"
"15% [10-21%]","100% [100-100%]","22% [17-29%]","100% [100-100%]","43% [33-52%]"
"41% [24-57%]","96% [88-100%]","100% [100-100%]","100% [100-100%]","70% [59-79%]"
"89% [84-93%]","11% [2-25%]","72% [50-80%]","6% [1-17%]","61% [52-70%]"
"13% [8-20%]","70% [48-86%]","26% [16-50%]","74% [52-89%]","33% [22-46%]"
"3% [1-5%]","18% [9-29%]","5% [2-8%]","19% [9-31%]","8% [4-14%]"
