"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.5 [1.1-2.8]","2.2 [1.4-4.0]","1.8 [1.3-3.3]","1.7 [1.2-2.7]","1.3 [1.1-1.8]"
"3.0 [1.9-4.3]","1.9 [1.2-3.1]","3.5 [2.3-5.0]","2.9 [2.0-4.0]","3.4 [2.5-4.5]"
"0.7 [0.4-1.2]","1.6 [1.1-2.4]","0.8 [0.6-1.2]","0.8 [0.6-1.2]","0.9 [0.7-1.2]"
"3.1 [2.0-4.4]","1.8 [1.2-2.7]","2.1 [1.3-3.0]","2.2 [1.6-3.0]","3.4 [2.6-4.4]"
"6.0 [4.1-8.4]","3.7 [2.7-5.5]","5.6 [4.0-7.5]","5.2 [4.0-6.6]","6.8 [5.5-8.4]"
"3.8 [2.5-5.7]","3.4 [2.5-4.8]","2.9 [2.0-4.1]","3.0 [2.3-4.1]","4.3 [3.4-5.4]"
"8.3 [5.8-11.7]","7.5 [5.6-11.2]","8.2 [6.3-11.5]","7.6 [5.9-10.1]","9.1 [7.6-10.9]"
"61% [58-65%]","74% [72-77%]","72% [68-76%]","66% [64-69%]","63% [59-66%]"
"26% [23-31%]","25% [20-31%]","33% [29-37%]","32% [26-38%]","40% [35-44%]"
"21% [17-28%]","42% [34-52%]","31% [25-39%]","29% [23-36%]","33% [29-37%]"
"42% [38-46%]","33% [30-38%]","37% [35-42%]","41% [39-45%]","48% [46-50%]"
"44% [41-48%]","33% [30-38%]","39% [36-43%]","42% [40-46%]","49% [47-51%]"
"59% [52-68%]","66% [58-76%]","61% [54-70%]","63% [57-71%]","71% [68-75%]"
"53% [47-59%]","65% [57-69%]","64% [58-68%]","58% [53-62%]","54% [51-58%]"
"41% [34-49%]","29% [24-35%]","25% [19-32%]","36% [30-41%]","33% [28-39%]"
"5% [3-7%]","6% [4-8%]","10% [7-13%]","6% [4-8%]","11% [9-14%]"
