"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.6 [1.1-2.8]","1.8 [1.4-3.0]","1.9 [1.3-3.3]","1.5 [1.2-2.4]","1.4 [1.1-2.0]"
"3.8 [2.6-5.2]","1.8 [1.1-2.6]","3.6 [2.5-5.0]","2.9 [2.2-3.9]","3.6 [2.7-4.6]"
"0.6 [0.4-0.9]","1.3 [0.9-1.9]","0.8 [0.6-1.3]","0.7 [0.6-1.0]","1.0 [0.7-1.3]"
"3.1 [2.2-4.3]","1.7 [1.1-2.5]","2.1 [1.4-3.1]","2.1 [1.6-2.9]","3.5 [2.7-4.5]"
"6.9 [5.1-9.0]","3.5 [2.5-4.7]","5.7 [4.3-7.4]","5.1 [4.1-6.3]","7.1 [5.8-8.6]"
"3.7 [2.7-5.1]","3.1 [2.3-4.1]","2.9 [2.1-4.1]","2.9 [2.2-3.7]","4.5 [3.6-5.6]"
"9.1 [6.8-12.4]","6.7 [5.2-8.9]","8.5 [6.6-11.5]","7.3 [6.1-9.2]","9.4 [7.9-11.3]"
"64% [61-67%]","76% [73-78%]","71% [68-74%]","68% [65-71%]","61% [59-64%]"
"36% [31-41%]","25% [21-29%]","33% [29-37%]","35% [31-39%]","40% [35-44%]"
"26% [20-34%]","42% [37-49%]","31% [25-40%]","30% [26-36%]","32% [29-37%]"
"43% [41-47%]","31% [29-35%]","38% [35-42%]","41% [39-44%]","48% [46-51%]"
"44% [42-48%]","32% [29-36%]","39% [36-43%]","42% [40-45%]","49% [47-51%]"
"63% [57-72%]","65% [59-72%]","61% [55-71%]","64% [59-70%]","71% [68-76%]"
"55% [50-60%]","67% [62-71%]","63% [58-67%]","60% [55-63%]","53% [50-57%]"
"34% [26-42%]","25% [20-30%]","26% [21-32%]","32% [26-37%]","35% [31-40%]"
"10% [7-13%]","8% [6-10%]","10% [7-13%]","8% [6-11%]","10% [8-13%]"
