"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.6 [1.1-2.9]","2.1 [1.4-3.7]","1.7 [1.4-2.6]","1.6 [1.2-2.6]","1.4 [1.1-1.8]"
"3.0 [1.9-4.5]","1.7 [1.0-2.7]","2.4 [1.4-4.0]","2.9 [2.0-4.0]","3.1 [2.0-4.4]"
"0.7 [0.4-1.1]","1.5 [1.0-2.3]","0.8 [0.6-1.1]","0.8 [0.6-1.2]","0.9 [0.7-1.2]"
"3.0 [2.0-4.5]","1.7 [1.1-2.6]","1.5 [0.8-2.5]","2.2 [1.6-3.0]","3.1 [2.0-4.3]"
"6.0 [4.0-8.7]","3.5 [2.3-4.8]","3.9 [2.4-6.2]","5.1 [3.8-6.6]","6.2 [4.3-8.3]"
"3.7 [2.5-5.5]","3.2 [2.3-4.5]","2.3 [1.5-3.3]","3.0 [2.3-4.0]","4.0 [2.9-5.3]"
"8.3 [5.8-12.2]","7.0 [5.2-10.1]","6.4 [4.7-9.1]","7.5 [5.9-10.0]","8.5 [6.6-10.7]"
"61% [58-66%]","75% [72-79%]","77% [70-83%]","67% [64-71%]","65% [59-72%]"
"27% [23-36%]","24% [19-30%]","33% [29-37%]","32% [26-37%]","41% [36-44%]"
"22% [17-29%]","42% [35-51%]","32% [26-39%]","28% [23-35%]","34% [29-40%]"
"42% [38-47%]","32% [29-37%]","36% [32-40%]","41% [37-45%]","48% [45-51%]"
"44% [41-48%]","33% [30-38%]","40% [37-45%]","42% [39-46%]","49% [47-52%]"
"60% [53-68%]","65% [57-75%]","59% [53-66%]","62% [56-71%]","71% [68-75%]"
"53% [46-58%]","67% [60-71%]","70% [62-75%]","58% [53-64%]","57% [51-63%]"
"42% [33-49%]","27% [22-34%]","19% [13-28%]","35% [29-41%]","31% [23-38%]"
"5% [3-9%]","6% [4-8%]","11% [8-14%]","6% [4-9%]","12% [9-15%]"
