"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.7 [1.1-3.1]","2.4 [1.4-4.4]","1.9 [1.3-3.5]","1.8 [1.2-3.1]","1.4 [1.1-1.9]"
"2.6 [1.6-4.0]","1.8 [1.1-2.8]","3.4 [2.2-4.8]","2.7 [1.7-3.9]","3.5 [2.4-4.6]"
"0.7 [0.4-1.1]","1.7 [1.2-2.6]","0.9 [0.6-1.4]","0.9 [0.6-1.3]","1.0 [0.7-1.3]"
"2.9 [1.8-4.2]","1.8 [1.2-2.7]","2.0 [1.2-3.0]","2.2 [1.6-3.1]","3.3 [2.5-4.4]"
"5.5 [3.7-7.9]","3.6 [2.5-5.2]","5.4 [3.6-7.3]","4.9 [3.6-6.6]","6.8 [5.4-8.3]"
"3.6 [2.4-5.2]","3.6 [2.6-5.1]","2.9 [1.9-4.1]","3.1 [2.3-4.2]","4.3 [3.4-5.4]"
"7.9 [5.3-11.7]","7.8 [5.5-11.6]","8.2 [5.9-11.7]","7.6 [5.7-10.6]","9.1 [7.6-11.0]"
"64% [59-69%]","75% [72-77%]","72% [68-77%]","67% [64-71%]","63% [59-66%]"
"27% [24-31%]","24% [18-30%]","33% [28-37%]","31% [25-37%]","39% [33-43%]"
"22% [18-30%]","42% [34-54%]","32% [25-41%]","29% [23-37%]","33% [29-37%]"
"40% [34-46%]","33% [29-38%]","37% [34-42%]","41% [36-46%]","48% [45-50%]"
"45% [42-50%]","34% [30-39%]","39% [36-44%]","43% [40-48%]","49% [47-51%]"
"58% [49-69%]","66% [57-78%]","62% [54-72%]","63% [55-73%]","71% [68-76%]"
"54% [46-62%]","64% [57-69%]","64% [57-69%]","58% [52-63%]","54% [50-58%]"
"41% [33-49%]","30% [25-37%]","25% [17-33%]","36% [30-42%]","34% [28-39%]"
"4% [3-7%]","6% [4-8%]","10% [6-14%]","6% [3-8%]","11% [8-14%]"
