"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.5 [1.2-2.3]","2.0 [1.4-3.5]","1.8 [1.4-2.7]","1.6 [1.3-2.5]","1.3 [1.2-1.7]"
"2.9 [2.1-3.7]","1.4 [0.9-2.0]","2.9 [2.2-3.7]","2.0 [1.5-2.6]","2.7 [2.1-3.4]"
"0.6 [0.5-0.9]","1.6 [1.1-2.2]","0.8 [0.6-1.1]","0.9 [0.6-1.2]","0.9 [0.7-1.1]"
"2.5 [1.9-3.2]","1.4 [1.0-2.0]","1.7 [1.2-2.3]","1.8 [1.3-2.3]","2.7 [2.1-3.3]"
"5.4 [4.3-6.6]","2.8 [2.1-3.6]","4.6 [3.8-5.5]","3.8 [3.1-4.6]","5.4 [4.7-6.1]"
"3.1 [2.4-3.9]","3.0 [2.2-3.9]","2.5 [1.9-3.3]","2.6 [2.0-3.4]","3.6 [3.0-4.3]"
"7.6 [6.1-9.3]","6.4 [5.0-8.7]","7.2 [6.0-8.9]","6.3 [5.2-7.9]","7.6 [6.8-8.6]"
"69% [67-72%]","77% [75-79%]","74% [73-76%]","71% [69-73%]","67% [65-68%]"
"37% [32-41%]","23% [17-28%]","33% [29-37%]","27% [24-32%]","41% [35-44%]"
"28% [23-34%]","41% [34-51%]","31% [26-38%]","29% [25-35%]","34% [31-38%]"
"43% [40-46%]","32% [28-36%]","37% [34-40%]","38% [34-42%]","48% [45-50%]"
"45% [43-48%]","34% [31-38%]","39% [37-42%]","43% [41-46%]","49% [48-51%]"
"62% [57-68%]","63% [55-73%]","60% [54-67%]","58% [52-65%]","71% [68-74%]"
"61% [56-65%]","68% [63-72%]","67% [63-69%]","63% [59-67%]","58% [56-60%]"
"25% [17-32%]","25% [22-30%]","21% [17-26%]","30% [26-35%]","27% [24-31%]"
"14% [10-17%]","7% [5-9%]","12% [9-14%]","7% [5-9%]","14% [12-16%]"
