"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"1.6 [1.1-2.9]","2.5 [1.4-5.5]","2.0 [1.3-3.8]","1.5 [1.1-2.5]","1.4 [1.1-2.2]"
"3.2 [2.0-4.8]","2.3 [1.5-3.3]","4.0 [2.5-5.8]","3.0 [2.1-4.0]","4.3 [2.9-5.6]"
"0.7 [0.4-1.1]","1.8 [1.2-2.8]","0.9 [0.6-1.4]","0.7 [0.5-1.0]","1.0 [0.8-1.4]"
"2.9 [1.9-4.1]","2.3 [1.5-3.6]","2.3 [1.4-3.3]","2.1 [1.6-2.9]","3.9 [2.9-5.1]"
"6.0 [4.1-8.5]","4.6 [3.3-6.1]","6.3 [4.2-8.6]","5.1 [4.0-6.4]","8.2 [6.4-10.1]"
"3.5 [2.4-5.1]","4.1 [2.9-6.4]","3.1 [2.1-4.5]","2.9 [2.2-3.8]","4.9 [3.8-6.3]"
"8.3 [5.8-11.9]","8.9 [6.5-14.1]","9.2 [6.5-13.7]","7.3 [5.9-9.5]","10.7 [8.7-13.2]"
"61% [58-66%]","74% [70-76%]","72% [68-77%]","64% [62-67%]","63% [59-67%]"
"29% [24-39%]","25% [19-31%]","33% [29-37%]","32% [26-37%]","40% [36-43%]"
"23% [18-31%]","44% [34-59%]","33% [26-43%]","30% [25-37%]","35% [30-40%]"
"43% [39-46%]","31% [28-36%]","36% [34-40%]","40% [38-44%]","46% [44-49%]"
"44% [42-47%]","32% [29-37%]","38% [35-42%]","41% [39-44%]","47% [45-50%]"
"61% [55-70%]","66% [56-83%]","62% [55-73%]","64% [58-72%]","72% [68-77%]"
"51% [45-57%]","62% [53-68%]","63% [56-69%]","53% [47-57%]","54% [48-58%]"
"42% [30-50%]","30% [24-37%]","23% [16-31%]","40% [35-47%]","30% [24-36%]"
"6% [3-12%]","7% [5-10%]","12% [9-16%]","6% [4-9%]","14% [12-18%]"
