"Philippines","Vietnam","Nepal","Cambodia","Bangladesh"
"2.4 [1.8-3.8]","3.0 [2.3-4.7]","2.7 [2.2-3.9]","2.4 [2.0-3.4]","2.0 [1.8-2.4]"
"3.4 [2.3-4.7]","2.0 [1.3-2.8]","3.6 [2.5-5.0]","3.2 [2.3-4.2]","3.7 [2.7-4.7]"
"0.9 [0.6-1.3]","1.8 [1.3-2.6]","1.0 [0.8-1.4]","1.0 [0.7-1.4]","1.1 [0.9-1.5]"
"3.3 [2.3-4.7]","1.9 [1.3-2.7]","2.1 [1.3-3.1]","2.4 [1.8-3.2]","3.6 [2.7-4.6]"
"6.7 [4.7-9.0]","3.9 [2.8-5.1]","5.8 [4.2-7.5]","5.5 [4.4-6.9]","7.2 [5.9-8.8]"
"4.2 [3.0-5.8]","3.7 [2.8-5.0]","3.1 [2.2-4.2]","3.4 [2.6-4.4]","4.7 [3.8-5.8]"
"10.0 [7.5-13.4]","8.7 [6.9-11.9]","9.5 [7.6-12.1]","8.9 [7.4-11.2]","10.4 [8.9-12.1]"
"62% [59-65%]","75% [73-77%]","72% [69-77%]","67% [65-70%]","63% [59-66%]"
"29% [25-36%]","27% [22-32%]","35% [31-39%]","35% [29-40%]","43% [38-47%]"
"25% [20-32%]","48% [40-56%]","36% [30-44%]","34% [28-40%]","37% [34-41%]"
"43% [39-47%]","34% [32-38%]","39% [37-43%]","43% [40-47%]","50% [48-52%]"
"46% [43-49%]","35% [32-39%]","41% [38-45%]","45% [42-48%]","51% [49-53%]"
"63% [57-72%]","71% [64-80%]","67% [61-74%]","69% [62-76%]","77% [74-80%]"
"55% [50-59%]","67% [63-70%]","66% [61-71%]","60% [56-63%]","56% [52-59%]"
"42% [35-49%]","30% [25-35%]","26% [18-33%]","36% [31-42%]","35% [30-40%]"
"6% [4-8%]","6% [4-8%]","10% [7-14%]","7% [5-9%]","11% [9-14%]"
